Community,Replicate,Plate,mgCO2.7,mgCO2.14,CPM7,CPM14,pgRPC.7,pgRPC.14,ATP1,ATP4,ATP7,ATP14,mG7,mG14,mN7,mN14,mX7,mX14,mP7,mP14
AE01,1,H,0.203227344,0.095679054,283600,174000,0.716598533,0.549879618,9709.8,14105.4,5461,6594.4,15.6,7.2,8.4,4.8,5.2,5.6,486.4,446.8
AE01,2,H,0.282943307,0.530085429,65000,175800,4.352973951,3.015275477,9616.4,8577.4,8188.4,7673.4,22.4,7.6,14.4,3.6,5.2,4.4,284.4,293.6
AE01,3,H,0.517986874,0.34344642,77200,105400,6.709674531,3.258504935,NA,5026.2,6610,3790.4,117.2,22.8,26.4,21.6,12.8,5.6,122.8,250.8
AE01,4,H,0.022316213,0.147059966,505200,570200,0.044173027,0.257909446,3734.8,3419.6,5770,4524.8,18.4,12.4,9.2,4.8,6.8,8.4,452,280
AE02,1,H,0.194181049,0.03626446,593400,33000,0.327234663,1.098923031,7490,8125.8,6486.8,7807.4,37.2,17.6,17.2,12,15.2,10.4,702.4,506
AE02,2,H,0.400118265,0.279075757,41600,104400,9.618227532,2.673139436,8496,5800,8255.6,7921.6,50.8,30.8,16.4,16.8,11.2,6.8,326,338.4
AE02,3,H,0.306961484,0.336793088,109400,72600,2.805863654,4.639023249,NA,6444.4,6834.4,5375.6,69.6,26,18,17.6,13.6,8,72.4,157.2
AE02,4,H,0.022316213,0.137569213,491800,743600,0.045376603,0.185004321,2557.2,6413.8,7939,5348.2,30.8,24.8,12,11.6,8.4,12.4,1093.6,604.8
AE03,1,H,0.275246303,0.058032979,119000,52800,2.312994145,1.099109453,4396,7881,4266,4260.2,17.2,20,6.8,15.6,6.8,6.8,844.8,708
AE03,2,H,0.497293258,0.218971013,37000,34000,13.44035832,6.440323907,4697.4,3940.4,4786.6,4983.6,16.8,11.2,7.6,8,5.6,5.2,435.2,357.6
AE03,3,H,0.430835087,0.30286053,190400,64000,2.262789322,4.732195783,NA,5060.8,5179.6,3414.8,74.8,21.6,9.2,9.6,8,6,116.4,144.8
AE03,4,H,0.024930044,0.138730794,381000,319400,0.065433187,0.434348133,3284.8,3343.2,3372.6,2855,27.6,16.4,8.4,7.6,8,10,898.8,511.2
AE04,1,H,0.258479079,0.044407563,179000,207000,1.444017202,0.214529292,7177.8,6548.6,4884.8,4942,24.8,19.2,10.4,16,10,8.4,1895.2,986.4
AE04,2,H,0.430835087,0.30286053,31000,64800,13.89790603,4.673773613,5064.6,5236.4,4810.4,4865.2,34.4,27.2,13.6,22.4,7.6,6,678,585.6
AE04,3,H,0.296783048,0.317388107,124800,131000,2.378069298,2.422809977,NA,5472.8,5875,3144.2,37.6,13.6,6.8,6,6.8,6,102.4,129.2
AE04,4,H,0.027391376,0.142257781,287000,629400,0.095440336,0.22602126,1408.8,5954.6,2491.4,2554.4,18.4,17.6,10.4,10.4,11.6,10.8,1138,912.8
AE06,1,H,0.282943307,0.049768181,145200,75000,1.948645364,0.663575741,5183.6,8384.6,6658.4,7273.8,70.8,19.6,34.8,18.4,16,9.6,1609.2,1440.4
AE06,2,H,0.380535038,0.154479898,30800,20000,12.35503369,7.723994911,6031.4,6762.2,7202.6,6843.2,70.4,26,39.6,34,8.8,6.4,531.2,537.6
AE06,3,H,0.328066557,0.215754607,88000,74400,3.728029052,2.899927515,NA,5136.6,7699.2,2633.2,82.4,19.2,6,12,8,6,203.2,566
AE06,4,H,0.037616316,0.120970971,303000,354200,0.124146257,0.34153295,3202.8,2887.2,3974.4,2498.4,54.4,18,33.6,21.6,12.4,10,1290,998.4
AE07,1,H,0.311102147,0.105861662,403400,216600,0.771200166,0.488742666,4500.4,2619.4,2457.4,3868,8,12.4,4,6,5.2,5.6,304.8,558
AE07,2,H,0.319503534,0.269573052,87600,127000,3.647300618,2.12262246,5099,2295,2489.6,3487.2,6.4,10,4.4,4.8,4.8,4.8,181.6,183.2
AE07,3,H,0.430835087,0.206308844,178200,134800,2.417705314,1.53048104,NA,2653.2,2424.4,2081.2,42.8,10.8,4.8,5.6,5.6,5.2,88.4,171.2
AE07,4,H,0.039474577,0.163471797,175000,165800,0.22556901,0.98595776,1493.4,1858.4,1946,1856.2,12,9.6,6.4,5.2,9.6,9.2,249.2,330.8
AE08,1,H,0.240723011,0.065864375,432600,238800,0.556456337,0.275813966,3488,2936,3613,12804.2,28,9.2,18.8,16.4,8,6,599.2,766.4
AE08,2,H,0.319503534,0.114753322,80400,68600,3.973924554,1.672788943,7188,2076.8,3767.8,5574.4,17.6,16,12.4,12,6.4,4.8,270.8,367.2
AE08,3,H,0.153224993,0.182573707,167000,119200,0.91751493,1.531658613,NA,2142.8,2702.6,1651.6,22,7.2,26.4,5.6,6.4,5.6,89.2,133.2
AE08,4,H,0.025271529,0.101141519,392800,256200,0.064336888,0.39477564,1983,2642.8,1661.2,3409.6,30.4,19.6,12.8,14.8,13.2,10.4,359.2,793.2
AE09,1,H,0.198667237,0.095679054,406800,646000,0.488365872,0.14810999,6618.8,7981,4194.6,5049.8,26.4,17.6,7.6,7.2,6,6.4,585.6,536
AE09,2,H,0.209423742,0.273345791,65000,236600,3.221903728,1.155307654,5669.8,3898.6,5839.6,4170.2,20.8,15.2,7.6,8.4,4.8,4.8,357.6,286.8
AE09,3,H,0.606979865,0.292780355,228600,309600,2.655205009,0.945672983,NA,5301,4465.6,2039.8,60.4,12,7.2,5.6,6.8,6,101.2,124.8
AE09,4,H,0.019905175,0.115773284,337000,1226400,0.059065801,0.094400917,2414.4,4751.4,2470,2059.4,31.2,20.4,8.4,7.2,11.2,9.6,456.4,417.2
AE10,1,H,0.273345791,0.056184762,443600,39000,0.616198807,1.440634926,11187.6,8474.4,5994.6,6969.4,83.6,62,5.6,6.8,38.4,33.6,499.6,370.4
AE10,2,H,0.354744208,0.258479079,8000,130200,44.34302597,1.985246384,7900.8,6038.2,7372,7928,66.4,141.6,6.4,8.4,25.2,27.2,292.8,239.6
AE10,3,H,0.282943307,0.371006026,115400,112600,2.451848412,3.294902536,NA,7430.4,6941.8,3383,72.8,34,6.4,6,7.6,9.2,164.8,326.4
AE10,4,H,0.022950271,0.12633408,510600,471400,0.044947651,0.267997625,5133.2,5651,4472.4,4146.8,86,124.8,8.8,8.4,35.6,42.8,552.4,478
AE102,1,B,9.00E-01,8.90E-01,266400,30600,3.374432055,29.0872134,134.2,4175.6,18238.2,12718.4,56,110.8,6,9.6,6,6.8,484.8,2938.4
AE102,2,B,3.90E-01,8.00E-01,14600,74200,26.72866275,10.7344556,169.2,7654.4,6134.8,6780.8,14.4,14.4,8,11.2,5.2,6,466.4,629.2
AE102,3,B,2.90E-01,8.50E-01,184800,289400,1.584309283,2.940173887,176,2620,5932.6,6223.2,156.8,62.8,7.2,8.8,9.2,6.4,178,2256.8
AE102,4,B,1.70E-01,1.60E-01,238000,161200,0.731938855,1.005985217,3731.2,2036.6,5103.2,3731.2,27.6,23.6,6.8,6.8,5.6,7.2,497.2,632.4
AE104,1,B,1.20E+00,8.60E-01,55800,19800,21.1425362,43.19078553,83.4,7304,25831,13751.2,83.2,90,4.8,6.8,6.8,7.2,1477.2,2590
AE104,2,B,3.00E-01,5.50E-01,20600,86400,14.50480847,6.385926343,176,5110.4,4149.4,2288.4,23.2,10.4,4.8,5.2,5.2,5.2,741.2,637.6
AE104,3,B,3.40E-01,7.60E-01,316800,382200,1.084111175,1.989365825,340.6,5181.2,6169,5578.8,202.8,60.4,4.8,5.2,8.4,6.4,235.2,1480.4
AE104,4,B,1.90E-01,1.80E-01,127200,286400,1.469075059,0.622738527,1678,6209.2,3684.8,1678,22.4,11.2,5.2,4.4,5.6,6.8,617.2,448.8
AE105,1,B,2.30E-01,9.50E-01,65600,166000,3.462842477,5.744396866,56,4464.4,25970.8,4661.2,96,15.6,5.2,5.2,6.8,4.8,2009.2,1254.4
AE105,2,B,2.10E-01,5.10E-01,92400,111200,2.317740139,4.551149515,108.4,2401,3546.8,2365.2,21.2,16.4,4.4,4.4,5.2,4.8,635.6,635.2
AE105,3,B,1.50E-01,4.70E-01,198400,86600,0.735124384,5.477803385,127.4,8632.4,4764.2,5010,236.4,86.4,4.8,4.4,8,5.6,378,1882.8
AE105,4,B,6.70E-02,8.50E-02,179000,56200,0.371784632,1.519468235,1537.4,4262.4,3095.2,1537.4,22,16.4,5.2,4.4,5.6,6.4,571.6,423.6
AE106,1,B,1.40E-01,1.40E+00,1000,200400,143.4476111,6.94941408,58.4,2840.2,18253.2,17559.8,6.4,29.2,4.4,6,5.6,5.6,186,658
AE106,2,B,1.40E-01,1.80E-01,3400,1800,41.14688176,99.86198512,44.2,2006.4,2773,5563.8,9.2,8.4,5.6,6,5.6,6,51.2,115.6
AE106,3,B,1.10E-01,2.90E-01,4000,2600,26.94831219,111.8436965,72.4,4596.2,5292,6877.4,15.6,15.6,4.4,4.8,6,6,88,190.8
AE106,4,B,2.50E-02,4.40E-02,3600,2600,7.019869302,17.07983209,3378.6,2506,1450.6,3378.6,9.2,8.8,5.2,4.4,5.2,6.8,60,88
AE108,1,B,2.10E-01,1.20E+00,75800,521600,2.742244128,2.261797392,106.8,3573.4,28837.2,14117.2,25.6,50.8,4.4,8.4,7.6,7.6,978,2762.4
AE108,2,B,1.20E-01,1.70E-01,18400,5000,6.292026321,34.56667465,246.4,10509.8,5041.4,6155.2,14,16,4.8,5.2,5.2,7.6,708.8,776.4
AE108,3,B,8.20E-02,2.10E-01,37200,18600,2.208327365,11.34375182,153,8570.4,6625.2,6228.6,75.6,32.8,5.6,5.2,7.2,5.6,136,930.4
AE108,4,B,1.90E-02,2.60E-02,15400,8600,1.237097485,2.978646451,3614.8,9898.8,4607.4,3614.8,11.2,14.4,5.2,4.8,5.2,6.8,683.2,599.6
AE109,1,B,9.40E-01,8.50E-01,529000,404200,1.78507616,2.10511213,7.6,9.2,16.8,16773.8,4,46,4.4,10.4,5.2,8.8,35.2,882
AE109,2,B,4.00E-01,6.00E-01,55800,263200,7.170578232,2.268070982,9,10.4,7.2,19.8,4.4,4.4,4.4,4.4,5.2,4.8,42.4,79.6
AE109,3,B,5.50E-01,4.80E-01,174000,277000,3.189018027,1.7329748,7.6,15,12.4,11,5.6,5.2,4.4,4.4,5.6,4.8,70.4,50.8
AE109,4,B,1.40E-01,5.30E-02,589400,170000,0.231446607,0.312934426,14.6,15,21,14.6,4.8,5.6,4.8,4.4,5.6,6.8,51.6,73.2
AE11,1,H,0.286849182,0.051462998,65800,33400,4.359410054,1.540808317,14,10.2,6.8,5570.2,4.4,31.6,4.4,5.2,4.8,13.2,36.8,101.6
AE11,2,H,0.378136507,0.328066557,16800,86600,22.50812542,3.78829742,7.8,6.2,12.2,5476,2.8,144,4.4,4.8,4.4,12.4,63.6,159.6
AE11,3,H,0.309026837,0.433468894,61000,165600,5.066013724,2.617565785,NA,12.2,23,7831.6,5.2,1780.4,4.4,85.6,5.2,12.4,52,278.4
AE11,4,H,0.025271529,0.110737886,278400,473600,0.090774172,0.233821549,9.2,10,8.8,1769.4,6.4,43.6,5.6,4.8,10,10,77.2,482
AE111,1,B,9.60E-01,1.10E+00,549000,62800,1.745403567,17.52392545,12.2,14.8,28,3099.8,4,54,5.2,5.6,4.8,17.6,34.4,218.8
AE111,2,B,3.50E-01,6.90E-01,20600,59400,16.89000254,11.58058618,8.8,5.8,4.6,11.6,4.4,4.4,4.4,4.4,5.2,4.8,41.2,89.2
AE111,3,B,4.10E-01,6.80E-01,423800,201200,0.961880601,3.382509218,9.6,8.4,8.4,7.6,6,4,4.4,3.6,6,3.6,68.4,52.4
AE111,4,B,2.00E-01,1.10E-01,423600,209400,0.476154508,0.5101448,2878.6,6.6,7.2,2878.6,4.8,327.6,4.8,7.6,5.2,10.4,52.8,112.8
AE112,1,I,0.062514704,0.056184762,487400,464800,0.1282616,0.120879437,2246.2,1721.8,306,1591.8,21.6,33.6,4.4,5.2,7.6,7.2,66,116.8
AE112,2,I,0.300824872,0.463209038,65000,111200,4.628074954,4.165548899,1695.6,581.6,1172.4,2455.4,41.6,35.2,4.8,5.2,6.8,6,102.8,64.8
AE112,3,I,0.066549449,0.178352314,315400,546400,0.211000156,0.326413459,606.2,1315.2,685.8,710.2,22.8,36.8,4.4,4.8,7.6,7.2,79.2,68.8
