"","sampleid","Name.2","Community","Species","replicate","BreakingBag","parent","Location","Experiment","Part_Time0D_17","Part_Time0D_6","Part_Time4M_64","Part_Time7D_rep1_2","Part_Time7D_rep2_2","Part_Time7D_rep3_2","Part_Time7D_rep4_2","replicate.partition","partition","ExpCompact","exp.replicate.partition","exp.partition"
"97","AE05.1",NA,NA,NA,"Rep1",NA,"AE05","AshridgeEstate","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"98","AE05.2",NA,NA,NA,"Rep2",NA,"AE05","AshridgeEstate","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"99","AE05.3",NA,NA,NA,"Rep3",NA,"AE05","AshridgeEstate","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"100","AE05.4",NA,NA,NA,"Rep4",NA,"AE05","AshridgeEstate","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"105","AE101.1",NA,NA,NA,"Rep1",NA,"AE101","AshridgeEstate","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"106","AE101.2",NA,NA,NA,"Rep2",NA,"AE101","AshridgeEstate","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"107","AE101.3",NA,NA,NA,"Rep3",NA,"AE101","AshridgeEstate","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"108","AE101.4",NA,NA,NA,"Rep4",NA,"AE101","AshridgeEstate","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"109","AE103.1",NA,NA,NA,"Rep1",NA,"AE103","AshridgeEstate","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"110","AE103.2",NA,NA,NA,"Rep2",NA,"AE103","AshridgeEstate","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
