#ASV_A	ASV_B	Interaction	Type
ASV_1	ASV_5	0.408789985448128	1
ASV_3	ASV_7	0.1981	1
ASV_5	ASV_7	0.3438915094860713	1
ASV_2	ASV_10	0.1643774003689781	1
ASV_6	ASV_10	0.6628840786980433	1
ASV_9	ASV_10	0.2875484202353152	1
ASV_6	ASV_11	0.4026096179412794	1
ASV_8	ASV_14	-0.2056720081144123	1
ASV_11	ASV_15	0.1938922008320542	1
ASV_10	ASV_16	0.2339791049906437	1
ASV_14	ASV_16	0.372931750238057	1
ASV_13	ASV_17	0.2201766386359425	1
ASV_1	ASV_18	0.1775264238078517	1
ASV_13	ASV_20	0.1918076157532819	1
ASV_17	ASV_20	0.2406388675505882	1
ASV_13	ASV_21	-0.2238145105285399	1
ASV_17	ASV_21	-0.1859558905013027	1
ASV_1	ASV_22	0.1883744098541252	1
ASV_8	ASV_22	0.2561344504356384	1
ASV_9	ASV_22	0.2077235572916807	1
ASV_19	ASV_22	0.2200918044692875	1
ASV_19	ASV_23	0.1955423759700825	1
ASV_3	ASV_24	0.5191225451821149	1
ASV_9	ASV_24	0.3610989873106303	1
ASV_10	ASV_24	0.1817189019790087	1
ASV_15	ASV_24	0.2825073475907455	1
ASV_8	ASV_25	0.2050938864662646	1
ASV_5	ASV_26	0.1640895668579198	1
ASV_15	ASV_26	0.1699201338097469	1
ASV_25	ASV_26	0.2389307704408955	1
ASV_25	ASV_27	-0.3067159056663513	1
ASV_2	ASV_28	0.265607476234436	1
ASV_18	ASV_28	0.3995565554344008	1
ASV_23	ASV_28	0.2897392292394267	1
ASV_3	ASV_29	0.1969671547412872	1
ASV_22	ASV_29	0.2290723761905099	1
ASV_23	ASV_29	0.415851485420698	1
ASV_1	ASV_30	0.2839400947277616	1
ASV_23	ASV_30	0.2953589373912999	1
ASV_11	ASV_31	0.3480680675782828	1
ASV_21	ASV_31	0.1607422695866444	1
ASV_29	ASV_32	0.2108779588144939	1
ASV_20	ASV_33	0.1905905514178756	1
ASV_21	ASV_33	-0.1758359249626032	1
ASV_30	ASV_34	-0.1789942329747032	1
ASV_17	ASV_35	0.1684201782520943	1
ASV_2	ASV_37	0.2057491196843272	1
ASV_16	ASV_37	0.2029660229032037	1
ASV_20	ASV_38	-0.1798566774875259	1
ASV_24	ASV_39	0.1930935160239914	1
ASV_29	ASV_39	0.2906539100050143	1
ASV_32	ASV_39	0.2639329198623147	1
ASV_21	ASV_40	-0.1890252193909465	1
ASV_13	ASV_41	-0.184267199533996	1
ASV_21	ASV_41	0.4136980087432734	1
ASV_31	ASV_41	0.3687148799100271	1
ASV_23	ASV_42	0.3639319945491912	1
ASV_34	ASV_42	-0.1672620330975892	1
ASV_1	ASV_44	0.2443150564345852	1
ASV_13	ASV_44	0.2238523333174626	1
ASV_32	ASV_44	0.2096099369161357	1
ASV_39	ASV_45	-0.2063956270586361	1
ASV_8	ASV_46	0.2192667126655578	1
ASV_11	ASV_46	0.205714538693428	1
ASV_16	ASV_48	0.2656533802631816	1
ASV_20	ASV_48	0.2483714890600829	1
ASV_35	ASV_48	0.2533607919131766	1
ASV_40	ASV_48	0.2329424888234751	1
ASV_23	ASV_50	0.2187782526093128	1
ASV_28	ASV_50	0.4263057847471955	1
ASV_39	ASV_50	0.2934557631412138	1
ASV_7	ASV_51	0.2660902727647364	1
ASV_38	ASV_51	0.1861020102349316	1
ASV_42	ASV_51	0.2118271970181099	1
ASV_4	ASV_52	0.1732052360680537	1
ASV_7	ASV_52	0.2236705885323328	1
ASV_15	ASV_52	0.2491588524937127	1
ASV_50	ASV_52	0.2383637363439776	1
ASV_15	ASV_53	0.1937879124238058	1
ASV_22	ASV_53	0.1641915103455839	1
ASV_27	ASV_53	-0.1802003204701835	1
ASV_40	ASV_53	0.1872331584062294	1
ASV_29	ASV_54	0.4597279538268075	1
ASV_30	ASV_54	0.2347757245463825	1
ASV_38	ASV_54	0.2513928534668922	1
ASV_52	ASV_54	0.1909260883088498	1
ASV_27	ASV_58	0.2154437929191541	1
ASV_23	ASV_59	-0.2290620107212885	1
ASV_25	ASV_60	0.1784576283353207	1
ASV_51	ASV_60	0.2465247370223265	1
ASV_44	ASV_61	-0.3375191822779226	1
ASV_45	ASV_61	0.165007492061166	1
ASV_52	ASV_61	-0.2163503614948924	1
ASV_20	ASV_64	0.314482714837431	1
ASV_36	ASV_64	0.1686275976012931	1
ASV_43	ASV_64	0.221439097491314	1
ASV_51	ASV_64	-0.2105729181855365	1
ASV_5	ASV_65	-0.2540455162525177	1
ASV_23	ASV_66	0.2293025106191635	1
ASV_29	ASV_67	0.1875344812870025	1
ASV_18	ASV_68	0.1835227807196005	1
ASV_63	ASV_68	0.1633249932287529	1
ASV_53	ASV_69	0.2723922887538015	1
ASV_10	ASV_70	-0.3423745106271276	1
ASV_15	ASV_70	-0.1667345848048943	1
ASV_35	ASV_70	0.2181315604956339	1
ASV_45	ASV_70	0.3239187740266003	1
ASV_6	ASV_71	-0.2921017680302618	1
ASV_14	ASV_71	-0.246998593211174	1
ASV_32	ASV_71	0.1613273433370927	1
ASV_35	ASV_71	0.1968341479119885	1
ASV_51	ASV_71	0.173309083781714	1
ASV_9	ASV_72	0.1868242323833701	1
ASV_20	ASV_72	0.3629211929117778	1
ASV_36	ASV_72	0.1666799232817483	1
ASV_40	ASV_72	0.1756715189447927	1
ASV_62	ASV_72	0.1671772263776157	1
ASV_64	ASV_72	0.2248217225451703	1
ASV_61	ASV_73	-0.2167418814143785	1
ASV_36	ASV_76	0.3079915236088691	1
ASV_19	ASV_78	-0.1937669836112127	1
ASV_61	ASV_79	-0.1620602597677424	1
ASV_6	ASV_80	-0.1666678041219711	1
ASV_30	ASV_81	-0.2022743847525272	1
ASV_59	ASV_81	0.194324105978012	1
ASV_2	ASV_84	-0.2901586592197418	1
ASV_79	ASV_84	0.172189587130657	1
ASV_10	ASV_85	0.2059818060287806	1
ASV_55	ASV_85	-0.4203914701938629	1
ASV_41	ASV_86	0.2522957360754098	1
ASV_46	ASV_86	0.1599169200303329	1
ASV_61	ASV_86	0.3782106110839839	1
ASV_80	ASV_86	-0.1665584865337043	1
ASV_1	ASV_87	-0.180998659186775	1
ASV_69	ASV_88	0.3823821663479058	1
ASV_72	ASV_88	0.2757685568481565	1
ASV_32	ASV_90	-0.2573027253130508	1
ASV_34	ASV_90	0.2109414262298176	1
ASV_38	ASV_91	0.1607039102203693	1
ASV_60	ASV_91	0.2006220464885411	1
ASV_68	ASV_91	0.1830579694134381	1
ASV_71	ASV_91	0.1939664691976845	1
