#ASV_A	ASV_B	Interaction	Type
ASV_1	ASV_3	0.0834367015882967	1
ASV_2	ASV_3	0.2284532234279618	1
ASV_1	ASV_4	-0.1098138355638834	1
ASV_3	ASV_4	-0.1064543105561279	1
ASV_1	ASV_5	0.1392837633925682	1
ASV_1	ASV_6	0.084709639627498	1
ASV_5	ASV_6	0.2928426367686464	1
ASV_1	ASV_7	0.140896486187664	1
ASV_3	ASV_7	0.2321111670074852	1
ASV_2	ASV_8	-0.1174561455845832	1
ASV_1	ASV_9	0.2373547211545739	1
ASV_1	ASV_10	0.2399527756005262	1
ASV_2	ASV_10	0.1207637576617745	1
ASV_9	ASV_10	0.1566713622095475	1
ASV_4	ASV_11	-0.1133372718267145	1
ASV_5	ASV_11	0.1487503020665132	1
ASV_6	ASV_11	0.1395239718529312	1
ASV_4	ASV_13	0.2903778708910243	1
ASV_1	ASV_14	0.161883651361289	1
ASV_4	ASV_14	-0.0976851955591234	1
ASV_6	ASV_14	0.1184852485042459	1
ASV_11	ASV_14	0.1059777348066712	1
ASV_5	ASV_15	0.2024741053002626	1
ASV_7	ASV_15	0.1639844863194414	1
ASV_8	ASV_15	0.2826344970002267	1
ASV_1	ASV_16	0.1775262159636775	1
ASV_14	ASV_16	0.3122689587730215	1
ASV_4	ASV_17	0.2763177557960227	1
ASV_13	ASV_17	0.2001725120984123	1
ASV_1	ASV_18	0.0746928042209279	1
ASV_7	ASV_18	0.0942797403101422	1
ASV_2	ASV_19	0.079787855750145	1
ASV_3	ASV_19	0.0856507940546723	1
ASV_5	ASV_19	0.2063225912308641	1
ASV_6	ASV_19	0.0958708967313132	1
ASV_9	ASV_19	0.1510190706354197	1
ASV_11	ASV_19	0.1129521700171667	1
ASV_14	ASV_19	0.083422344971817	1
ASV_1	ASV_21	0.1052541527261915	1
ASV_2	ASV_21	0.2661142681742587	1
ASV_3	ASV_21	0.1642264642455735	1
ASV_15	ASV_21	-0.1015929999097327	1
ASV_11	ASV_22	0.1040577192153546	1
ASV_2	ASV_23	-0.0956054766294619	1
ASV_1	ASV_24	0.1581780207462253	1
ASV_2	ASV_24	0.1270327082320429	1
ASV_3	ASV_24	0.0806355988991716	1
ASV_7	ASV_24	0.2483434728946723	1
ASV_9	ASV_24	0.0869667768511879	1
ASV_10	ASV_24	0.1149255064868572	1
ASV_5	ASV_25	0.167336740569795	1
ASV_6	ASV_25	0.1490696262216378	1
ASV_7	ASV_25	0.1426033425927108	1
ASV_14	ASV_25	0.0895654670977505	1
ASV_19	ASV_25	0.1483354081581919	1
ASV_2	ASV_26	0.0945692478862442	1
ASV_3	ASV_26	0.1617355847464058	1
ASV_14	ASV_26	0.1607464991837807	1
ASV_16	ASV_26	0.2030883920236921	1
ASV_23	ASV_26	-0.076472498001414	1
ASV_25	ASV_26	0.0989811444206084	1
ASV_17	ASV_27	0.1212000024929701	1
ASV_25	ASV_27	-0.133897602121507	1
ASV_23	ASV_28	0.286932039860152	1
ASV_9	ASV_29	-0.1091228522362778	1
ASV_14	ASV_29	-0.1322869790130781	1
ASV_16	ASV_29	-0.1615314993840731	1
ASV_23	ASV_29	0.3169220389196193	1
