"X.ASV_A"	"ASV_B"	"Interaction"	"Type"
"ASV_1"	"ASV_5"	0.139283763392568	4
"ASV_1"	"ASV_6"	0.084709639627498	4
"ASV_5"	"ASV_6"	0.292842636768646	4
"ASV_1"	"ASV_7"	0.140896486187664	4
"ASV_3"	"ASV_7"	0.232111167007485	4
"ASV_2"	"ASV_8"	-0.117456145584583	6
"ASV_1"	"ASV_9"	0.237354721154574	4
"ASV_1"	"ASV_10"	0.239952775600526	4
"ASV_2"	"ASV_10"	0.120763757661774	4
"ASV_9"	"ASV_10"	0.156671362209547	4
"ASV_4"	"ASV_11"	-0.113337271826715	6
"ASV_5"	"ASV_11"	0.148750302066513	4
"ASV_6"	"ASV_11"	0.139523971852931	4
"ASV_4"	"ASV_13"	0.290377870891024	4
"ASV_1"	"ASV_14"	0.161883651361289	4
"ASV_4"	"ASV_14"	-0.0976851955591234	6
"ASV_6"	"ASV_14"	0.118485248504246	4
"ASV_11"	"ASV_14"	0.105977734806671	4
"ASV_5"	"ASV_15"	0.202474105300263	4
"ASV_7"	"ASV_15"	0.163984486319441	4
"ASV_8"	"ASV_15"	0.282634497000227	4
"ASV_1"	"ASV_16"	0.177526215963677	4
"ASV_14"	"ASV_16"	0.312268958773022	4
"ASV_4"	"ASV_17"	0.276317755796023	4
"ASV_13"	"ASV_17"	0.200172512098412	4
"ASV_1"	"ASV_18"	0.0746928042209279	4
"ASV_7"	"ASV_18"	0.0942797403101422	4
"ASV_2"	"ASV_19"	0.079787855750145	4
"ASV_3"	"ASV_19"	0.0856507940546723	4
"ASV_5"	"ASV_19"	0.206322591230864	4
"ASV_6"	"ASV_19"	0.0958708967313132	4
"ASV_9"	"ASV_19"	0.15101907063542	4
"ASV_11"	"ASV_19"	0.112952170017167	4
"ASV_14"	"ASV_19"	0.083422344971817	4
"ASV_1"	"ASV_21"	0.105254152726191	4
"ASV_2"	"ASV_21"	0.266114268174259	4
"ASV_3"	"ASV_21"	0.164226464245573	4
"ASV_15"	"ASV_21"	-0.101592999909733	6
"ASV_11"	"ASV_22"	0.104057719215355	4
"ASV_2"	"ASV_23"	-0.0956054766294619	6
"ASV_1"	"ASV_24"	0.158178020746225	4
"ASV_2"	"ASV_24"	0.127032708232043	4
"ASV_3"	"ASV_24"	0.0806355988991716	4
"ASV_7"	"ASV_24"	0.248343472894672	4
"ASV_9"	"ASV_24"	0.0869667768511879	4
"ASV_10"	"ASV_24"	0.114925506486857	4
"ASV_5"	"ASV_25"	0.167336740569795	4
"ASV_6"	"ASV_25"	0.149069626221638	4
"ASV_7"	"ASV_25"	0.142603342592711	4
"ASV_14"	"ASV_25"	0.0895654670977505	4
"ASV_19"	"ASV_25"	0.148335408158192	4
"ASV_2"	"ASV_26"	0.0945692478862442	4
"ASV_3"	"ASV_26"	0.161735584746406	4
"ASV_14"	"ASV_26"	0.160746499183781	4
"ASV_16"	"ASV_26"	0.203088392023692	4
"ASV_23"	"ASV_26"	-0.076472498001414	6
"ASV_25"	"ASV_26"	0.0989811444206084	4
"ASV_17"	"ASV_27"	0.12120000249297	4
"ASV_25"	"ASV_27"	-0.133897602121507	6
"ASV_23"	"ASV_28"	0.286932039860152	4
"ASV_9"	"ASV_29"	-0.109122852236278	6
"ASV_14"	"ASV_29"	-0.132286979013078	6
