#ASV_A	ASV_B	Interaction
ASV_3	ASV_5	0.1412297776413963
ASV_2	ASV_6	0.0996886085881987
ASV_1	ASV_7	0.0755367128651403
ASV_3	ASV_7	0.075805579558047
ASV_5	ASV_7	0.1579360066284938
ASV_1	ASV_9	0.1671401718696594
ASV_3	ASV_9	0.0968854230350235
ASV_2	ASV_10	0.0890127686785839
ASV_6	ASV_10	0.4754309160966285
ASV_9	ASV_10	0.2741334060189268
ASV_6	ASV_11	0.1607839398792967
ASV_6	ASV_14	0.1442731912122377
ASV_11	ASV_14	0.1355085544981973
ASV_3	ASV_15	0.076454399359517
ASV_5	ASV_15	0.1639802720714313
ASV_9	ASV_15	0.1325461150027508
ASV_11	ASV_15	0.2200911848081947
ASV_1	ASV_16	0.0963883472315003
ASV_9	ASV_16	0.1411607980601692
ASV_10	ASV_16	0.0756392509032286
ASV_14	ASV_16	0.2702069011428212
ASV_4	ASV_17	0.1980660108063758
ASV_13	ASV_17	0.2687453130193675
ASV_5	ASV_18	0.1090321133360864
ASV_7	ASV_18	0.1118135398410512
ASV_1	ASV_19	0.1356738812050492
ASV_5	ASV_19	0.2737575536885731
ASV_14	ASV_19	0.1166486364391855
ASV_17	ASV_20	0.1371680746298329
ASV_2	ASV_21	0.069781595261176
ASV_13	ASV_21	-0.1509643378321244
ASV_2	ASV_22	0.0743507547113952
ASV_10	ASV_22	0.0750212099099095
ASV_13	ASV_23	0.0898131862548753
ASV_1	ASV_24	0.1477853935254478
ASV_2	ASV_24	0.1948251608393573
ASV_3	ASV_24	0.2774963926754181
ASV_7	ASV_24	0.142043975818961
ASV_9	ASV_24	0.2809824338600558
ASV_10	ASV_24	0.1112660874135309
ASV_14	ASV_24	0.1953521495374919
ASV_15	ASV_24	0.1518715408631983
ASV_5	ASV_25	0.1492484028965245
ASV_11	ASV_25	0.0916785937110688
ASV_15	ASV_25	0.0819138920572765
ASV_21	ASV_25	0.1076984488786863
ASV_23	ASV_25	-0.0875984307425867
ASV_1	ASV_26	0.1115750375526843
ASV_5	ASV_26	0.1663111134067896
ASV_14	ASV_26	0.1379762105402899
ASV_16	ASV_26	0.1847329597911641
ASV_18	ASV_26	0.0984123777076856
ASV_24	ASV_26	0.0884011582983756
ASV_5	ASV_27	-0.0771572206846457
ASV_19	ASV_27	-0.0771583863673039
ASV_25	ASV_27	-0.0706338926573798
ASV_23	ASV_28	0.3973101711323751
ASV_11	ASV_29	-0.0994969617422952
ASV_14	ASV_29	-0.1427024249096813
ASV_15	ASV_29	-0.0751266155690654
ASV_16	ASV_29	-0.0817248504514407
ASV_23	ASV_29	0.4150665602339971
ASV_6	ASV_30	-0.0739799241514012
ASV_23	ASV_30	0.285566131995567
ASV_28	ASV_30	0.1794298450239466
ASV_6	ASV_31	0.1235209018697935
ASV_11	ASV_31	0.2300307945281185
ASV_13	ASV_31	-0.0934574175756804
ASV_21	ASV_31	0.1476941734689925
ASV_6	ASV_32	-0.0785646517741893
ASV_9	ASV_32	-0.1278275842755073
ASV_23	ASV_32	0.0856738741415946
ASV_24	ASV_32	-0.1138622644540401
ASV_29	ASV_32	0.1207054234989798
ASV_4	ASV_33	0.1332003016851467
ASV_13	ASV_33	0.237374547923177
ASV_17	ASV_33	0.0841808833110275
ASV_20	ASV_33	0.1198151729552499
ASV_10	ASV_34	0.0954307066398082
ASV_14	ASV_34	0.1485437126744021
ASV_16	ASV_34	0.1497488628798843
ASV_29	ASV_34	-0.1359920016360272
ASV_32	ASV_34	-0.1749049073595144
ASV_5	ASV_35	0.145638796669198
ASV_13	ASV_35	0.1304254466660196
ASV_18	ASV_35	0.0912327601451188
ASV_19	ASV_35	0.2193032812628378
ASV_26	ASV_35	0.102615378668609
ASV_20	ASV_36	0.0960073859012945
ASV_21	ASV_36	-0.0853445851539658
ASV_14	ASV_37	0.0910098952901681
ASV_16	ASV_37	0.1275259559132111
ASV_27	ASV_37	-0.1022803746212463
ASV_29	ASV_37	-0.0839741469785083
ASV_30	ASV_37	-0.0748232440819306
ASV_20	ASV_38	-0.0871577781082468
ASV_23	ASV_39	0.0751533004392555
ASV_27	ASV_39	0.0760213084247157
ASV_28	ASV_39	0.2926034258651112
ASV_29	ASV_39	0.2230124629370676
ASV_30	ASV_39	0.0884399402934223
ASV_32	ASV_39	0.1912855584766874
ASV_8	ASV_40	0.0688253940130069
ASV_35	ASV_40	0.0925853713035292
ASV_36	ASV_40	0.0808737695414811
ASV_11	ASV_41	0.1569895417272709
ASV_13	ASV_41	-0.0846523338473907
ASV_17	ASV_41	-0.0742987311041235
ASV_21	ASV_41	0.3594827617189476
ASV_31	ASV_41	0.3770914502738892
ASV_9	ASV_42	-0.0923062455160532
ASV_16	ASV_42	-0.1452555876699313
ASV_23	ASV_42	0.2146998441378919
ASV_34	ASV_42	-0.082057468966666
ASV_38	ASV_42	0.1674566285168646
ASV_40	ASV_42	-0.1320227724126046
ASV_9	ASV_43	0.1967268440720132
ASV_16	ASV_43	0.1138262406690407
ASV_20	ASV_43	0.115507847150677
ASV_35	ASV_43	0.1087223473774528
ASV_37	ASV_43	0.0731865923525045
ASV_40	ASV_43	0.1294606433411045
ASV_42	ASV_43	-0.1377669257882763
ASV_11	ASV_44	-0.0803153631980592
ASV_14	ASV_44	-0.0823234145738097
ASV_23	ASV_44	0.0822358174158251
ASV_27	ASV_44	0.0864520200581601
ASV_28	ASV_44	0.0995423769366068
ASV_29	ASV_44	0.1010510642348281
ASV_39	ASV_44	0.0693123330311111
ASV_21	ASV_45	0.1435713007191567
ASV_25	ASV_45	0.0915039934989842
ASV_27	ASV_45	-0.0817830910491895
ASV_44	ASV_45	-0.0738471402813219
ASV_5	ASV_46	0.115845194803698
ASV_8	ASV_46	0.0998711349858951
ASV_11	ASV_46	0.0845837784888984
ASV_22	ASV_46	0.0750991977320522
ASV_40	ASV_46	0.0706880588009441
ASV_13	ASV_47	0.1345513696302384
ASV_17	ASV_47	0.075672243444364
ASV_33	ASV_47	0.122979250331977
ASV_16	ASV_48	0.1792938022506929
ASV_20	ASV_48	0.0824875894545737
ASV_31	ASV_48	-0.083432117964807
ASV_35	ASV_48	0.1428338943785578
ASV_36	ASV_48	0.0989521746714489
ASV_40	ASV_48	0.1152204395794029
ASV_7	ASV_49	0.1923116779419066
ASV_26	ASV_49	0.11048811621404
ASV_11	ASV_50	-0.0711510748525498
ASV_16	ASV_50	-0.0876792202253025
ASV_23	ASV_50	0.1512448114969363
ASV_28	ASV_50	0.1606568570538771
ASV_29	ASV_50	0.0875039229266676
ASV_30	ASV_50	0.1402579641838175
ASV_32	ASV_50	0.0832289433465882
ASV_39	ASV_50	0.1785395517520164
ASV_7	ASV_51	0.2231138398126203
ASV_20	ASV_51	-0.1267520184428913
ASV_25	ASV_51	0.1184000782341167
ASV_36	ASV_51	-0.1074404529369895
ASV_38	ASV_51	0.1393204643664225
ASV_42	ASV_51	0.1193271301758737
ASV_43	ASV_51	-0.0809303004982395
ASV_5	ASV_52	0.1080244462616359
ASV_7	ASV_52	0.0794997228446577
ASV_18	ASV_52	0.1284640806357763
ASV_5	ASV_53	0.0899773947584396
ASV_11	ASV_53	0.2029359753979672
ASV_15	ASV_53	0.3211801178678599
ASV_22	ASV_53	0.0739396647359504
ASV_24	ASV_53	0.1667745640519369
ASV_25	ASV_53	0.1650617704094137
ASV_29	ASV_53	-0.0916021509367744
ASV_32	ASV_53	-0.069725160611057
ASV_40	ASV_53	0.2637952866722647
ASV_23	ASV_54	0.1280456085512283
ASV_29	ASV_54	0.2018084177604062
ASV_30	ASV_54	0.0723605418166776
ASV_39	ASV_54	0.1208183549134059
ASV_44	ASV_54	0.0922257777487629
ASV_46	ASV_54	-0.0868498238463386
ASV_50	ASV_54	0.0733532689852018
ASV_19	ASV_55	0.0889845224675534
ASV_26	ASV_55	0.0821016771815333
ASV_49	ASV_55	0.0803229105513106
ASV_5	ASV_56	-0.0871059306777967
ASV_55	ASV_57	-0.0752118734772443
ASV_1	ASV_58	-0.0793476480288714
ASV_9	ASV_58	-0.0894449676012106
ASV_14	ASV_58	-0.1020863784852304
ASV_19	ASV_58	-0.100933164259969
ASV_24	ASV_58	-0.0803158621605595
ASV_27	ASV_58	0.1075826886770149
ASV_29	ASV_58	0.2295918041379077
ASV_34	ASV_58	-0.0806110482914367
ASV_43	ASV_58	-0.0832634342932862
ASV_19	ASV_59	0.0695287398606975
ASV_25	ASV_59	0.0843533579124953
ASV_26	ASV_59	0.0718998328945341
ASV_29	ASV_59	-0.0691760849990774
ASV_35	ASV_59	0.0995633334753598
ASV_44	ASV_59	-0.0728739764548391
ASV_55	ASV_59	0.1753050099977544
ASV_9	ASV_60	-0.1028902979761704
ASV_17	ASV_60	0.0728024352985548
ASV_49	ASV_60	0.1108319105701321
ASV_51	ASV_60	0.15971936625593
ASV_52	ASV_60	0.1323017869272475
ASV_55	ASV_60	0.0750495480064708
ASV_57	ASV_60	-0.1106950741997796
ASV_17	ASV_61	-0.0713637547075873
ASV_39	ASV_61	-0.0768632775096609
ASV_41	ASV_61	0.0931072234043949
ASV_44	ASV_61	-0.105948907603532
ASV_45	ASV_61	0.1794761707955363
ASV_46	ASV_61	0.0826879550928616
ASV_50	ASV_61	-0.0841471341599601
ASV_54	ASV_61	-0.14119167348914
ASV_10	ASV_62	0.1011316822484949
ASV_14	ASV_62	0.1268176894962039
ASV_15	ASV_62	0.1180491824704741
ASV_11	ASV_63	-0.0836111549642114
ASV_14	ASV_63	-0.1324041933219227
ASV_23	ASV_63	0.0810076076605049
ASV_24	ASV_63	-0.116628263133487
ASV_27	ASV_63	0.1033160392697086
ASV_35	ASV_63	-0.0975150476015481
ASV_37	ASV_63	-0.069582487324419
ASV_39	ASV_63	0.1448985433456157
ASV_58	ASV_63	0.1144292022978368
ASV_20	ASV_64	0.2306642474404966
ASV_36	ASV_64	0.1012207938321534
ASV_43	ASV_64	0.159098568226189
ASV_51	ASV_64	-0.0943953507207095
ASV_5	ASV_65	-0.0922106179038827
ASV_11	ASV_65	-0.0972351215293336
ASV_14	ASV_65	-0.0910876282334671
ASV_15	ASV_65	-0.0782656002488891
ASV_24	ASV_65	-0.0982496910487132
ASV_27	ASV_65	0.1282031172658203
ASV_28	ASV_65	0.0692506209756976
ASV_29	ASV_65	0.1007542894105488
ASV_30	ASV_65	0.0723091127895792
ASV_37	ASV_65	-0.1092987171153647
ASV_39	ASV_65	0.1182068441039986
ASV_44	ASV_65	0.1027713212560559
ASV_45	ASV_65	-0.0826126379989581
ASV_63	ASV_65	0.0691605934619589
ASV_9	ASV_66	-0.077668224134487
ASV_14	ASV_66	-0.0942632141149122
ASV_23	ASV_66	0.1301729890397897
ASV_27	ASV_66	0.0712561429435885
ASV_28	ASV_66	0.0737652292539793
ASV_30	ASV_66	0.1379693379445086
ASV_42	ASV_66	0.0997252005569732
ASV_44	ASV_66	0.1050923446973085
ASV_46	ASV_66	-0.0699127307372605
ASV_50	ASV_66	0.0781707712895172
ASV_54	ASV_66	0.1218990902657137
ASV_58	ASV_66	0.0747139265437442
ASV_59	ASV_66	-0.072806879588249
ASV_65	ASV_66	0.0709641691357708
ASV_9	ASV_67	-0.1406960099704237
ASV_27	ASV_67	0.0720326531970732
ASV_28	ASV_67	0.0846031446470085
ASV_29	ASV_67	0.11280073359816
ASV_30	ASV_67	0.092341176596285
ASV_39	ASV_67	0.1243008250885661
ASV_45	ASV_67	-0.0762375830785803
ASV_46	ASV_67	-0.0806531014199651
ASV_65	ASV_67	0.120612612397193
ASV_66	ASV_67	0.1281656440646613
ASV_18	ASV_68	0.0798490374799519
ASV_22	ASV_68	-0.0772055964080892
ASV_51	ASV_68	0.1351285461485568
ASV_60	ASV_68	0.2343378667770221
ASV_22	ASV_69	0.0795418102024691
ASV_53	ASV_69	0.0786776954014328
ASV_4	ASV_70	-0.1142406440066269
ASV_45	ASV_70	0.1188374846848051
ASV_57	ASV_70	-0.0765101448745137
ASV_69	ASV_70	-0.0814130400892421
ASV_6	ASV_71	-0.2484608114039811
ASV_8	ASV_71	0.1177567848879331
ASV_10	ASV_71	-0.0996834000413347
ASV_13	ASV_71	0.2401558707209563
ASV_22	ASV_71	-0.0732540587562673
ASV_35	ASV_71	0.1188198745481607
ASV_51	ASV_71	0.1588271868170721
ASV_60	ASV_71	0.2898632711954898
ASV_70	ASV_71	0.1294561578932049
ASV_20	ASV_72	0.1590580260019513
ASV_21	ASV_72	-0.1009363090719342
ASV_36	ASV_72	0.2192538634996611
ASV_40	ASV_72	0.2079822144919326
ASV_43	ASV_72	0.1261300010419546
ASV_51	ASV_72	-0.1199774876382352
