ASV	functionInk	Set.x
ASV_1	154	Both-ASV
ASV_10	159	Both-ASV
ASV_100	20	Both-ASV
ASV_1009	37	Starting-ASV
ASV_101	66	Both-ASV
ASV_1028	57	Final_ASV
ASV_103	24	Final_ASV
ASV_1036	48	Final_ASV
ASV_104	20	Final_ASV
ASV_1042	51	Final_ASV
ASV_1044	8	Final_ASV
ASV_1048	69	Final_ASV
ASV_105	143	Both-ASV
ASV_1052	118	Starting-ASV
ASV_106	74	Final_ASV
ASV_1063	71	Starting-ASV
ASV_107	116	Both-ASV
ASV_1071	86	Final_ASV
ASV_1075	15	Starting-ASV
ASV_108	136	Both-ASV
ASV_1082	33	Final_ASV
ASV_1083	4	Starting-ASV
ASV_1087	132	Final_ASV
ASV_1089	129	Final_ASV
ASV_109	103	Both-ASV
ASV_1091	93	Final_ASV
ASV_1093	129	Final_ASV
ASV_11	148	Both-ASV
ASV_110	16	Final_ASV
ASV_1104	48	Final_ASV
ASV_1105	53	Final_ASV
ASV_1109	34	Final_ASV
ASV_111	110	Final_ASV
ASV_112	130	Final_ASV
ASV_113	67	Final_ASV
ASV_1134	33	Final_ASV
ASV_1139	70	Final_ASV
ASV_114	24	Both-ASV
ASV_1149	27	Starting-ASV
ASV_115	62	Both-ASV
ASV_116	22	Both-ASV
ASV_117	45	Both-ASV
ASV_118	64	Both-ASV
ASV_119	53	Final_ASV
ASV_120	111	Both-ASV
ASV_1202	37	Starting-ASV
ASV_1207	82	Final_ASV
ASV_121	68	Both-ASV
ASV_1213	51	Final_ASV
ASV_1214	64	Final_ASV
ASV_1219	27	Starting-ASV
ASV_122	66	Final_ASV
ASV_1220	85	Final_ASV
ASV_123	16	Both-ASV
ASV_124	26	Both-ASV
ASV_1241	38	Starting-ASV
ASV_125	66	Final_ASV
ASV_126	35	Both-ASV
ASV_1266	71	Starting-ASV
ASV_128	15	Starting-ASV
ASV_1282	36	Final_ASV
ASV_129	112	Final_ASV
ASV_13	163	Both-ASV
ASV_130	109	Both-ASV
ASV_131	160	Both-ASV
ASV_1318	128	Final_ASV
ASV_132	65	Final_ASV
ASV_133	56	Final_ASV
ASV_134	58	Starting-ASV
ASV_135	111	Final_ASV
ASV_1353	37	Starting-ASV
ASV_136	137	Both-ASV
ASV_1368	76	Starting-ASV
ASV_137	118	Final_ASV
ASV_138	70	Final_ASV
ASV_1387	76	Starting-ASV
ASV_139	26	Both-ASV
ASV_1390	37	Starting-ASV
ASV_14	99	Both-ASV
ASV_140	22	Final_ASV
ASV_1404	51	Final_ASV
ASV_141	112	Final_ASV
ASV_142	19	Final_ASV
ASV_143	25	Starting-ASV
ASV_144	22	Both-ASV
ASV_1441	32	Starting-ASV
ASV_1448	53	Starting-ASV
ASV_145	106	Final_ASV
ASV_1454	32	Starting-ASV
ASV_146	96	Final_ASV
ASV_147	109	Final_ASV
ASV_148	26	Both-ASV
ASV_149	53	Both-ASV
ASV_15	148	Both-ASV
ASV_150	63	Final_ASV
ASV_151	3	Final_ASV
ASV_152	37	Both-ASV
ASV_153	27	Both-ASV
ASV_154	29	Final_ASV
ASV_155	139	Final_ASV
ASV_156	70	Final_ASV
ASV_157	26	Both-ASV
ASV_158	60	Final_ASV
ASV_159	87	Final_ASV
ASV_16	99	Both-ASV
ASV_160	50	Final_ASV
ASV_161	61	Final_ASV
ASV_162	58	Starting-ASV
ASV_163	34	Both-ASV
ASV_164	135	Both-ASV
ASV_165	80	Both-ASV
ASV_166	116	Both-ASV
ASV_167	71	Both-ASV
ASV_168	68	Both-ASV
ASV_169	122	Starting-ASV
ASV_17	163	Both-ASV
ASV_170	85	Starting-ASV
ASV_171	141	Final_ASV
ASV_172	23	Final_ASV
ASV_173	111	Final_ASV
ASV_174	32	Final_ASV
ASV_175	37	Both-ASV
ASV_176	96	Final_ASV
ASV_177	39	Both-ASV
ASV_178	68	Final_ASV
ASV_18	24	Both-ASV
ASV_180	53	Final_ASV
ASV_181	11	Both-ASV
ASV_182	153	Both-ASV
ASV_183	107	Final_ASV
ASV_184	44	Final_ASV
