ASV	functionInk	Set.x
ASV_1	189	Both-ASV
ASV_10	119	Both-ASV
ASV_100	110	Both-ASV
ASV_1009	22	Starting-ASV
ASV_101	204	Both-ASV
ASV_1028	54	Final_ASV
ASV_103	108	Final_ASV
ASV_1036	69	Final_ASV
ASV_104	115	Final_ASV
ASV_1042	21	Final_ASV
ASV_1044	3	Final_ASV
ASV_1048	40	Final_ASV
ASV_105	89	Both-ASV
ASV_1052	149	Starting-ASV
ASV_106	197	Final_ASV
ASV_1063	41	Starting-ASV
ASV_107	198	Both-ASV
ASV_1071	60	Final_ASV
ASV_1075	153	Starting-ASV
ASV_108	62	Both-ASV
ASV_1082	20	Final_ASV
ASV_1083	22	Starting-ASV
ASV_1087	129	Final_ASV
ASV_1089	68	Final_ASV
ASV_109	146	Both-ASV
ASV_1091	112	Final_ASV
ASV_1093	68	Final_ASV
ASV_11	47	Both-ASV
ASV_110	177	Final_ASV
ASV_1104	69	Final_ASV
ASV_1105	104	Final_ASV
ASV_1109	18	Final_ASV
ASV_111	99	Final_ASV
ASV_112	49	Final_ASV
ASV_113	123	Final_ASV
ASV_1134	9	Final_ASV
ASV_1139	14	Final_ASV
ASV_114	220	Both-ASV
ASV_1149	37	Starting-ASV
ASV_115	207	Both-ASV
ASV_116	16	Both-ASV
ASV_117	5	Both-ASV
ASV_118	44	Both-ASV
ASV_119	104	Final_ASV
ASV_120	1	Both-ASV
ASV_1202	22	Starting-ASV
ASV_1207	6	Final_ASV
ASV_121	105	Both-ASV
ASV_1213	83	Final_ASV
ASV_1214	44	Final_ASV
ASV_1219	21	Starting-ASV
ASV_122	24	Final_ASV
ASV_1220	147	Final_ASV
ASV_123	155	Both-ASV
ASV_124	36	Both-ASV
ASV_1241	51	Starting-ASV
ASV_125	24	Final_ASV
ASV_126	133	Both-ASV
ASV_1266	41	Starting-ASV
ASV_128	132	Starting-ASV
ASV_1282	65	Final_ASV
ASV_129	169	Final_ASV
ASV_13	7	Both-ASV
ASV_130	127	Both-ASV
ASV_131	226	Both-ASV
ASV_1318	57	Final_ASV
ASV_132	43	Final_ASV
ASV_133	95	Final_ASV
ASV_134	98	Starting-ASV
ASV_135	1	Final_ASV
ASV_1353	22	Starting-ASV
ASV_136	222	Both-ASV
