sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	ExpCompact	exp.replicate.partition	exp.partition
A1.Riz1.AE103.1.Com	Riz1Rep1Com1	1	Rhizobium.1	Rep0	no	AE103	AshridgeEstate	4M	NA	NA	1	NA	NA	NA	NA	Rep0.Class1	Class1	Evolved	Evolved.Rep0.Class1	Evolved.Class1
A2.Riz1.BB22.1.Com	Riz1Rep1Com2	2	Rhizobium.1	Rep0	no	BB22	BurhamBeeches	4M	NA	NA	1	NA	NA	NA	NA	Rep0.Class1	Class1	Evolved	Evolved.Rep0.Class1	Evolved.Class1
A3.Riz1.SP02.1.Com	Riz1Rep1Com3	3	Rhizobium.1	Rep0	no	SP02	SilwoodPark	4M	NA	NA	2	NA	NA	NA	NA	Rep0.Class2	Class2	Evolved	Evolved.Rep0.Class2	Evolved.Class2
A4.Riz1.SP03.1.Com	Riz1Rep1Com4	4	Rhizobium.1	Rep0	no	SP03	SilwoodPark	4M	NA	NA	2	NA	NA	NA	NA	Rep0.Class2	Class2	Evolved	Evolved.Rep0.Class2	Evolved.Class2
A5.Riz1.SP04.1.Com	Riz1Rep1Com5	5	Rhizobium.1	Rep0	no	SP04	SilwoodPark	4M	NA	NA	3	NA	NA	NA	NA	Rep0.Class3	Class3	Evolved	Evolved.Rep0.Class3	Evolved.Class3
A6.Riz1.WYC41.1.Com	Riz1Rep1Com6	6	Rhizobium.1	Rep0	no	WYC41	WythamWoods	4M	NA	NA	2	NA	NA	NA	NA	Rep0.Class2	Class2	Evolved	Evolved.Rep0.Class2	Evolved.Class2
A7.Riz1.WYC42.1.Com	Riz1Rep1Com7	7	Rhizobium.1	Rep0	no	WYC42	WythamWoods	4M	NA	NA	4	NA	NA	NA	NA	Rep0.Class4	Class4	Evolved	Evolved.Rep0.Class4	Evolved.Class4
A8.Riz1.WYM25.1.Com	Riz1Rep1Com8	8	Rhizobium.1	Rep0	no	WYM25	WythamWoods	4M	NA	NA	2	NA	NA	NA	NA	Rep0.Class2	Class2	Evolved	Evolved.Rep0.Class2	Evolved.Class2
B1.Riz1.AE103.2.Com	Riz1Rep2Com1	1	Rhizobium.1	Rep0	no	AE103	AshridgeEstate	4M	NA	NA	5	NA	NA	NA	NA	Rep0.Class5	Class5	Evolved	Evolved.Rep0.Class5	Evolved.Class5
B2.Riz1.BB22.2.Com	Riz1Rep2Com2	2	Rhizobium.1	Rep0	no	BB22	BurhamBeeches	4M	NA	NA	6	NA	NA	NA	NA	Rep0.Class6	Class6	Evolved	Evolved.Rep0.Class6	Evolved.Class6
B3.Riz1.SP02.2.Com	Riz1Rep2Com3	3	Rhizobium.1	Rep0	no	SP02	SilwoodPark	4M	NA	NA	6	NA	NA	NA	NA	Rep0.Class6	Class6	Evolved	Evolved.Rep0.Class6	Evolved.Class6
B4.Riz1.SP03.2.Com	Riz1Rep2Com4	4	Rhizobium.1	Rep0	no	SP03	SilwoodPark	4M	NA	NA	6	NA	NA	NA	NA	Rep0.Class6	Class6	Evolved	Evolved.Rep0.Class6	Evolved.Class6
B5.Riz1.SP04.2.Com	Riz1Rep2Com5	5	Rhizobium.1	Rep0	no	SP04	SilwoodPark	4M	NA	NA	7	NA	NA	NA	NA	Rep0.Class7	Class7	Evolved	Evolved.Rep0.Class7	Evolved.Class7
B6.Riz1.WYC41.2.Com	Riz1Rep2Com6	6	Rhizobium.1	Rep0	no	WYC41	WythamWoods	4M	NA	NA	8	NA	NA	NA	NA	Rep0.Class8	Class8	Evolved	Evolved.Rep0.Class8	Evolved.Class8
B7.Riz1.WYC42.2.Com	Riz1Rep2Com7	7	Rhizobium.1	Rep0	no	WYC42	WythamWoods	4M	NA	NA	7	NA	NA	NA	NA	Rep0.Class7	Class7	Evolved	Evolved.Rep0.Class7	Evolved.Class7
B8.Riz1.WYM25.2.Com	Riz1Rep2Com8	8	Rhizobium.1	Rep0	no	WYM25	WythamWoods	4M	NA	NA	9	NA	NA	NA	NA	Rep0.Class9	Class9	Evolved	Evolved.Rep0.Class9	Evolved.Class9
C1.Nov2.AE103.1.Com	Novo2Rep1Com1	1	Novosphingobium.2 	Rep0	no	AE103	AshridgeEstate	4M	NA	NA	10	NA	NA	NA	NA	Rep0.Class10	Class10	Evolved	Evolved.Rep0.Class10	Evolved.Class10
C2.Nov2.BB22.1.Com	Novo2Rep1Com2	2	Novosphingobium.2 	Rep0	no	BB22	BurhamBeeches	4M	NA	NA	11	NA	NA	NA	NA	Rep0.Class11	Class11	Evolved	Evolved.Rep0.Class11	Evolved.Class11
C3.Nov2.SP02.1.Com	Novo2Rep1Com3	3	Novosphingobium.2	Rep0	no	SP02	SilwoodPark	4M	NA	NA	11	NA	NA	NA	NA	Rep0.Class11	Class11	Evolved	Evolved.Rep0.Class11	Evolved.Class11
