"#ASV_A"	"ASV_B"	"Interaction"	"Type"
"ASV_1"	"ASV_10"	1	1
"ASV_1"	"ASV_101"	1	1
"ASV_1"	"ASV_106"	1	1
"ASV_1"	"ASV_108"	-1	2
"ASV_1"	"ASV_114"	-1	2
"ASV_1"	"ASV_1241"	1	1
"ASV_1"	"ASV_132"	-1	2
"ASV_1"	"ASV_14"	1	1
"ASV_1"	"ASV_155"	-1	2
"ASV_1"	"ASV_156"	1	1
"ASV_1"	"ASV_157"	-1	2
"ASV_1"	"ASV_16"	1	1
"ASV_1"	"ASV_164"	-1	2
"ASV_1"	"ASV_18"	1	1
"ASV_1"	"ASV_191"	-1	2
"ASV_1"	"ASV_195"	-1	2
"ASV_1"	"ASV_209"	-1	2
"ASV_1"	"ASV_21"	1	1
"ASV_1"	"ASV_216"	-1	2
"ASV_1"	"ASV_227"	1	1
"ASV_1"	"ASV_235"	-1	2
"ASV_1"	"ASV_239"	1	1
"ASV_1"	"ASV_24"	1	1
"ASV_1"	"ASV_247"	-1	2
"ASV_1"	"ASV_259"	-1	2
"ASV_1"	"ASV_294"	-1	2
"ASV_1"	"ASV_32"	-1	2
"ASV_1"	"ASV_337"	-1	2
"ASV_1"	"ASV_35"	1	1
"ASV_1"	"ASV_366"	-1	2
"ASV_1"	"ASV_377"	-1	2
"ASV_1"	"ASV_388"	-1	2
"ASV_1"	"ASV_393"	-1	2
"ASV_1"	"ASV_41"	1	1
"ASV_1"	"ASV_42"	-1	2
"ASV_1"	"ASV_433"	-1	2
"ASV_1"	"ASV_438"	-1	2
"ASV_1"	"ASV_442"	1	1
"ASV_1"	"ASV_5"	1	1
"ASV_1"	"ASV_546"	1	1
"ASV_1"	"ASV_6"	1	1
"ASV_1"	"ASV_603"	-1	2
"ASV_1"	"ASV_610"	-1	2
"ASV_1"	"ASV_629"	-1	2
"ASV_1"	"ASV_673"	-1	2
"ASV_1"	"ASV_687"	-1	2
"ASV_1"	"ASV_7"	1	1
"ASV_1"	"ASV_709"	-1	2
"ASV_1"	"ASV_730"	-1	2
"ASV_1"	"ASV_744"	-1	2
"ASV_1"	"ASV_761"	-1	2
"ASV_1"	"ASV_832"	-1	2
"ASV_1"	"ASV_867"	-1	2
"ASV_1"	"ASV_9"	1	1
"ASV_1"	"ASV_92"	-1	2
"ASV_1"	"ASV_94"	-1	2
"ASV_1"	"ASV_974"	-1	2
"ASV_10"	"ASV_118"	1	1
"ASV_10"	"ASV_1214"	1	1
"ASV_10"	"ASV_204"	1	1
"ASV_10"	"ASV_229"	1	1
"ASV_10"	"ASV_24"	1	1
"ASV_10"	"ASV_298"	1	1
"ASV_10"	"ASV_324"	1	1
"ASV_10"	"ASV_46"	1	1
"ASV_10"	"ASV_471"	1	1
"ASV_10"	"ASV_484"	1	1
"ASV_10"	"ASV_52"	1	1
"ASV_10"	"ASV_578"	-1	2
"ASV_10"	"ASV_628"	-1	2
"ASV_10"	"ASV_645"	1	1
"ASV_10"	"ASV_680"	-1	2
"ASV_10"	"ASV_695"	-1	2
"ASV_10"	"ASV_719"	-1	2
"ASV_100"	"ASV_109"	1	1
"ASV_100"	"ASV_120"	-1	2
"ASV_100"	"ASV_131"	1	1
"ASV_100"	"ASV_574"	1	1
"ASV_100"	"ASV_611"	-1	2
"ASV_100"	"ASV_868"	-1	2
"ASV_100"	"ASV_959"	1	1
"ASV_101"	"ASV_107"	1	1
"ASV_101"	"ASV_136"	1	1
"ASV_101"	"ASV_228"	1	1
"ASV_101"	"ASV_424"	1	1
"ASV_101"	"ASV_624"	1	1
"ASV_101"	"ASV_640"	1	1
"ASV_101"	"ASV_778"	1	1
"ASV_103"	"ASV_106"	-1	2
"ASV_103"	"ASV_109"	1	1
"ASV_103"	"ASV_124"	-1	2
"ASV_103"	"ASV_142"	1	1
"ASV_103"	"ASV_146"	1	1
"ASV_103"	"ASV_388"	-1	2
"ASV_103"	"ASV_524"	1	1
"ASV_104"	"ASV_109"	1	1
"ASV_104"	"ASV_115"	1	1
"ASV_104"	"ASV_122"	1	1
"ASV_104"	"ASV_138"	1	1
"ASV_104"	"ASV_184"	1	1
"ASV_104"	"ASV_200"	1	1
"ASV_104"	"ASV_202"	1	1
"ASV_104"	"ASV_208"	1	1
"ASV_104"	"ASV_256"	1	1
"ASV_104"	"ASV_333"	1	1
"ASV_104"	"ASV_350"	-1	2
"ASV_104"	"ASV_446"	-1	2
"ASV_104"	"ASV_484"	-1	2
"ASV_104"	"ASV_505"	1	1
"ASV_104"	"ASV_611"	1	1
"ASV_104"	"ASV_778"	1	1
"ASV_105"	"ASV_272"	1	1
"ASV_106"	"ASV_189"	-1	2
"ASV_106"	"ASV_267"	1	1
"ASV_106"	"ASV_278"	1	1
"ASV_106"	"ASV_394"	1	1
"ASV_106"	"ASV_396"	1	1
"ASV_107"	"ASV_1036"	1	1
"ASV_107"	"ASV_160"	1	1
"ASV_107"	"ASV_166"	1	1
"ASV_107"	"ASV_175"	1	1
"ASV_107"	"ASV_213"	-1	2
"ASV_107"	"ASV_216"	1	1
"ASV_107"	"ASV_256"	1	1
"ASV_107"	"ASV_272"	1	1
"ASV_107"	"ASV_274"	1	1
"ASV_107"	"ASV_337"	1	1
"ASV_107"	"ASV_364"	1	1
"ASV_107"	"ASV_379"	1	1
"ASV_108"	"ASV_132"	1	1
"ASV_108"	"ASV_248"	1	1
"ASV_108"	"ASV_285"	1	1
"ASV_108"	"ASV_422"	1	1
"ASV_109"	"ASV_574"	1	1
"ASV_11"	"ASV_14"	1	1
"ASV_11"	"ASV_15"	1	1
"ASV_11"	"ASV_160"	-1	2
"ASV_11"	"ASV_19"	1	1
"ASV_11"	"ASV_194"	-1	2
"ASV_11"	"ASV_22"	1	1
"ASV_11"	"ASV_250"	1	1
"ASV_11"	"ASV_282"	1	1
"ASV_11"	"ASV_298"	1	1
"ASV_11"	"ASV_303"	-1	2
"ASV_11"	"ASV_31"	1	1
"ASV_11"	"ASV_496"	1	1
"ASV_11"	"ASV_519"	1	1
"ASV_11"	"ASV_533"	-1	2
"ASV_11"	"ASV_540"	1	1
"ASV_11"	"ASV_59"	1	1
"ASV_11"	"ASV_76"	-1	2
"ASV_110"	"ASV_124"	1	1
"ASV_110"	"ASV_173"	-1	2
"ASV_110"	"ASV_196"	1	1
"ASV_110"	"ASV_247"	1	1
"ASV_110"	"ASV_668"	1	1
"ASV_112"	"ASV_1207"	1	1
"ASV_112"	"ASV_1318"	1	1
"ASV_112"	"ASV_132"	1	1
"ASV_112"	"ASV_154"	-1	2
"ASV_112"	"ASV_163"	1	1
"ASV_112"	"ASV_292"	1	1
"ASV_112"	"ASV_337"	1	1
"ASV_112"	"ASV_476"	1	1
"ASV_112"	"ASV_648"	-1	2
"ASV_112"	"ASV_654"	1	1
"ASV_112"	"ASV_699"	1	1
"ASV_113"	"ASV_1139"	1	1
"ASV_113"	"ASV_270"	1	1
"ASV_113"	"ASV_430"	-1	2
"ASV_114"	"ASV_137"	1	1
"ASV_114"	"ASV_181"	1	1
"ASV_114"	"ASV_496"	1	1
"ASV_114"	"ASV_556"	1	1
"ASV_114"	"ASV_782"	1	1
"ASV_115"	"ASV_143"	-1	2
"ASV_115"	"ASV_159"	1	1
"ASV_115"	"ASV_233"	1	1
"ASV_115"	"ASV_252"	1	1
"ASV_115"	"ASV_267"	1	1
"ASV_115"	"ASV_491"	-1	2
"ASV_115"	"ASV_498"	-1	2
