"#ASV_A"	"ASV_B"	"Interaction"	"Type"
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	2
"ASV_1"	"ASV_1241"	1	1
NA	"ASV_1"	NA	2
"ASV_1"	"ASV_14"	1	1
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	1
"ASV_1"	"ASV_157"	2	1
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	1
"ASV_1"	"ASV_216"	2	7
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	2
"ASV_1"	"ASV_259"	2	1
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	2
"ASV_1"	"ASV_388"	2	7
NA	"ASV_1"	NA	2
"ASV_1"	"ASV_41"	1	1
NA	"ASV_1"	NA	2
"ASV_1"	"ASV_433"	2	1
"ASV_1"	"ASV_438"	2	1
"ASV_1"	"ASV_442"	1	1
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	1
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	2
"ASV_1"	"ASV_673"	2	1
NA	"ASV_1"	NA	2
NA	"ASV_1"	NA	1
"ASV_1"	"ASV_709"	2	1
"ASV_1"	"ASV_730"	2	1
"ASV_1"	"ASV_744"	2	1
"ASV_1"	"ASV_761"	2	1
"ASV_1"	"ASV_832"	2	1
NA	"ASV_1"	NA	2
"ASV_1"	"ASV_9"	1	1
NA	"ASV_1"	NA	2
"ASV_1"	"ASV_94"	2	1
NA	"ASV_1"	NA	2
NA	"ASV_10"	NA	1
NA	"ASV_10"	NA	1
NA	"ASV_10"	NA	1
NA	"ASV_10"	NA	1
NA	"ASV_10"	NA	1
NA	"ASV_10"	NA	1
NA	"ASV_10"	NA	1
NA	"ASV_10"	NA	1
NA	"ASV_10"	NA	1
NA	"ASV_10"	NA	1
"ASV_10"	"ASV_52"	1	1
"ASV_10"	"ASV_578"	2	1
NA	"ASV_10"	NA	2
NA	"ASV_10"	NA	1
NA	"ASV_10"	NA	2
NA	"ASV_10"	NA	2
NA	"ASV_10"	NA	2
NA	"ASV_100"	NA	1
NA	"ASV_100"	NA	2
NA	"ASV_100"	NA	1
NA	"ASV_100"	NA	1
NA	"ASV_100"	NA	2
NA	"ASV_100"	NA	2
NA	"ASV_100"	NA	1
NA	"ASV_101"	NA	1
NA	"ASV_101"	NA	1
NA	"ASV_101"	NA	1
NA	"ASV_101"	NA	1
NA	"ASV_101"	NA	1
NA	"ASV_101"	NA	1
NA	"ASV_101"	NA	1
NA	"ASV_103"	NA	2
NA	"ASV_103"	NA	1
NA	"ASV_103"	NA	2
NA	"ASV_103"	NA	1
NA	"ASV_103"	NA	1
NA	"ASV_103"	NA	2
NA	"ASV_103"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	2
NA	"ASV_104"	NA	2
NA	"ASV_104"	NA	2
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_104"	NA	1
NA	"ASV_105"	NA	1
NA	"ASV_106"	NA	2
NA	"ASV_106"	NA	1
NA	"ASV_106"	NA	1
NA	"ASV_106"	NA	1
NA	"ASV_106"	NA	1
NA	"ASV_107"	NA	1
NA	"ASV_107"	NA	1
"ASV_107"	"ASV_166"	1	1
"ASV_107"	"ASV_175"	1	1
NA	"ASV_107"	NA	2
"ASV_107"	"ASV_216"	1	1
NA	"ASV_107"	NA	1
NA	"ASV_107"	NA	1
NA	"ASV_107"	NA	1
"ASV_107"	"ASV_337"	1	1
NA	"ASV_107"	NA	1
NA	"ASV_107"	NA	1
NA	"ASV_108"	NA	1
"ASV_108"	"ASV_248"	1	1
"ASV_108"	"ASV_285"	1	1
"ASV_108"	"ASV_422"	1	1
NA	"ASV_109"	NA	1
NA	"ASV_11"	NA	1
"ASV_11"	"ASV_15"	1	1
NA	"ASV_11"	NA	2
NA	"ASV_11"	NA	1
NA	"ASV_11"	NA	2
NA	"ASV_11"	NA	1
NA	"ASV_11"	NA	1
"ASV_11"	"ASV_282"	1	1
NA	"ASV_11"	NA	1
NA	"ASV_11"	NA	2
"ASV_11"	"ASV_31"	1	1
NA	"ASV_11"	NA	1
NA	"ASV_11"	NA	1
NA	"ASV_11"	NA	2
"ASV_11"	"ASV_540"	1	1
"ASV_11"	"ASV_59"	1	1
NA	"ASV_11"	NA	2
NA	"ASV_110"	NA	1
NA	"ASV_110"	NA	2
