"#ASV_A"	"ASV_B"	"Type"
"ASV_1"	"ASV_10"	7
"ASV_1"	"ASV_101"	7
"ASV_1"	"ASV_106"	7
"ASV_1"	"ASV_108"	9
"ASV_1"	"ASV_114"	9
"ASV_1"	"ASV_1241"	4
"ASV_1"	"ASV_132"	9
"ASV_1"	"ASV_14"	1
"ASV_1"	"ASV_155"	9
"ASV_1"	"ASV_156"	7
"ASV_1"	"ASV_157"	6
"ASV_1"	"ASV_16"	7
"ASV_1"	"ASV_164"	9
"ASV_1"	"ASV_18"	7
"ASV_1"	"ASV_191"	9
"ASV_1"	"ASV_195"	9
"ASV_1"	"ASV_209"	9
"ASV_1"	"ASV_21"	7
"ASV_1"	"ASV_216"	3
"ASV_1"	"ASV_227"	7
"ASV_1"	"ASV_235"	9
"ASV_1"	"ASV_239"	7
"ASV_1"	"ASV_24"	7
"ASV_1"	"ASV_247"	9
"ASV_1"	"ASV_259"	6
"ASV_1"	"ASV_294"	9
"ASV_1"	"ASV_32"	9
"ASV_1"	"ASV_337"	9
"ASV_1"	"ASV_35"	7
"ASV_1"	"ASV_366"	9
"ASV_1"	"ASV_377"	9
"ASV_1"	"ASV_388"	3
"ASV_1"	"ASV_393"	9
"ASV_1"	"ASV_41"	4
"ASV_1"	"ASV_42"	9
"ASV_1"	"ASV_433"	6
"ASV_1"	"ASV_438"	6
"ASV_1"	"ASV_442"	4
"ASV_1"	"ASV_5"	7
"ASV_1"	"ASV_546"	7
"ASV_1"	"ASV_6"	7
"ASV_1"	"ASV_603"	9
"ASV_1"	"ASV_610"	9
"ASV_1"	"ASV_629"	9
"ASV_1"	"ASV_673"	6
"ASV_1"	"ASV_687"	9
"ASV_1"	"ASV_7"	7
"ASV_1"	"ASV_709"	6
"ASV_1"	"ASV_730"	6
"ASV_1"	"ASV_744"	6
"ASV_1"	"ASV_761"	6
"ASV_1"	"ASV_832"	6
"ASV_1"	"ASV_867"	9
"ASV_1"	"ASV_9"	1
"ASV_1"	"ASV_92"	9
"ASV_1"	"ASV_94"	6
"ASV_1"	"ASV_974"	9
"ASV_10"	"ASV_118"	7
"ASV_10"	"ASV_1214"	7
"ASV_10"	"ASV_204"	7
"ASV_10"	"ASV_229"	7
"ASV_10"	"ASV_24"	7
"ASV_10"	"ASV_298"	7
"ASV_10"	"ASV_324"	7
"ASV_10"	"ASV_46"	7
"ASV_10"	"ASV_471"	7
"ASV_10"	"ASV_484"	7
"ASV_10"	"ASV_52"	4
"ASV_10"	"ASV_578"	6
"ASV_10"	"ASV_628"	9
"ASV_10"	"ASV_645"	7
"ASV_10"	"ASV_680"	9
"ASV_10"	"ASV_695"	9
"ASV_10"	"ASV_719"	9
"ASV_100"	"ASV_109"	7
"ASV_100"	"ASV_120"	9
"ASV_100"	"ASV_131"	7
"ASV_100"	"ASV_574"	7
"ASV_100"	"ASV_611"	9
"ASV_100"	"ASV_868"	9
"ASV_100"	"ASV_959"	7
"ASV_101"	"ASV_107"	7
"ASV_101"	"ASV_136"	7
"ASV_101"	"ASV_228"	7
"ASV_101"	"ASV_424"	7
"ASV_101"	"ASV_624"	7
"ASV_101"	"ASV_640"	7
"ASV_101"	"ASV_778"	7
"ASV_103"	"ASV_106"	9
"ASV_103"	"ASV_109"	7
"ASV_103"	"ASV_124"	9
"ASV_103"	"ASV_142"	7
"ASV_103"	"ASV_146"	7
"ASV_103"	"ASV_388"	9
"ASV_103"	"ASV_524"	7
"ASV_104"	"ASV_109"	7
"ASV_104"	"ASV_115"	7
"ASV_104"	"ASV_122"	7
"ASV_104"	"ASV_138"	7
"ASV_104"	"ASV_184"	7
"ASV_104"	"ASV_200"	7
"ASV_104"	"ASV_202"	7
"ASV_104"	"ASV_208"	7
"ASV_104"	"ASV_256"	7
"ASV_104"	"ASV_333"	7
"ASV_104"	"ASV_350"	9
"ASV_104"	"ASV_446"	9
"ASV_104"	"ASV_484"	9
"ASV_104"	"ASV_505"	7
"ASV_104"	"ASV_611"	7
"ASV_104"	"ASV_778"	7
"ASV_105"	"ASV_272"	7
"ASV_106"	"ASV_189"	9
"ASV_106"	"ASV_267"	7
"ASV_106"	"ASV_278"	7
"ASV_106"	"ASV_394"	7
"ASV_106"	"ASV_396"	7
"ASV_107"	"ASV_1036"	7
"ASV_107"	"ASV_160"	7
"ASV_107"	"ASV_166"	4
"ASV_107"	"ASV_175"	4
"ASV_107"	"ASV_213"	9
"ASV_107"	"ASV_216"	4
"ASV_107"	"ASV_256"	7
"ASV_107"	"ASV_272"	7
"ASV_107"	"ASV_274"	7
"ASV_107"	"ASV_337"	4
"ASV_107"	"ASV_364"	7
"ASV_107"	"ASV_379"	7
"ASV_108"	"ASV_132"	7
"ASV_108"	"ASV_248"	4
"ASV_108"	"ASV_285"	4
"ASV_108"	"ASV_422"	4
"ASV_109"	"ASV_574"	7
"ASV_11"	"ASV_14"	7
"ASV_11"	"ASV_15"	4
"ASV_11"	"ASV_160"	9
"ASV_11"	"ASV_19"	7
"ASV_11"	"ASV_194"	9
"ASV_11"	"ASV_22"	7
"ASV_11"	"ASV_250"	7
"ASV_11"	"ASV_282"	4
"ASV_11"	"ASV_298"	7
"ASV_11"	"ASV_303"	9
"ASV_11"	"ASV_31"	1
"ASV_11"	"ASV_496"	7
"ASV_11"	"ASV_519"	7
"ASV_11"	"ASV_533"	9
"ASV_11"	"ASV_540"	4
"ASV_11"	"ASV_59"	4
"ASV_11"	"ASV_76"	9
"ASV_110"	"ASV_124"	7
"ASV_110"	"ASV_173"	9
"ASV_110"	"ASV_196"	7
"ASV_110"	"ASV_247"	7
"ASV_110"	"ASV_668"	7
"ASV_112"	"ASV_1207"	7
"ASV_112"	"ASV_1318"	7
"ASV_112"	"ASV_132"	7
"ASV_112"	"ASV_154"	9
"ASV_112"	"ASV_163"	7
"ASV_112"	"ASV_292"	7
"ASV_112"	"ASV_337"	7
"ASV_112"	"ASV_476"	7
"ASV_112"	"ASV_648"	9
"ASV_112"	"ASV_654"	7
"ASV_112"	"ASV_699"	7
"ASV_113"	"ASV_1139"	7
"ASV_113"	"ASV_270"	7
"ASV_113"	"ASV_430"	9
"ASV_114"	"ASV_137"	7
"ASV_114"	"ASV_181"	7
"ASV_114"	"ASV_496"	7
"ASV_114"	"ASV_556"	4
"ASV_114"	"ASV_782"	7
"ASV_115"	"ASV_143"	6
"ASV_115"	"ASV_159"	7
"ASV_115"	"ASV_233"	7
"ASV_115"	"ASV_252"	7
"ASV_115"	"ASV_267"	7
"ASV_115"	"ASV_491"	9
"ASV_115"	"ASV_498"	9
"ASV_115"	"ASV_655"	7
"ASV_115"	"ASV_680"	9
"ASV_115"	"ASV_782"	7
"ASV_116"	"ASV_121"	6
"ASV_116"	"ASV_139"	4
"ASV_116"	"ASV_163"	1
"ASV_116"	"ASV_205"	7
"ASV_116"	"ASV_232"	7
"ASV_116"	"ASV_251"	4
"ASV_116"	"ASV_262"	4
"ASV_116"	"ASV_268"	9
"ASV_116"	"ASV_364"	7
"ASV_116"	"ASV_366"	4
"ASV_116"	"ASV_673"	4
"ASV_117"	"ASV_1048"	7
"ASV_117"	"ASV_132"	7
"ASV_117"	"ASV_139"	4
"ASV_117"	"ASV_155"	7
"ASV_117"	"ASV_157"	7
"ASV_117"	"ASV_372"	7
"ASV_117"	"ASV_625"	7
"ASV_117"	"ASV_786"	7
"ASV_117"	"ASV_826"	7
"ASV_118"	"ASV_162"	4
"ASV_118"	"ASV_276"	4
"ASV_120"	"ASV_123"	9
"ASV_120"	"ASV_135"	7
"ASV_120"	"ASV_173"	7
"ASV_120"	"ASV_203"	7
"ASV_120"	"ASV_236"	7
"ASV_120"	"ASV_268"	7
"ASV_120"	"ASV_342"	7
"ASV_120"	"ASV_347"	4
"ASV_121"	"ASV_168"	7
"ASV_121"	"ASV_208"	7
"ASV_121"	"ASV_267"	7
"ASV_121"	"ASV_272"	7
"ASV_121"	"ASV_340"	7
"ASV_121"	"ASV_369"	7
"ASV_122"	"ASV_1139"	7
"ASV_122"	"ASV_138"	7
"ASV_122"	"ASV_156"	7
"ASV_122"	"ASV_217"	9
"ASV_122"	"ASV_624"	7
"ASV_122"	"ASV_670"	7
"ASV_122"	"ASV_715"	7
"ASV_122"	"ASV_736"	7
"ASV_123"	"ASV_132"	7
"ASV_123"	"ASV_155"	7
"ASV_123"	"ASV_207"	7
"ASV_123"	"ASV_290"	7
"ASV_123"	"ASV_398"	7
"ASV_123"	"ASV_573"	7
"ASV_124"	"ASV_139"	4
"ASV_124"	"ASV_148"	4
"ASV_124"	"ASV_166"	7
"ASV_124"	"ASV_251"	4
"ASV_124"	"ASV_274"	7
"ASV_124"	"ASV_350"	7
"ASV_124"	"ASV_381"	4
"ASV_124"	"ASV_465"	7
"ASV_124"	"ASV_489"	7
"ASV_124"	"ASV_495"	7
"ASV_124"	"ASV_561"	4
"ASV_124"	"ASV_599"	7
"ASV_124"	"ASV_694"	7
"ASV_124"	"ASV_793"	4
"ASV_124"	"ASV_838"	7
"ASV_124"	"ASV_913"	7
"ASV_124"	"ASV_950"	4
"ASV_125"	"ASV_624"	7
"ASV_125"	"ASV_670"	7
"ASV_125"	"ASV_886"	7
"ASV_126"	"ASV_148"	4
"ASV_126"	"ASV_195"	4
"ASV_126"	"ASV_199"	4
"ASV_128"	"ASV_148"	4
"ASV_128"	"ASV_166"	4
"ASV_128"	"ASV_169"	4
"ASV_128"	"ASV_170"	4
"ASV_129"	"ASV_141"	7
"ASV_129"	"ASV_268"	7
"ASV_129"	"ASV_650"	7
"ASV_13"	"ASV_17"	7
"ASV_13"	"ASV_210"	9
"ASV_13"	"ASV_33"	1
"ASV_13"	"ASV_395"	9
"ASV_13"	"ASV_60"	7
"ASV_13"	"ASV_62"	6
"ASV_13"	"ASV_79"	9
"ASV_130"	"ASV_147"	7
"ASV_130"	"ASV_155"	7
"ASV_130"	"ASV_332"	7
"ASV_130"	"ASV_574"	7
"ASV_131"	"ASV_204"	7
"ASV_131"	"ASV_270"	7
"ASV_131"	"ASV_284"	7
"ASV_131"	"ASV_327"	7
"ASV_131"	"ASV_484"	7
"ASV_131"	"ASV_727"	7
"ASV_132"	"ASV_350"	7
"ASV_134"	"ASV_149"	6
"ASV_134"	"ASV_193"	4
"ASV_134"	"ASV_195"	4
"ASV_134"	"ASV_215"	4
"ASV_134"	"ASV_460"	4
"ASV_134"	"ASV_500"	4
"ASV_135"	"ASV_150"	7
"ASV_135"	"ASV_203"	7
"ASV_135"	"ASV_204"	7
"ASV_135"	"ASV_236"	7
"ASV_135"	"ASV_246"	7
"ASV_135"	"ASV_312"	7
"ASV_136"	"ASV_252"	7
"ASV_136"	"ASV_391"	7
"ASV_136"	"ASV_415"	7
"ASV_136"	"ASV_563"	7
"ASV_137"	"ASV_139"	7
"ASV_137"	"ASV_212"	7
"ASV_137"	"ASV_224"	7
"ASV_138"	"ASV_159"	7
"ASV_138"	"ASV_191"	9
"ASV_139"	"ASV_1052"	4
"ASV_139"	"ASV_140"	7
"ASV_139"	"ASV_144"	4
"ASV_139"	"ASV_148"	4
"ASV_139"	"ASV_186"	4
"ASV_139"	"ASV_219"	7
"ASV_139"	"ASV_245"	9
"ASV_139"	"ASV_251"	4
"ASV_139"	"ASV_258"	7
"ASV_139"	"ASV_260"	4
"ASV_139"	"ASV_296"	4
"ASV_139"	"ASV_337"	7
"ASV_139"	"ASV_357"	4
"ASV_139"	"ASV_388"	7
"ASV_139"	"ASV_465"	7
"ASV_139"	"ASV_494"	7
"ASV_139"	"ASV_495"	4
"ASV_139"	"ASV_520"	4
"ASV_139"	"ASV_539"	1
"ASV_139"	"ASV_654"	4
"ASV_139"	"ASV_698"	4
"ASV_139"	"ASV_751"	6
"ASV_14"	"ASV_104"	7
"ASV_14"	"ASV_115"	7
"ASV_14"	"ASV_153"	9
"ASV_14"	"ASV_16"	7
"ASV_14"	"ASV_163"	6
"ASV_14"	"ASV_19"	7
"ASV_14"	"ASV_191"	6
"ASV_14"	"ASV_216"	6
