#ASV_A	ASV_B	Interaction
ASV_3	ASV_5	0.2362067034162942
ASV_3	ASV_6	0.1337948000670496
ASV_5	ASV_6	0.3054153049275087
ASV_2	ASV_7	0.2518058247456505
ASV_3	ASV_7	0.1143515244025034
ASV_1	ASV_8	0.5940671147779516
ASV_4	ASV_8	0.1407122064755271
ASV_2	ASV_9	0.1133429233325992
ASV_2	ASV_10	0.14033741310005
ASV_5	ASV_10	0.1086122868668953
ASV_7	ASV_10	0.1896492457215658
ASV_9	ASV_10	0.111332546044631
ASV_5	ASV_11	0.2031172817543998
ASV_4	ASV_13	-0.1403259397348954
ASV_5	ASV_14	0.174633621731909
ASV_2	ASV_15	0.1648117752033108
ASV_11	ASV_15	0.3986942430989602
ASV_1	ASV_16	0.1238240636586574
ASV_4	ASV_16	0.1312052228012877
ASV_6	ASV_16	0.1805880696000442
ASV_14	ASV_16	0.1548211240242368
ASV_4	ASV_17	0.2155559314555008
ASV_1	ASV_18	0.1494203363279315
ASV_16	ASV_18	0.1454170202779578
ASV_17	ASV_18	0.1338249909323976
ASV_3	ASV_19	0.1764150238247351
ASV_6	ASV_19	0.1078496509846735
ASV_9	ASV_19	0.1062395304916429
ASV_2	ASV_21	0.1748896731135187
ASV_15	ASV_21	0.1276894770415042
ASV_5	ASV_22	0.1200744921638269
ASV_2	ASV_25	0.1049881074087722
ASV_5	ASV_25	0.1987789145434299
ASV_5	ASV_26	0.1248276921576869
ASV_7	ASV_26	0.1498745095510907
ASV_14	ASV_26	0.1214793261171616
ASV_8	ASV_27	0.1478589885399025
ASV_9	ASV_27	-0.1676266790112061
ASV_10	ASV_27	-0.1126396849363865
ASV_4	ASV_31	-0.2195798068501142
ASV_11	ASV_31	0.2629473074035767
ASV_22	ASV_31	0.1504616114939741
ASV_25	ASV_31	0.2076195238331622
ASV_2	ASV_33	-0.1137051356314235
ASV_6	ASV_33	-0.1337774797311145
ASV_13	ASV_33	0.4230146408081054
ASV_22	ASV_33	-0.1215885276636127
ASV_14	ASV_34	0.1035281292469005
ASV_19	ASV_34	0.1230634496182238
ASV_21	ASV_34	0.1049979122299279
ASV_32	ASV_34	-0.1634913942706406
ASV_7	ASV_35	0.1496759874360272
ASV_3	ASV_36	-0.1116321993375913
ASV_10	ASV_37	0.1273214013082249
ASV_26	ASV_37	0.134031913730586
ASV_14	ASV_38	0.1149259162473132
ASV_15	ASV_38	0.1341800045020474
ASV_11	ASV_40	0.2467561778318856
ASV_19	ASV_40	0.1185733548537284
ASV_25	ASV_40	0.1417348880765458
ASV_34	ASV_40	0.1147097597634693
