,sample.id,Tree.type,Inoculation,Basalt,AllTreatments,Concentration..ng.ul.,X260.280,pH.mound,pH.undisturbed,N_avg,C_orgAvg,C_totAvg,R
1,A10,conifer,noninoculated,nobasalt,conifer,11.7,1.78,5.279,5.388,0.48,4.82,5.62,346
2,A11,broadleaf,inoculated,nobasalt,broadleafinoculated,38.8,2.08,5.099,5.133,0.56,5.87,6.55,326
3,A3,broadleaf,noninoculated,nobasalt,broadleaf,12.6,1.87,4.98,5.158,0.49,4.94,5.66,377
4,A4,broadleaf,inoculated,basalt,broadleafinoculatedbasalt,15.1,2.1,5.055,5.403,0.54,5.645,6.6,386
5,A5,conifer,inoculated,basalt,coniferinoculatedbasalt,17.6,1.96,5.082,5.363,0.51,5.31,6.35,362
6,A6,conifer,inoculated,nobasalt,coniferinoculated,33,1.95,4.956,5.18,0.52,5.42,6.51,346
7,A7,broadleaf,noninoculated,basalt,broadleafbasalt,30.7,2.07,5.538,5.187,0.54,5.54,6.16,396
8,A714,broadleaf,noninoculated,basalt,speciesbroadleafbasalt,28.1,1.84,5.538,5.187,0.54,5.54,6.16,333
9,A715,broadleaf,noninoculated,basalt,speciesbroadleafbasalt,26.5,1.88,5.538,5.187,0.54,5.54,6.16,318
10,A716,broadleaf,noninoculated,basalt,speciesbroadleafbasalt,33.4,2.11,5.538,5.187,0.54,5.54,6.16,317
11,A717,broadleaf,noninoculated,basalt,speciesbroadleafbasalt,34.8,1.89,5.538,5.187,0.54,5.54,6.16,336
12,A718,broadleaf,noninoculated,basalt,speciesbroadleafbasalt,28.1,1.9,5.538,5.187,0.54,5.54,6.16,494
13,A719,broadleaf,noninoculated,basalt,speciesbroadleafbasalt,43,1.86,5.538,5.187,0.54,5.54,6.16,347
14,A8,conifer,noninoculated,basalt,coniferbasalt,14.1,1.79,5.636,5.744,0.57,5.99,6.17,352
15,A9,control,control,control,control,16.6,1.96,NA,5.334,0.46,4.76,5.16,417
16,B12,broadleaf,inoculated,basalt,broadleafinoculatedbasalt,84.7,1.93,5.555,6.085,0.54,5.46,5.69,343
17,B13,conifer,inoculated,nobasalt,coniferinoculated,80.4,1.93,5.172,5.083,0.56,5.65,6.17,322
18,B14,conifer,noninoculated,nobasalt,conifer,1.5,2.09,5.078,5.174,0.46,4.48,5.41,569
19,B15,broadleaf,inoculated,nobasalt,broadleafinoculated,14.4,1.87,5.336,5.468,0.51,5.2,6.39,379
20,B16,control,control,control,control,16,1.78,NA,5.239,0.44,4.18,5.08,427
21,B17,conifer,noninoculated,basalt,coniferbasalt,38.8,1.91,5.536,5.669,0.38,3.55,3.87,392
22,B18,broadleaf,noninoculated,nobasalt,broadleaf,6.5,1.72,4.947,5.014,0.79,7.78,6.88,335
23,B19,conifer,inoculated,basalt,coniferinoculatedbasalt,24.7,1.88,6.359,5.176,0.62,5.71,6.55,416
24,B20,broadleaf,noninoculated,basalt,broadleafbasalt,35.5,1.84,5.302,5.271,0.51,5.07,5.4,356
25,C1,broadleaf,noninoculated,nobasalt,broadleaf,31,1.87,5.549,5.528,0.6,6.34,6.27,476
26,C2,broadleaf,inoculated,basalt,broadleafinoculatedbasalt,33.3,1.86,5.87,5.812,0.55,5.67,5.24,371
27,C21,control,control,control,control,5.3,1.51,NA,5.418,0.52,5.48,6.13,368
28,C23,conifer,inoculated,nobasalt,coniferinoculated,84.4,1.93,5.491,5.482,0.59,6.18,6.88,413
29,C24,broadleaf,inoculated,nobasalt,broadleafinoculated,81.9,1.9,5.591,5.464,0.52,5.23,5.9,466
30,C25,conifer,noninoculated,basalt,coniferbasalt,20.2,1.94,5.542,5.365,0.61,6.27,6.95,345
31,C26,broadleaf,noninoculated,basalt,broadleafbasalt,62.5,1.91,5.938,6.129,0.53,5.55,6.57,351
32,C27,conifer,inoculated,basalt,coniferinoculatedbasalt,43.8,1.9,6.32,5.634,0.57,5.81,5.76,327
33,D29,conifer,inoculated,nobasalt,coniferinoculated,2.5,4.62,4.855,4.968,0.53,5.19,5.87,255
