variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_1	4.2959	148743	0.0797645003183052	81.8026282736464	10000	156	0
ASV_104	5.80160328	90247	0.011923979022432	28.608850333766	9998	0	1
ASV_124	3.89273608	54365	0.0483912356656137	59.2640256060311	9978	0	1
ASV_139	5.48677224	39703	-0.000298590206008312	21.5599742386884	9834	0	1
ASV_14	4.1271	113097	0.128799053236075	82.0361898812586	10000	395	1.60366141325103e-283
ASV_148	8.75642084	8152	-0.000530904514672334	2.5842399557752	5719	0	1
ASV_16	3.448	130321	0.296996398304001	126.255210113927	10000	153	0
ASV_18	2.1891	155929	0.106849975771148	135.535637588471	10000	0	0
ASV_19	4.8178	116297	0.034795853136857	51.9544536019819	10000	0	0
ASV_23	4.3429	139660	0.121351951838856	86.4927031142765	10000	173	0
ASV_24	3.0361	99635	0.733548867206135	348.493893764625	10000	3471	0.999999999907355
ASV_25	5.24270164	99750	0.0406941541193066	34.720172984939	9999	0	0.999999999036717
ASV_251	10.76166672	3821	-0.000198675429638406	1.24719893348662	3252	0	1
ASV_26	5.4883	109149	0.0568868600358363	39.9716435896204	10000	0	1.01339551065505e-124
ASV_274	1.2881886	21226	0.341783580738423	215.540530695393	9885	0	1
ASV_29	4.0454	134089	0.113731114248933	84.7379614708192	10000	158	0
ASV_3	3.53580164	134020	0.0749118567107645	84.0646717273481	9999	21	0
ASV_32	4.0369	139071	0.0570277844032246	84.6852637983872	10000	6	0
ASV_35	3.1316	112554	0.324340943772716	109.91847566767	10000	0	5.97870044682201e-258
ASV_44	2.7312	164019	0.301899383876956	177.753703491129	10000	1	0
ASV_45	4.50490164	99613	0.111734329047671	64.9584577227585	9999	0	0.999999999941704
ASV_5	4.4976	121014	0.0476807863273438	56.3329743840205	10000	0	0
ASV_54	4.4873	125677	0.0826204761910559	70.5355745249179	10000	0	0
ASV_55	5.4403	99343	0.0241552737779402	32.8594373841175	10000	0	0.999999999999867
ASV_59	5.10060328	93962	0.0105759544227602	26.925938375747	9998	0	1
ASV_6	2.6259	110084	0.562637391264597	193.229764710943	10000	1295	1.32007255583219e-156
ASV_7	4.7618	123485	0.00114085745523068	55.2386052010537	10000	0	0
ASV_8	4.1534	143297	0.0277499882577084	73.1522527249114	10000	0	0
ASV_82	10.46274592	2806	-0.000547413603848548	1.82947879688403	2472	0	1
ASV_9	2.322	115646	0.458871138682198	418.212974925638	10000	4171	0
