variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_1	4.0203	133328	0.21086527128547	102.860760104166	10000	126	0
ASV_104	4.9336	102059	0.106990922539801	73.7098032455657	10000	2	0.00921031939560586
ASV_124	5.9241028	54319	0.00938742170475685	31.9078983438342	9960	0	1
ASV_139	7.04643913	33901	0.00307453046116135	17.2153690949578	9691	0	1
ASV_14	4.7554	103698	0.149441787922843	64.8289500315682	10000	0	1.88738257055018e-14
ASV_148	10.98114765	6610	0.000574489147367208	1.88318056104172	4855	0	1
ASV_16	4.2572	114209	0.193890589486531	95.645325097104	10000	0	0
ASV_18	0.6809	163800	0.772639657898534	545.558250816303	10000	4746	0
ASV_19	4.6492	117361	0.0804179963670452	74.0220148599946	10000	0	0
ASV_23	2.9542	153905	0.399036020871959	227.16264408296	10000	1344	0
ASV_24	3.2173	106178	0.402554347517279	197.129268064542	10000	634	7.70150033646292e-54
ASV_25	5.52980757	93483	0.0428467069840152	47.331074096098	9999	9	1
ASV_251	11.577575	2872	-0.000167538024368091	0.818133647575655	2500	0	1
ASV_26	5.23	107051	0.0782498315095788	58.9992155325217	10000	0	6.65599495836393e-74
ASV_274	9.01852538	13608	0.0151931291771927	9.91145301641591	7566	0	1
ASV_29	2.2002	154767	0.526843972159774	341.179245974173	10000	2283	0
ASV_3	4.0454	131222	0.1002677343487	94.8458586398636	10000	9	0
ASV_32	3.1431	146863	0.212317877240665	147.614684621986	10000	180	0
ASV_35	4.2769	109217	0.177200202310527	98.3471422189842	10000	0	1.97495042561216e-137
ASV_44	2.9657	151904	0.733821504498538	158.113224892452	10000	0	0
ASV_45	3.8518	103266	0.281411228628369	118.376159340488	10000	0	2.86829125773568e-10
ASV_5	4.4718	118096	0.0625978801063976	67.6635277775522	10000	0	0
ASV_54	3.8074	137373	0.164905868917485	97.5170676963938	10000	0	0
ASV_55	3.489	108095	0.242748192724768	141.501510692083	10000	54	4.33608036978989e-102
ASV_59	5.3998	92776	0.0526112990118168	48.7498237592618	10000	0	1
ASV_6	3.90350757	98346	0.213020650773269	100.898762031513	9999	0	1
ASV_7	2.993	133088	0.361286675207686	145.134746570714	10000	52	0
ASV_8	3.7918	131628	0.113335395294971	111.51719583994	10000	0	0
ASV_82	8.09084101	6987	-0.0150260104281476	16.4478974284941	5807	0	1
ASV_9	3.3951	109594	0.258642806610774	165.191775122812	10000	561	1.79720559806843e-150
