variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_1	3.7707	139870	0.385505364695921	135.427073659647	10000	16	0
ASV_104	3.7437	104759	0.416301777187848	158.394387328274	10000	0	4.09970089952871e-31
ASV_124	4.53271238	55090	0.149249028200292	85.7701558936661	9969	0	1
ASV_139	6.16122276	39150	0.00340623301297553	26.913397916571	9838	0	1
ASV_14	4.54474596	111585	0.153061709376188	97.1996580888285	9998	0	9.21648372921064e-238
ASV_148	10.00871038	6690	0.000751223668511502	1.98863670161745	4869	0	1
ASV_16	4.255	118804	0.320785421933773	132.936168625192	10000	0	0
ASV_18	1.8765	167544	0.238141333884559	212.542732440685	10000	0	0
ASV_19	4.8068	121521	0.0212225774690076	86.5709628751873	10000	0	0
ASV_23	3.6973	148996	0.366720844060252	233.911292632748	10000	848	0
ASV_24	2.39532298	98313	1.09881028149154	636.775283255681	9999	4125	1
ASV_25	5.34252298	98794	0.114806325539206	80.2761179847131	9999	112	0.999999999999968
ASV_251	10.5246534	3745	-0.000158246310464839	2.24903552600785	3170	0	1
ASV_26	4.7152	105966	0.111385567055177	72.1982704391528	10000	0	1.75219664579934e-53
ASV_274	3.79123344	22276	0.371625148626781	123.832271491508	9472	0	1
ASV_29	2.1229	143885	1.05781320285324	669.110484744229	10000	4186	0
ASV_3	3.9696	132447	0.187913679962348	114.762902340007	10000	0	0
ASV_32	3.5763	149503	0.382300729631507	170.153858422186	10000	6	0
ASV_35	4.47272298	106011	0.144673662701153	97.4004485645982	9999	0	1.95054635659298e-54
ASV_44	1.414	156662	0.935750429806928	362.039135839638	10000	3	0
ASV_45	4.6252	98165	0.1690084700584	106.379484112508	10000	0	1
ASV_5	3.7429	122072	0.234285274519104	115.791365494271	10000	0	0
ASV_54	4.1835	122951	0.209081928034478	110.883982607547	10000	0	0
ASV_55	5.437	97879	0.0658324388179012	60.3445364989547	10000	0	1
ASV_59	5.55812298	93085	0.0270124313075026	55.918832145247	9999	0	1
ASV_6	3.83912298	104794	0.37943737595284	116.865518743782	9999	0	1.1253922730253e-31
ASV_7	3.8955	122788	0.122519925169708	102.695248394103	10000	0	0
ASV_8	4.0081	137089	0.0887003417906487	117.579613075457	10000	0	0
ASV_82	10.56128098	3336	-0.000662864634627188	3.01124242148636	2899	0	1
ASV_9	3.8574	100117	0.353405733320968	201.139914204097	10000	704	0.99941246422942
