variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_1	4.0029	142025	0.273752522634575	66.3006370897297	10000	8	0
ASV_104	5.4716	102301	0.0590296576773768	33.6948635163026	10000	0	0.00662897073529004
ASV_124	4.96700391	52512	0.0572732848576045	33.8078625025868	9967	0	1
ASV_139	6.07658901	38706	0.0499002101587522	20.592240093026	9837	0	1
ASV_14	4.6499	110982	0.126234311259492	43.5498827538668	10000	0	7.52147086693602e-195
ASV_148	12.38477011	6639	-0.000174380025265857	0.821128839886212	4907	0	1
ASV_16	4.1913	120740	0.169189650783852	65.8996600719733	10000	4	0
ASV_18	1.5441	164080	0.230453763047032	163.791028618776	10000	0	0
ASV_19	4.9208	120270	0.0633984351546961	39.8870978640837	10000	0	0
ASV_23	3.3192	145646	0.266938144997955	187.02202725582	10000	1227	0
ASV_24	1.9696	107541	0.960490935065351	542.998237041229	10000	4705	5.02783943648915e-81
ASV_25	5.611	100925	0.0546599873480408	39.980813188449	10000	99	0.972212627211761
ASV_251	12.28007212	3275	-4.89269828852805e-05	0.642316970636817	2844	0	1
ASV_26	5.3635	110767	0.082051736640876	35.5964459335367	10000	0	2.56778197089621e-186
ASV_274	8.76292212	14724	0.0236147870618347	11.3420038984934	7844	0	1
ASV_29	2.2053	149114	0.81146273857745	357.629403884215	10000	2741	0
ASV_3	4.1295	133865	0.170550332525411	57.1592820404327	10000	0	0
ASV_32	3.6119	141100	0.118297403035981	69.8240329868497	10000	5	0
ASV_35	5.3611	100755	0.045108033735137	35.9997683872777	10000	0	0.993018155030617
ASV_44	2.5108	148748	0.632677768037252	99.5146172413918	10000	0	0
ASV_45	5.06841527	99066	0.0819617060295794	41.7774785348531	9999	0	0.999999999999998
ASV_5	4.3264	123466	0.169922910169708	55.8482945192422	10000	0	0
ASV_54	4.1881	127131	0.109010683006555	52.8102742750693	10000	0	0
ASV_55	5.5825	97273	0.0261964939010555	26.2589155254984	10000	0	1
ASV_59	5.9489	90199	0.0350147263113015	23.7596567430886	10000	0	1
ASV_6	3.7433	106423	0.206604651053222	67.9867274432657	10000	0	1.29712786023006e-54
ASV_7	3.2673	130523	0.101300802944203	73.3636066802899	10000	0	0
ASV_8	3.8738	138715	0.0181803813177535	55.7189796894265	10000	0	0
ASV_82	12.52212536	2013	-0.000412645002199082	1.22962513807464	1832	0	1
ASV_9	3.5274	116190	0.255185175181872	188.858640780492	10000	1211	0
