# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_starting_classes_network_data.tsv
# >> Input file 2: "starting_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Running at date:  (mm,dd,yy) 4, 6, 2024, and time: 5:42:44,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
1	0.549973699662976	0.00407608695652174	0	0.00407608695652174	1	3	1	4	2	7	0	0	3	4	0	4	0	0	3	4	0	7	ASV_500	ASV_460	0	644	644
2	0.537304488399523	0.00925207039337474	0	0.00925207039337474	1	5	1	5	2	10	0	0	5	5	0	6	0	0	5	5	0	10	ASV_605	ASV_221	0	644	644
3	0.506569550622931	0.0123576604554865	0	0.0123576604554865	1	2	1	2	2	4	0	0	2	2	0	2	0	0	2	2	0	4	ASV_617	ASV_844	0	644	644
4	0.5018526970423	0.0139104554865424	0	0.0139104554865424	2	4	1	2	3	6	0	0	2	2	0	2	0	0	4	2	0	6	ASV_617	ASV_550	0	644	644
5	0.469521192862978	0.0164984472049689	0	0.0164984472049689	1	3	1	2	2	5	0	0	3	2	0	3	0	0	3	2	0	5	ASV_568	ASV_295	0	644	644
6	0.466022143787621	0.0202251552795031	0	0.0202251552795031	1	3	1	5	2	8	0	0	3	5	0	5	0	0	3	5	0	8	ASV_509	ASV_598	0	644	644
7	0.465173617456752	0.0233307453416149	0	0.0233307453416149	1	2	1	2	2	4	0	0	2	2	0	2	0	0	2	2	0	4	ASV_153	ASV_379	0	644	644
8	0.417343903396075	0.0258540372670807	0.0015527950310559	0.0243012422360248	1	3	1	4	2	6	0	0	3	4	2	4	0	0	3	4	1	5	ASV_199	ASV_126	1	643	644
9	0.406474981359331	0.028027950310559	0.0015527950310559	0.0264751552795031	1	4	1	3	2	7	0	0	4	3	0	5	0	0	4	3	0	7	ASV_299	ASV_277	1	643	644
10	0.405926711400126	0.0340665976535542	0.0031055900621118	0.0309610075914424	1	10	1	5	2	14	0	0	10	5	2	9	0	0	10	5	1	13	ASV_193	ASV_492	2	642	644
11	0.399506250774951	0.03658988957902	0.0046583850931677	0.0319315044858523	1	3	1	4	2	6	0	0	3	4	2	4	0	0	3	4	1	5	partition_Class6	ASV_169	3	641	644
