variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_1	9.25889646328852	30150	0.0150444707340217	16.6021111514734	9538	1	0
ASV_10	12.7593923474664	20941	0.00845012254672378	9.4331085515559	8810	0	0
ASV_100	17.3354331954498	10619	0.00329383998741357	4.4125416987405	6585	0	0
ASV_1000	NA	0	0	0	0	0	1
ASV_1001	27.8877146845915	156	5.76981997201183e-05	0.280645917917637	155	0	1
ASV_1002	28.1139166494312	60	-3.15858668876454e-06	0.00395389058888758	60	0	1
ASV_1003	27.9493383660807	140	-6.30809971168228e-05	0.0743208496713135	140	0	1
ASV_1004	NA	0	0	0	0	0	1
ASV_1005	27.7518821716649	262	-2.95611708597061e-05	0.106357834643609	261	0	1
ASV_1006	NA	0	0	0	0	0	1
ASV_1007	28.1127059358842	74	-1.13780816440899e-08	0.0066739992750437	74	0	1
ASV_1008	28.1723574767322	18	0	0.00297529619561329	18	0	1
ASV_1009	NA	0	0	0	0	0	1
ASV_101	21.6962838055843	7164	0.00213080045805196	1.48290901533379	5104	0	0
ASV_1010	27.9420765460186	168	1.00564213457683e-05	0.0206372839054563	167	0	1
ASV_1011	NA	0	0	0	0	0	1
ASV_1013	NA	0	0	0	0	0	1
ASV_1014	27.7013465770424	251	2.92756266570742e-05	0.354020906515425	249	0	1
ASV_1015	27.4682135056877	407	0.00011245668186632	0.601640142336838	401	0	1
ASV_1016	NA	0	0	0	0	0	1
ASV_1017	27.6951881695967	229	-1.48769849339574e-05	0.141431534815579	226	0	1
ASV_1018	28.0535339193382	75	-1.46618219789193e-05	0.0431056662625601	75	0	1
ASV_1019	27.3174914788004	645	-0.000161755253026119	0.407029094062851	631	0	1
ASV_102	26.8486698655636	714	4.5168548009363e-05	0.449835567187441	706	0	1
ASV_1020	NA	0	0	0	0	0	1
ASV_1021	28.0382863908997	129	4.53786054840225e-06	0.0111573989451337	129	0	1
ASV_1022	NA	0	0	0	0	0	1
ASV_1023	NA	0	0	0	0	0	1
ASV_1024	27.6936793588418	391	-1.22921906020276e-05	0.167031326987762	379	0	1
ASV_1025	27.7251778283351	228	-8.79455373847284e-06	0.207385287027787	226	0	1
ASV_1026	27.9838445294726	122	-3.03311901123392e-05	0.120075059147122	121	0	1
ASV_1027	NA	0	0	0	0	0	1
ASV_1028	27.1133202895553	770	-9.88538849109061e-06	0.10423444941537	762	0	1
ASV_1029	28.1719238262668	19	0	0.000467735840794128	19	0	1
ASV_103	17.4503441365047	10663	0.00112604001263107	5.31404192524272	6553	0	0
ASV_1030	28.0723218407446	87	-1.21014747996751e-07	0.0114209776325615	87	0	1
ASV_1031	27.8288831437435	171	-1.23711170692088e-05	0.159983830523322	170	0	1
ASV_1032	NA	0	0	0	0	0	1
ASV_1033	NA	0	0	0	0	0	1
ASV_1034	28.1020378490176	80	-4.11968273018073e-06	0.0141719225763092	80	0	1
ASV_1035	NA	0	0	0	0	0	1
