variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
1	8.64407991987982	41354	0.0149062264255808	19.1732026141283	9846	0	0
100	11.4755543314972	23847	0.0325365924888557	15.4105558840658	9130	0	1.34231756519854e-193
101	16.7218005007511	8374	0.00514636439777812	7.30549936436728	5726	0	1
102	18.9546271407111	5426	0.00421364836241221	5.64223269804849	4229	0	1
103	24.7010996494742	45	2.53782733078416e-07	0.00520639727630174	45	0	1
104	11.7796078117176	15760	0.0185441439345475	20.2421507552035	8033	7	1
105	12.0065872809214	21933	0.0335803144742055	14.3477204780034	8988	0	2.14773607422375e-62
107	7.6928292438658	30774	0.0276379944746822	28.2989288682485	9535	116	0
108	7.69760520781172	41871	0.0122253246296524	25.967918540517	9871	1	0
109	18.2700366549825	5130	-0.000235533420239735	5.42428568496531	4087	0	1
11	21.8477468202303	2006	0.00106432506803068	1.920346632783	1829	0	1
110	9.88520580871307	27691	0.0166928470101967	16.9082821517778	9395	1	0
111	8.04266139208813	44036	0.0456760750591133	25.3663056543209	9888	1	0
112	20.8529261892839	4607	-0.000303279237265632	1.35304077604164	3731	0	1
113	13.4895593390085	12175	0.00388764283605348	12.2309930603438	7110	0	1
115	6.35101091637456	47198	0.0444503117697464	44.5700605259327	9903	0	0
119	7.28602944416625	47819	0.0248836707547582	25.9821149956952	9923	3	0
12	8.21272288432649	45017	0.0106039664609093	20.3968956304253	9896	4	0
120	10.2402788182273	31471	0.0226036869239303	16.4223286810901	9633	0	0
121	NA	0	0	0	0	0	1
122	7.78913109664497	32785	0.0278497174768365	29.3871314582013	9638	10	0
123	12.040040460691	22752	0.00783241897978996	9.64935047553853	9023	0	5.77970912654355e-110
125	11.4891679519279	16101	0.0474674997819938	21.0463907378652	8184	0	1
127	9.28457225838758	21891	0.0250487320057726	23.3590841735361	8948	81	2.60720462247343e-60
129	18.385374661993	7956	0.00025389706093745	2.75514318747542	5512	0	1
130	17.073632448673	6881	0.00127119933876654	8.00070053773999	5075	0	1
133	14.5531088632949	10882	0.000286688568607132	6.50942203264275	6709	0	1
136	16.6746682023035	9783	0.000997242806746398	3.51868518329894	6274	0	1
137	8.93970095142714	39212	0.0217259023013107	20.3394754238824	9818	0	0
138	12.7998776164246	18205	0.0054496965898216	9.1332490563766	8426	0	1
139	10.1845970956435	17745	0.00784365708200881	22.2313800511272	8354	94	1
14	8.12143054581873	28426	0.0292039133509445	27.8009991620338	9483	4	0
141	7.38957736604907	30965	0.0284968131230217	34.2092400610495	9570	114	0
142	13.7460869303956	15546	0.00117709735417581	9.287338377399	7976	0	1
143	14.1766129193791	16180	0.000103936299481035	5.59176041515325	8045	0	1
145	10.0933372058087	27543	0.00723251821981385	15.2979376300518	9419	0	0
146	7.51600681021532	45751	0.0206752945786932	28.1106916475965	9901	53	0
147	11.0207699549324	17597	0.012889718585505	18.3119546245807	8471	0	1
148	6.21996875312969	57401	0.0439258334974511	38.9091649963285	9971	8	0
149	18.0746117175764	5952	0.00122691569948132	5.45112174374621	4516	0	1
15	15.0517438157236	10810	0.00234979199596151	7.81858596902958	6724	0	1
151	6.34703995993991	56502	0.0244641048048357	36.7645247590966	9978	6	0
153	19.7303993990986	4106	-0.000611493431309796	3.212214077192	3396	0	1
155	3.84013119679519	56635	0.422086952951795	147.572720525831	9980	2631	0
158	15.2515823735603	12627	-0.000261251048043505	5.46237565851133	7210	0	1
159	14.4743012518778	16309	0.0113506095928653	6.46977186089368	8066	0	1
16	7.25556835252879	39658	0.0132966221016882	28.8398293423836	9810	42	0
160	19.7488841261893	6117	-2.68229019229081e-05	1.65714170401246	4561	0	1
161	5.06268442663996	57425	0.278228153764537	91.0901961734406	9973	1449	0
162	20.0116128192288	3724	0.000363001474119866	3.88448914658808	3198	0	1
165	13.1040761141713	15033	0.0037908798415707	10.2287617961342	7885	0	1
166	19.0054127190786	5447	0.000254389704811338	2.09672911948823	4272	0	1
167	20.3795180771157	3353	0.00204736601528516	3.96474819021085	2921	0	1
169	19.3600112168252	5792	0.00116084867611569	3.67227325617931	4449	0	1
17	21.3309980971457	2461	0.00154295117784205	3.45074981661385	2237	0	1
170	7.10130716074111	50245	0.0403580640176902	34.3531923269084	9929	9	0
171	17.7960008012018	9041	0.00123721129890064	3.65677482896718	5931	0	1
172	24.6002928392589	163	1.84356563408518e-07	0.0197982466197841	163	0	1
173	21.7977494241362	1982	0.000770010694738435	2.51590546657487	1801	0	1
175	22.0201183775664	1956	-0.000842296214830561	1.88553828461791	1814	0	1
176	21.1167158738107	3041	0.000174472189861459	1.8927287954	2661	0	1
177	4.92541412118177	51219	0.188830043411207	84.6455228217676	9955	1283	0
179	7.24242623935904	35919	0.0410489583747662	36.7989960173765	9782	0	0
18	11.4926974461693	15688	0.00410794360044385	15.2271307137362	7933	0	1
180	18.3827721582374	8597	0.0017531725263773	3.05170374946414	5795	0	1
181	23.4022433650476	1368	-0.000265132928468186	0.446544110784803	1285	0	1
185	9.43191487230846	23259	0.0275671251585324	19.3973764533309	9100	0	6.83771130707263e-146
187	6.31408753129694	50672	0.014574362065605	33.881341169139	9943	0	0
19	15.9449065598398	14240	0.00222383013742424	4.31452074994571	7659	0	1
190	18.665086229344	6390	0.0014618713590423	2.82311475029546	4752	0	1
195	19.2076658988483	4203	0.00195602842845925	5.28656326838221	3553	0	1
199	5.88072108162243	62751	0.0291217034400607	42.8912987199658	9985	0	0
2	5.98955873810716	55703	0.0499448612006754	42.0724750322386	9953	80	0
20	16.7309071607411	9829	0.000479394985954856	3.87224455366563	6311	0	1
202	9.37412598898348	28343	0.00689119815515415	19.7972182197679	9441	3	0
21	12.4309506259389	15271	-0.000576891339186074	10.3187954015736	7834	2	1
210	23.4029868803205	1286	-1.67768179486594e-05	0.705978395721365	1213	0	1
212	16.4595220831247	6437	0.00916393287442865	10.871430894745	4901	2	1
214	20.8340340510766	3669	0.00213703451173531	3.59039867605418	3120	0	1
216	8.39433109664497	26860	0.0116129459940966	19.854071671599	9347	1	0
217	17.4967142714071	9672	-0.000754083607302567	2.30969987868624	6259	0	1
22	7.86903455182774	33079	0.00705444575629218	25.4417187285599	9680	0	0
222	17.1365918878317	10137	-0.00148098470064712	3.23705925004918	6500	0	1
23	10.2683112669004	19630	-0.00119951313969453	17.2133967271763	8621	43	0.331270660602751
24	5.62967371056585	54476	0.0505815607629236	51.405491539134	9959	0	0
26	17.6771757636455	7219	2.90567311896868e-05	4.99683169021933	5185	0	1
28	14.9882285428142	15386	0.00557385871583539	5.73851271413541	7824	0	1
29	7.22841662493741	28485	0.0586946073344751	40.8304534566819	9515	0	0
3	7.74805748622934	29115	0.039317807851108	31.6402427646547	9498	273	0
30	14.4153662493741	11111	0.00280795084948064	9.57743114199168	6789	0	1
31	14.6930081121683	11481	0.000495327715111429	8.4930469826663	6852	0	1
33	16.1177974962444	12759	-5.66453130273415e-05	4.61674431948801	7261	0	1
35	21.3905009514271	3689	0.000176278549727689	1.48763623109742	3129	0	1
36	4.71325708562844	61772	0.330112158909377	108.308365266712	9969	1621	0
37	23.8537245868803	681	1.64326174968226e-05	0.707953598365114	665	0	1
4	17.9679771657486	9384	0.00243004462994103	2.97218519981143	6079	0	1
40	8.09310686029044	30108	0.0170591851297778	20.9135181360763	9569	24	0
41	10.8448554832248	17308	0.00602087577711889	16.1507868052993	8314	0	1
42	8.71523985978969	31842	0.00730763798383943	20.1624016428759	9600	9	0
43	5.78562704056084	51180	0.105549393161273	55.6653496955697	9952	657	0
44	14.8767094641963	13007	-0.000935890472731539	4.90914832962316	7353	0	1
45	14.0801548322484	11539	0.0278596296651583	13.0143308939592	7122	0	1
46	11.0208999499249	17627	0.00716327953775314	15.0288713980034	8352	0	1
47	7.01834712068102	50697	0.0317437432581522	28.3141497865715	9947	24	0
48	8.08730455683525	31203	0.013955796657722	20.2070335547319	9577	3	0
49	6.09975363044567	40913	0.0797022838004287	43.2210263846646	9865	86	0
5	6.34215943915874	39614	0.0859596629331731	50.5445755727037	9824	577	0
50	24.2216594892339	302	-1.33204569902279e-05	0.360195393050778	300	0	1
51	15.5734878317476	12418	0.00181207542631417	5.16553756717984	7207	0	1
52	17.4042541812719	9199	-0.000834811027714045	3.3664180363183	6076	0	1
53	21.772690235353	2335	2.45081405083863e-05	1.08034873532376	2149	0	1
54	15.5952604907361	10390	0.00180896968330518	6.65230499921466	6507	0	1
55	20.5345494241362	3598	-0.000551071277138618	2.50105700118539	3107	0	1
56	17.1994501752629	4983	0.0117966083565579	15.1950919794149	4080	0	1
57	16.2642159238858	7784	0.00269557516780677	7.60584034482208	5447	0	1
58	21.4016524787181	2483	-0.000693392652523721	1.78953798853778	2235	0	1
59	14.3585794692038	10261	0.0131810007577146	13.5123197715255	6537	1	1
6	9.34844606910366	26501	0.00642799119389568	16.3689095050037	9358	0	0
60	15.1195216825238	8733	0.00264776409725785	11.6750041304866	5913	0	1
61	14.2986794191287	16324	0.00361346210732121	7.09159078129225	8118	0	1
62	12.1566159238858	15447	0.0031818156690252	11.6089813423673	7930	1	1
63	9.87683545317977	21325	0.00999556843683548	15.6879120080163	8854	1	1.13134226822526e-35
64	24.2901588382574	331	1.02321005193333e-06	0.176861266218483	327	0	1
66	15.1942391587381	14050	0.000814614943991519	4.60089719211019	7576	0	1
67	16.3931701552328	10358	0.000762459458960025	4.17986793813242	6523	0	1
68	22.1647040560841	1779	-9.27368743649924e-05	1.66973956459802	1650	0	1
69	7.41966810215323	29656	0.039339608365094	40.1408578290848	9502	334	0
7	4.72770155232849	47218	0.114912990626658	75.2299558628047	9935	2	0
70	7.50571136705058	39112	0.00941124579500775	24.7195106451486	9801	0	0
71	18.1493261892839	5270	0.000333428570272707	7.07684888549609	4144	0	1
72	19.6650385578368	6118	-0.00131151621548058	2.14292800717964	4630	0	1
73	17.1728658988483	8869	0.00202558893938149	3.89456031435725	5962	0	1
74	6.04284186279419	52325	0.052770349218404	42.268740072063	9957	141	0
76	10.4607503254882	17315	0.0206211736786321	22.2065653862609	8309	0	1
77	18.7809814722083	4929	0.00203221366000857	5.56469884348153	3935	0	1
79	19.6564761141713	5575	0.000240457658570726	2.98532182881272	4318	0	1
8	8.81641001502253	25460	0.020739044943176	22.4584362457305	9248	2	0
80	16.7366904356535	9814	0.00120745192161121	4.64511073429574	6248	0	1
81	13.9503393089634	11422	0.00867968488951136	9.93810174404019	6846	0	1
82	9.72996094141212	20075	0.00680138744093888	24.5156496860976	8755	37	0.000151634961985054
83	15.429378668002	9423	0.00216472679934777	7.74056299783752	6122	5	1
84	6.89805047571357	52030	0.0389041374055294	33.3550741029466	9958	128	0
85	23.7486271407111	872	3.29971325154261e-05	0.267542233260693	834	0	1
86	14.4481750625939	10507	-0.00233865015322595	9.80109865794773	6551	0	1
87	8.80520660991487	24623	0.00576167178239333	18.8855180321452	9171	1	3.09323234326649e-266
88	7.60207871807711	36761	0.0146505424960513	27.2361794654808	9767	0	0
89	13.4056316474712	13456	0.00325076546708199	10.052482432615	7389	0	1
9	19.3764378567852	6061	0.000160094056762386	2.38589388666872	4639	0	1
90	12.2127290936405	18687	0.00742964955716511	11.2153186634791	8435	0	0.999999999907939
92	20.2929602403605	5464	0.000138604334380664	1.521926575189	4261	0	1
93	10.2388789183776	19865	0.00720968745133266	20.5283569371422	8792	0	0.0171466635580134
94	24.1759188783175	467	2.33137787837303e-06	0.110171520075349	460	0	1
95	20.2073962944417	4685	-5.28183761610413e-05	2.09166347118431	3779	0	1
96	18.5639759639459	5714	0.00359695551728242	4.25048426743488	4335	0	1
97	18.1476266399599	8269	0.00281966568644144	3.22718362997773	5679	0	1
98	16.5833207811718	7553	0.000516472255307522	5.98419702989721	5386	0	1
99	20.6521251877817	2415	0.00493895315218422	7.34154577730057	2200	25	1
counts	6.15615363044567	59923	0.014116861829229	41.9789474189258	9978	0	0
