variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_1	8.65657965169569	33452	0.0998607022627684	29.1573489149825	9677	65	0
ASV_10	12.8785142071494	20872	0.0176040769701555	7.90880438764052	8774	0	0
ASV_100	17.6001297484469	10232	0.00778753410498128	2.80591451881948	6389	0	0
ASV_1000	NA	0	0	0	0	0	1
ASV_1001	25.4044282309808	669	0.000399540175826697	1.70885617349331	663	0	1
ASV_1002	26.7728603931154	60	-2.78939926805972e-06	0.00399422431466764	60	0	1
ASV_1003	26.7230176596395	92	1.08739589962213e-06	0.00962200783164959	91	0	1
ASV_1004	NA	0	0	0	0	0	1
ASV_1005	26.6378619411345	172	-2.6882430671923e-06	0.0171352602733702	171	0	1
ASV_1006	NA	0	0	0	0	0	1
ASV_1007	26.7694997046542	87	6.81878385540975e-07	0.0010135429359048	87	0	1
ASV_1008	26.8300018535492	20	0	0.00236592780311274	20	0	1
ASV_1009	NA	0	0	0	0	0	1
ASV_101	19.4343054282513	8004	0.0021855840036941	1.443528776102	5544	0	0
ASV_1010	26.3788823098075	273	0.000148481031204164	0.419498633006491	266	0	1
ASV_1011	NA	0	0	0	0	0	1
ASV_1013	NA	0	0	0	0	0	1
ASV_1014	26.5799661065282	216	-4.19954330951603e-06	0.0292673900132633	215	0	1
ASV_1015	26.6511354313066	153	1.05082390379449e-05	0.036261185039988	153	0	1
ASV_1016	NA	0	0	0	0	0	1
ASV_1017	26.7456079845198	84	-7.84179920786335e-08	0.00499587849264909	83	0	1
ASV_1018	26.7074845707302	74	-2.39655980368276e-05	0.106025694148048	74	0	1
ASV_1019	26.2526690498014	436	-4.305823317802e-05	0.131985474562499	426	0	1
ASV_102	26.5940581525614	205	-9.5034744755687e-09	0.0165203030997859	204	0	1
ASV_1020	NA	0	0	0	0	0	1
ASV_1021	26.6963801201752	121	-7.2464177916553e-07	0.0132433599229557	121	0	1
ASV_1022	NA	0	0	0	0	0	1
ASV_1023	NA	0	0	0	0	0	1
ASV_1024	26.1823749872696	526	9.05965714028086e-05	0.250645075398473	519	0	1
ASV_1025	24.9140499032488	906	0.000449609421517513	2.06610316007499	899	0	1
ASV_1026	26.6845586719625	107	8.16222973146449e-06	0.0609687779510031	107	0	1
