variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
1	9.35774216529918	37975	0.0190446877882411	10.7767130678285	9762	15	0
100	12.7180177506504	21417	0.0112253767773552	6.8629433538422	8865	0	1.0204439704939e-45
101	15.8569149489694	8213	0.00266375948953677	6.99557061261907	5714	0	1
102	17.3883120672403	6662	0.00874092925578693	3.81420115804226	4916	0	1
103	24.0006282169302	50	-1.24880556157417e-07	0.00183711923904124	50	0	1
104	12.0568793275966	16801	0.00951623190677049	9.15410048270416	8174	0	1
105	12.8014364218531	20650	0.00799975505421284	6.6361033756954	8748	0	9.20251743805076e-19
107	9.54391038623174	27620	0.0112244044377879	8.65180315830015	9380	1	0
108	6.79107802681609	44440	0.0505511214288645	29.2347531323969	9911	0	0
109	19.3110203522113	4217	-0.000620765878325941	1.27868768910029	3485	0	1
11	20.9643286972183	2108	0.00169169621432281	3.05058891199798	1959	0	1
110	10.4537895937563	26955	0.0251401450369732	9.98121886868311	9332	0	0
111	7.50072605563338	48877	0.0799191609465446	22.7285312795993	9927	19	0
112	18.9288364818891	5627	0.000247550044029435	2.47484584246194	4381	0	1
113	14.5044636581949	11191	0.00233168013393478	4.73211670991092	6751	0	1
115	7.91529909945968	48496	0.0176882592994272	16.9760387950607	9922	0	0
119	5.90016085651391	47954	0.152143978301065	79.8594093378517	9928	464	0
12	8.14593261957174	48297	0.0174689148637565	14.9998297867147	9923	3	0
120	11.2233348409045	28433	0.015316665726413	9.12707830210457	9500	0	0
121	NA	0	0	0	0	0	1
122	6.7651316589954	33498	0.0583684703330988	29.3392690081889	9691	0	0
123	11.4084044626776	24042	0.0129470393864635	7.56929965232558	9097	0	4.28208588511248e-226
125	14.4348105663398	12770	0.00859961322666996	7.5260809247074	7206	0	1
127	10.8632005803482	20291	0.00848983610064956	7.61027180962368	8763	0	2.3761739469241e-10
129	18.2578482689614	7629	0.000524121355692065	1.70584974259011	5448	0	1
130	16.3901849309586	6908	0.00284308056304918	7.52911287236998	5107	0	1
133	13.9358699419652	11749	0.00125644487362648	4.76656988978355	6947	0	1
136	15.8994533720232	10888	0.000378272264997047	4.49481726437427	6699	0	1
137	9.47070508304983	35778	0.0193557166047023	13.7947345607068	9763	12	0
138	12.0458814488693	18628	0.0185821742506261	10.3167927799299	8522	0	0.999999995209417
139	12.2325344806884	15693	0.00212876990593018	5.69245511371791	7958	0	1
14	9.69579031418851	26042	0.0142529304190132	10.085969862575	9300	0	0
141	7.32038985391235	34153	0.0459700975125305	20.6180471882109	9727	0	0
142	13.5194711426856	15343	0.00339226395369063	8.42425686649667	7883	0	1
143	13.2253026215729	16803	0.000851794276856294	7.7543293338167	8190	0	1
145	9.53206381829098	28486	0.017859407271773	13.7521134518567	9491	0	0
146	7.75770660396238	45792	0.0303239104633871	16.8262937836352	9901	2	0
147	10.7599251951171	18654	0.0105883741897834	12.0757627798958	8560	0	0.999999985573799
148	5.12959439663798	59101	0.170243760131235	107.748806913278	9970	742	0
149	17.4167962977787	6253	-0.000692477467055039	3.09131279852435	4717	0	1
15	13.3825264758855	12508	0.00499866130703674	10.6140209066703	7258	0	1
151	6.51733189913948	57566	0.0333796918224487	25.8486697178256	9969	0	0
153	20.2721214128477	3475	-8.54842015059487e-05	1.02082293510302	2945	0	1
155	5.72917078246948	52387	0.209358899660066	128.434765457629	9946	1056	0
158	13.3215068240945	13643	0.0137701534963495	8.67625635744215	7522	0	1
159	15.5095293576146	13924	0.00442322341969576	3.05398027735163	7520	0	1
16	7.65674248549129	39496	0.0170243067127637	17.010750245346	9840	3	0
160	18.7034787672604	6447	0.000839561489329143	1.82392240389225	4756	0	1
161	3.55531580948569	60598	0.612360211761576	333.820397230786	9977	2663	0
162	18.1255411847108	4275	-0.00226957237360706	4.9160036149626	3643	0	1
165	13.9373619171503	14354	0.00207157685322816	6.79271204405137	7669	0	1
166	19.4379289373624	4951	8.72271720701593e-05	1.49505407132662	3931	0	1
167	20.6460501500901	2816	6.89477781531935e-05	1.81015163753132	2512	0	1
169	18.3201381428857	5963	0.00154440001236785	3.28710589724549	4573	0	1
17	20.9162819091455	2237	0.00346181442311442	3.17503791746589	2045	0	1
170	7.8348411046628	48231	0.0446900144391785	22.7903953995886	9924	75	0
171	17.3950922153292	8925	0.00754883011435017	3.16816566621078	5888	0	1
172	23.880258214929	174	5.48415034004383e-08	0.0256630571949767	173	0	1
173	22.2191545927557	1523	5.06270177613966e-05	0.362351277053214	1409	0	1
175	22.8953646988193	1027	0.000234896652588539	0.291990040306317	976	0	1
176	21.2693140684411	2502	0.000468710087090849	0.965794696812205	2226	0	1
177	5.96011420852512	49911	0.111293687840639	56.8811702299685	9945	320	0
179	7.41970364218531	35148	0.0294634753652963	24.8118271996565	9757	0	0
18	10.9370324594757	16807	0.000647974357426049	10.485713259227	8210	0	1
180	16.5658652591555	9783	0.0019760012191801	3.8946334173981	6285	0	1
181	22.2973126876126	1576	-0.000240799453390427	0.90294055708967	1489	0	1
185	9.46260634380628	22891	0.0250990694772152	15.1489881459626	9021	0	9.72978174784672e-131
187	6.7320988993396	49256	0.018878798676527	20.6270196018656	9920	0	0
19	13.9091935161097	16491	0.00270721090787223	6.64508350247177	8194	0	1
190	19.7416174904943	5084	8.91440859696611e-05	1.06548546244192	4012	0	1
