variable	mse_increase
36	0.617150030245021
161	0.612360211761576
155	0.209358899660066
148	0.170243760131235
119	0.152143978301065
84	0.130770908656488
177	0.111293687840639
2	0.0888268591954445
43	0.0866148481648006
111	0.0799191609465446
49	0.0771071311345336
42	0.058729212533388
122	0.0583684703330988
counts	0.050916554870746
108	0.0505511214288645
141	0.0459700975125305
170	0.0446900144391785
74	0.03934167361962
47	0.0385688880309716
7	0.0373667046215799
199	0.0344740330633857
151	0.0333796918224487
146	0.0303239104633871
179	0.0294634753652963
110	0.0251401450369732
185	0.0250990694772152
24	0.0240300343861123
56	0.0237583983734845
45	0.0210789316466716
137	0.0193557166047023
1	0.0190446877882411
187	0.018878798676527
138	0.0185821742506261
145	0.017859407271773
115	0.0176882592994272
12	0.0174689148637565
16	0.0170243067127637
5	0.0168068925829257
6	0.0163758074715134
59	0.0155893639992051
120	0.015316665726413
14	0.0142529304190132
40	0.0142119484587327
48	0.0140214109867821
158	0.0137701534963495
23	0.0134657786746417
123	0.0129470393864635
8	0.0128676113254637
3	0.0119873574610931
93	0.0117908213012411
100	0.0112253767773552
107	0.0112244044377879
29	0.0107045182020144
147	0.0105883741897834
41	0.0105632346418725
69	0.0105540161844119
63	0.0104093186453917
28	0.010149444980207
76	0.00952729928038656
104	0.00951623190677049
102	0.00874092925578693
125	0.00859961322666996
127	0.00848983610064956
81	0.00812652181849842
105	0.00799975505421284
195	0.00758886393182879
171	0.00754883011435017
222	0.00661924561364899
88	0.00635069137995743
70	0.00609130160451645
79	0.00592431921310234
22	0.00555849511969195
216	0.00552772302606753
15	0.00499866130703674
52	0.0046519645437402
159	0.00442322341969576
82	0.00438530043775334
212	0.00433957460360823
46	0.00423899784532093
80	0.00419751824754836
66	0.00397522389504296
33	0.00387004499569391
30	0.00382848395959062
87	0.00348088217217344
17	0.00346181442311442
98	0.00342864686438384
142	0.00339226395369063
21	0.00293343168088147
61	0.00287329478283934
130	0.00284308056304918
19	0.00270721090787223
101	0.00266375948953677
113	0.00233168013393478
202	0.00220128339389787
139	0.00212876990593018
96	0.00210627219093116
165	0.00207157685322816
180	0.0019760012191801
67	0.00190773718137459
53	0.00185668699369317
4	0.00176411425062136
11	0.00169169621432281
71	0.00164845668870412
169	0.00154440001236785
54	0.00154217946714049
133	0.00125644487362648
44	0.00117096262323309
86	0.00108132405618448
57	0.000951516350015341
89	0.00089831285458441
9	0.000895194940726308
143	0.000851794276856294
160	0.000839561489329143
214	0.000804091071825325
73	0.000721878926131633
99	0.0007201599020876
83	0.000665774465600539
18	0.000647974357426049
35	0.000631928913226003
129	0.000524121355692065
176	0.000468710087090849
97	0.000449097791820119
31	0.000420766471676501
217	0.000392154896195577
136	0.000378272264997047
20	0.000332486107553134
112	0.000247550044029435
175	0.000234896652588539
90	0.00023249356311237
51	0.000146149985157983
190	8.91440859696611e-05
166	8.72271720701593e-05
62	7.82718645709842e-05
167	6.89477781531935e-05
92	5.10203126286505e-05
173	5.06270177613966e-05
85	1.86292060317652e-05
37	1.55057455536736e-05
210	1.03184769430916e-05
64	1.17586789340562e-07
172	5.48415034004383e-08
121	0
103	-1.24880556157417e-07
50	-1.22915854842029e-06
94	-3.09087480919285e-06
60	-4.08300596925732e-05
153	-8.54842015059487e-05
95	-0.000180190645626814
181	-0.000240799453390427
68	-0.000250789090523033
77	-0.000381735933931185
72	-0.000406553344454879
109	-0.000620765878325941
149	-0.000692477467055039
26	-0.000868726851264953
58	-0.00171928975632975
162	-0.00226957237360706
55	-0.00285997619211099
