variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_1	7.69447245429476	36011	0.0384582562290552	36.2782679610279	9777	250	0
ASV_10	10.9906531508528	20536	0.035268076111554	23.9195971223385	8741	192	0
ASV_100	15.0612510570932	10954	0.0142640403227938	5.39035094602445	6728	0	0
ASV_1000	NA	0	0	0	0	0	1
ASV_1001	24.8063288428148	493	0.000316429952409815	1.53253822014258	490	0	1
ASV_1002	25.6996750076601	51	-3.32710554193863e-07	0.00428831607826094	51	0	1
ASV_1003	25.6022675314064	89	2.25203735893896e-06	0.0106262141594862	89	0	1
ASV_1004	NA	0	0	0	0	0	1
ASV_1005	25.4250097538556	231	-2.31297412336843e-05	0.0846863548337115	226	0	1
ASV_1006	NA	0	0	0	0	0	1
ASV_1007	25.462301194975	162	2.01489075628955e-06	0.0274266907954717	161	0	1
ASV_1008	25.7317116739863	21	0	0.00107415378803397	21	0	1
ASV_1009	NA	0	0	0	0	0	1
ASV_101	18.0075957512001	8432	0.00421704564003987	2.08252173062358	5691	0	0
ASV_1010	25.3984228168726	237	1.30999110853442e-05	0.0781053043897309	237	0	1
ASV_1011	NA	0	0	0	0	0	1
ASV_1013	NA	0	0	0	0	0	1
ASV_1014	25.6075349504647	120	4.03529262501071e-07	0.0228558861467546	120	0	1
ASV_1015	25.6179892758656	101	6.52898572448206e-06	0.0253824787482835	101	0	1
ASV_1016	NA	0	0	0	0	0	1
ASV_1017	25.5912496374221	156	3.23733462862607e-06	0.00912925373926998	155	0	1
ASV_1018	25.6212715555102	78	-1.88886282507793e-06	0.0259722693202256	77	0	1
ASV_1019	25.0018138290267	551	-0.000174959598211477	0.425405032687758	535	0	1
ASV_102	25.3848226126034	267	-2.47845497787812e-06	0.018033087024941	265	0	1
ASV_1020	NA	0	0	0	0	0	1
ASV_1021	25.4815001736288	165	7.76941480272214e-07	0.0268053571791962	165	0	1
ASV_1022	NA	0	0	0	0	0	1
ASV_1023	NA	0	0	0	0	0	1
ASV_1024	25.2707455724645	392	3.64904217966287e-05	0.10809135089423	384	0	1
ASV_1025	24.6809957001328	516	-0.000127064964539987	1.80778513666327	514	0	1
ASV_1026	25.6017545296701	94	-8.79293577181675e-07	0.0108024420028853	93	0	1
ASV_1027	NA	0	0	0	0	0	1
ASV_1028	25.1995943417424	369	0.000149836281552434	0.180987987781588	365	0	1
ASV_1029	25.743436860382	12	0	0.000502657249018487	12	0	1
ASV_103	16.1026694617506	10295	0.00184955977289566	3.11666227089924	6460	0	0
ASV_1030	25.6379171688285	81	-1.60398632894814e-06	0.00664337025326171	81	0	1
ASV_1031	25.5824317945052	170	4.69456538516011e-06	0.0073579607554509	170	0	1
ASV_1032	NA	0	0	0	0	0	1
ASV_1033	NA	0	0	0	0	0	1
ASV_1034	25.6428602185681	99	-3.05527758090722e-06	0.0310796664587463	99	0	1
ASV_1035	NA	0	0	0	0	0	1
ASV_1036	25.1162681340006	389	1.43571482490849e-05	0.0420118713485493	382	0	1
ASV_1037	25.5427566540701	120	-3.33034705376531e-06	0.0387452596117317	119	0	1
ASV_1038	NA	0	0	0	0	0	1
ASV_1039	25.0889452967011	433	7.12557608100527e-05	0.379916285317689	429	0	1
ASV_104	12.4474862935349	18215	0.00408893663566284	4.58275831671918	8372	0	0
ASV_1040	NA	0	0	0	0	0	1
ASV_1041	NA	0	0	0	0	0	1
ASV_1042	24.5293214789092	676	-9.69297654130639e-05	0.131779631424419	653	0	1
ASV_1044	24.2225516903279	877	-0.000174421261739369	0.196466470831733	843	0	1
ASV_1045	25.5580558880605	155	1.23555271724746e-06	0.0303316338324429	155	0	1
ASV_1046	NA	0	0	0	0	0	1
ASV_1047	25.3174666632622	218	-0.000117887882926514	0.535217005969252	218	0	1
ASV_1048	23.8038852824022	1103	-0.000133066569227181	0.233071740201319	1047	0	1
ASV_1049	NA	0	0	0	0	0	1
ASV_105	17.0754849759984	7019	0.00595551545149421	7.26334330391542	5129	0	0
ASV_1050	22.5272841384945	1607	0.00616140317546685	7.22646512628789	1521	0	1
ASV_1051	NA	0	0	0	0	0	1
ASV_1052	25.715138586457	24	0	0.00275668655864961	24	0	1
ASV_1053	25.5288663466449	120	5.3953522997992e-06	0.0751091437184619	119	0	1
ASV_1054	NA	0	0	0	0	0	1
ASV_1055	25.5777296088244	134	4.88924034956873e-07	0.0283543401443346	133	0	1
ASV_1056	25.663358002247	66	-2.82662878594627e-06	0.00733383406385048	65	0	1
ASV_1057	NA	0	0	0	0	0	1
ASV_1058	19.4060487284241	2841	0.0286713759282208	20.907636740265	2708	0	7.82673426901945e-61
ASV_1059	25.6349046981922	124	7.37495264170765e-07	0.00608970635656052	124	0	1
ASV_106	15.5496212031457	13063	0.00451702731556941	2.98490779776113	7275	0	0
ASV_1060	NA	0	0	0	0	0	1
ASV_1061	25.298142927178	210	0.000283614973479359	1.00563092026578	209	0	1
ASV_1062	25.7371045143499	12	0	0.00297552568750985	12	0	1
ASV_1063	NA	0	0	0	0	0	1
ASV_1064	25.5638822183638	148	-6.38300127895556e-07	0.0473185579090493	147	0	1
ASV_1065	25.6332189766112	81	3.78520329692125e-06	0.0127075869695885	81	0	1
ASV_1066	25.6990691859871	39	6.9189421536935e-08	0.00170976669591879	39	0	1
ASV_1067	25.6695655908487	60	2.37525628017659e-06	0.018243497904966	60	0	1
ASV_1068	24.5358111837402	615	0.000534362099644181	1.60158568885811	602	0	1
ASV_1069	NA	0	0	0	0	0	1
ASV_107	16.5650800735369	8391	0.00390324492167595	5.23052414343302	5721	0	0
ASV_1070	25.4324569298335	200	-1.26835456136937e-05	0.125913728215908	197	0	1
ASV_1071	25.6255495659279	98	-1.28007920080861e-06	0.0061188904939558	97	0	1
ASV_1072	24.5471208456746	613	0.000702775122849881	1.54474739937786	605	0	1
ASV_1073	NA	0	0	0	0	0	1
ASV_1074	25.6351066387499	129	-1.68098271499639e-06	0.00670370599530029	128	0	1
ASV_1075	25.7029050556634	29	-2.6129890466038e-06	0.00477082685753769	29	0	1
ASV_1076	24.123409917271	750	0.000751235089406703	3.71154936284363	746	0	1
ASV_1077	25.6354589520989	93	0	0.00486223565056213	93	0	1
ASV_1078	NA	0	0	0	0	0	1
ASV_1079	NA	0	0	0	0	0	1
ASV_108	20.3306205188438	4595	-7.93026854213041e-05	1.73366474274072	3676	0	0
ASV_1080	NA	0	0	0	0	0	1
ASV_1081	25.2553954345828	262	-0.000351925532816315	0.411600362579725	260	0	1
ASV_1082	24.9531481871106	691	1.38183518854859e-05	0.111712685340125	664	0	1
ASV_1083	NA	0	0	0	0	0	1
ASV_1084	25.7215980185885	25	0	0.00129001932193011	25	0	1
ASV_1085	NA	0	0	0	0	0	1
ASV_1086	NA	0	0	0	0	0	1
ASV_1087	24.726477550812	853	-9.52197986360313e-05	0.163454280199659	810	0	1
ASV_1088	25.7326082626902	16	0	0.000247818715885068	16	0	1
ASV_1089	25.6576065264018	76	6.38713286399438e-06	0.0181298874126929	76	0	1
ASV_109	14.6697065468287	11651	0.00516574468767211	5.08063423629095	6967	0	0
ASV_1090	25.1305443570626	379	9.40543379706734e-05	0.345761288275867	377	0	1
ASV_1091	24.5918478296395	868	0.000230199594528873	0.239364430209288	838	0	1
ASV_1092	25.4261012971096	238	-1.57604129817925e-05	0.041880779126929	237	0	1
ASV_1093	NA	0	0	0	0	0	1
ASV_1095	25.7330869982637	27	0	0.00202279053625783	27	0	1
ASV_1096	25.6052404146665	114	-7.84253016252546e-06	0.0200441007825784	114	0	1
ASV_1097	25.6711498416913	58	2.51955721724589e-07	0.00984573532828745	58	0	1
ASV_1098	25.5859978551731	142	-4.67981017333413e-06	0.0133822811583701	141	0	1
ASV_1099	25.5630198958227	137	-1.07409043916825e-05	0.0909603150055854	137	0	1
ASV_11	10.4868287611071	21152	0.0126486699690054	8.65491674276278	8819	17	0
ASV_110	11.3458826575426	19799	0.00457407376143435	6.83959820756873	8688	0	0
ASV_1101	25.4228945357982	222	-4.3763406520753e-06	0.0569807179940178	219	0	1
ASV_1102	NA	0	0	0	0	0	1
ASV_1103	NA	0	0	0	0	0	1
ASV_1104	23.2094452047799	1305	-0.00058739515123537	0.593497262528053	1251	0	1
ASV_1105	25.65361861914	85	9.74644333330666e-07	0.00943148556544493	84	0	1
ASV_1106	NA	0	0	0	0	0	1
ASV_1107	NA	0	0	0	0	0	1
ASV_1108	25.5938988152385	122	4.18303143347472e-06	0.0504941920923385	122	0	1
ASV_1109	24.690506863446	594	-2.00855393497558e-05	0.127975943841876	580	0	1
ASV_111	25.6207312736186	85	2.94804001373926e-06	0.0225955280910191	84	0	1
ASV_1110	25.5369888775406	158	-2.71069081429459e-06	0.124968867507615	158	0	1
ASV_1111	25.5643070575018	120	1.45436170157925e-06	0.0290647404526441	119	0	1
ASV_1112	NA	0	0	0	0	0	1
ASV_1113	25.5882221938515	137	-3.80008570033936e-06	0.019570566006207	136	0	1
ASV_1114	25.7190672760699	30	0	0.00205992649548648	30	0	1
ASV_1115	23.2753193647227	1143	0.00392712280851306	5.83865794524306	1124	0	1
ASV_1116	25.656480716985	80	-2.32040789424004e-07	0.00916726609891413	80	0	1
ASV_1117	25.6013413338781	102	1.09258065343774e-06	0.0163044150948912	101	0	1
ASV_1118	25.6272632315392	93	-1.94205198351822e-06	0.0161781388171062	92	0	1
ASV_1119	25.7316002246962	37	-1.18532799241529e-07	0.000822639806855359	37	0	1
ASV_112	11.7269302522725	17452	0.0109614118918748	8.92270679871653	8278	0	0
ASV_1120	25.6822372689204	48	0	0.0197746263489398	48	0	1
ASV_1121	NA	0	0	0	0	0	1
ASV_1122	25.7324063221326	12	0	0.00606635652636719	12	0	1
ASV_1123	NA	0	0	0	0	0	1
ASV_1124	25.7088015830865	32	0	0.00122808218953902	32	0	1
ASV_1125	25.3654656112757	365	1.08627981278546e-05	0.0318649278780226	357	0	1
ASV_1126	25.6771554897355	49	0	0.0313655351304931	49	0	1
ASV_1127	NA	0	0	0	0	0	1
ASV_1128	NA	0	0	0	0	0	1
ASV_1129	NA	0	0	0	0	0	1
ASV_113	13.8213598202431	12285	0.0318191536282552	10.9507143960179	7171	0	0
ASV_1130	25.7072968440404	29	0	0.0203537685377435	29	0	1
ASV_1131	25.5387344806455	142	4.07046649659312e-06	0.102827145119348	142	0	1
ASV_1132	25.6334661628026	95	0	0.0155618779748797	95	0	1
ASV_1133	NA	0	0	0	0	0	1
ASV_1134	25.1026316719436	570	3.60944364084885e-06	0.207926136689965	560	0	1
ASV_1135	NA	0	0	0	0	0	1
ASV_1136	25.7347554182412	12	0	0.00125300771491869	12	0	1
ASV_1138	NA	0	0	0	0	0	1
ASV_1139	25.0385503523644	562	-0.000208591365235737	0.200785194890073	546	0	1
ASV_114	22.8308984169135	2013	-0.000131288981629239	1.74641131318418	1839	0	0.817675939980609
ASV_1140	NA	0	0	0	0	0	1
ASV_1141	25.6706095597998	65	2.10936670902618e-06	0.0181616929694917	65	0	1
ASV_1142	25.5769507915433	157	8.1412791798747e-06	0.0213122217367171	155	0	1
ASV_1143	NA	0	0	0	0	0	1
ASV_1144	NA	0	0	0	0	0	1
ASV_1145	NA	0	0	0	0	0	1
ASV_1146	24.7354241344092	536	0.000192398789855361	1.89843885528151	530	0	1
