variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
1	7.21549594635172	40061	0.0544094706665444	34.6356887316116	9811	236	0
100	12.3575560004004	20276	0.00696036017515163	6.1235184657984	8713	0	4.1919849775837e-10
101	16.6373917525773	7353	0.00308082112199694	4.82703379669997	5262	0	1
102	11.8885711140026	8748	0.10942699535512	59.489214175205	6165	1	1
103	23.7240653588229	58	0	0.000995005127337139	58	0	1
104	11.109107396657	15961	0.00837796770871596	11.7764301817468	7963	0	1
105	12.3193337003303	18880	0.0101906249903338	7.43031557094306	8524	12	0.999949082170715
107	8.08467480732659	29459	0.00632329767703067	12.6436515323526	9517	0	0
108	5.97415113602242	44391	0.0478953758453265	33.8011932015293	9895	0	0
109	18.668435792213	4557	-0.000423627079866389	2.0849258988947	3713	0	1
11	20.9207140426384	2110	-3.26412589998298e-05	2.53200877982651	1905	0	1
110	9.57960484435992	26294	0.0149000960853209	11.3653549074118	9303	0	0
111	5.98276618957061	51278	0.0907921200943231	38.8831653149145	9938	15	0
112	19.9820501451306	4602	-2.11252800627637e-05	0.915355154113154	3724	0	1
113	13.0016005404864	11820	0.00792896939401519	10.175948274429	6972	0	1
115	7.14295626063457	47118	0.00598129183459062	18.6856436430198	9907	0	0
119	3.91654969472525	53275	0.355643227146233	228.30814395143	9959	2171	0
12	6.98901861675508	48310	0.0120836894143572	18.5138621169954	9926	0	0
120	10.6336103493144	26167	0.0129406704045295	8.14814040636751	9282	8	0
121	NA	0	0	0	0	0	1
122	7.61023671304174	31155	0.0223302620433029	21.8276536831289	9616	0	0
123	7.93100990891803	28299	0.0676661659602316	22.8986602776024	9511	0	0
125	10.6406112501251	16616	0.0222266207119222	19.9121315571917	8168	0	1
127	9.11163076769092	21813	0.0181439968494828	13.412888735717	8964	0	1.84122939843308e-64
129	17.2500154138725	7763	0.000514738511606577	2.17666711508243	5455	0	1
130	14.8672479231308	7818	0.00473536158870531	11.7936270967787	5525	0	1
133	12.7982218997097	12234	0.00276593944012022	7.58639308206767	7176	0	1
136	15.3821290161145	9790	-0.000300134324915134	4.24605831862435	6232	0	1
137	8.90910659593634	32471	0.0135092402714111	14.7704027863631	9635	46	0
138	11.083537083375	18869	0.009081725414662	12.0420159697354	8520	0	0.999963473096167
139	10.724591332199	17220	0.00542540353903302	8.62289080593949	8263	0	1
14	9.90953768391553	24383	0.00599892940332476	9.03626036144389	9172	0	2.76838300001018e-259
141	7.41323200880793	29443	0.0391240498298318	25.227525963661	9482	0	0
142	9.51510329296367	18868	0.0150340322959748	24.7488385942308	8718	0	0.999964570408195
143	12.1258948053248	16697	0.00190496598799267	8.39788661998686	8156	0	1
145	9.80360464417976	25032	0.00363969162322874	8.94427183126837	9265	0	0
146	7.4121067961165	44124	0.0150503467191865	17.1562850231586	9860	0	0
147	11.8195634070664	15102	0.00518750362252831	9.17515413635327	7869	0	1
148	5.41493584225803	58047	0.133215774467986	76.6650218716564	9975	548	0
149	15.6803259933941	6925	-0.000420148862553442	7.00315802503408	5058	0	1
15	13.6822077870083	10911	0.00610364873205367	9.69658113414371	6749	0	1
151	6.38666820138124	57222	0.0141811984735802	26.0787531367961	9973	0	0
153	19.6568498648784	3547	-0.000942064162768899	2.223712740814	3008	0	1
155	5.50494805324792	54340	0.122395647227671	86.9547303717034	9967	688	0
158	12.3262075868281	14295	0.00668246327872486	9.87628967837584	7731	0	1
159	14.8860832749475	13651	0.00550011111924203	3.36772951566051	7469	0	1
16	6.60043499149234	43534	0.018290277416264	26.2384762863959	9877	2	0
160	19.1933323991592	5708	0.000452937887333292	0.985234994213128	4335	0	1
161	2.54879391452307	67250	0.648338940706612	312.628282932918	9991	2722	0
162	18.5393107797017	3902	-0.000938354541961634	5.0705748055263	3305	0	1
165	14.1229565609048	11855	0.000361044601242778	4.60291121786592	6960	0	1
166	17.8129397457712	5259	0.00181814518654231	4.20856966524883	4162	0	1
167	21.6994013612251	1756	-7.64972276883126e-05	0.874410878553644	1620	0	1
169	19.4918858973076	4875	0.000792453633099332	2.26630272145439	3903	0	1
17	19.8515412871584	2636	0.000147119287609779	1.57733642431504	2350	0	1
170	5.40339885897308	53070	0.168630440228525	115.392250427309	9969	1123	0
171	16.8678031228105	8861	0.0121478203216741	4.52499966890763	5902	0	1
172	23.6627835051546	164	-1.52216448484372e-06	0.0139315416084768	161	0	1
173	21.4419502552297	1933	0.000308246656047969	0.70419614400019	1766	0	1
175	21.82869132219	1506	0.000500771279948772	0.747643354914319	1396	0	1
176	19.682227104394	3136	-0.000160492163078432	1.92302602018602	2712	0	1
177	6.46142268041237	47768	0.038094097358576	25.9521979764489	9925	22	0
179	6.57070003002702	37412	0.034052958399518	27.9929211165986	9815	0	0
18	11.0526721048944	16196	-0.00133349724254148	8.82922756340586	8068	0	1
180	18.4208039235312	8027	0.00139025133980326	1.28626577143621	5523	0	1
181	22.9349891902712	1059	5.64691617530847e-06	0.109898485812202	998	0	1
185	5.75744990491442	29759	0.129975666431269	50.8754866069409	9653	0	0
187	6.82395355820238	48188	0.0139524021146972	20.7560594633086	9911	0	0
19	14.1802228005205	15698	0.0062242728154106	4.35361351556722	7937	1	1
190	18.9582891602442	4893	0.0025347949926432	2.99547681257633	3888	0	1
195	17.3145243719347	4781	0.00721810258538418	8.67647675563527	3974	0	1
199	5.16494755279752	59554	0.0648777615598756	64.7779522824022	9972	275	0
2	5.82226023421079	57218	0.0448819205926231	45.4637382252254	9973	178	0
20	15.3225449904914	9919	0.00287460791945395	5.14954675009004	6368	0	1
202	9.67761595435892	26601	0.00210109393454995	8.84979223523118	9342	0	0
21	11.3282815533981	16231	0.00197881089270048	7.91311177096173	8142	0	1
210	22.9738995095586	969	-6.51195693991924e-06	0.0894883629385468	921	0	1
212	14.8045410869783	7600	-0.00184787139511985	7.97280872009101	5461	0	1
214	11.4126722049845	8286	0.123551224886715	76.1301421552849	6119	2	1
216	8.24989150235212	27877	0.00287327573434023	14.9875091205932	9397	0	0
217	16.7934894404965	8811	0.00497847363464134	2.19688516587134	5914	0	1
22	7.87092813532179	34264	0.00598814042095088	15.7954762957644	9704	0	0
222	16.4785248723851	9719	0.000361473794896525	2.50103635755212	6313	0	1
23	9.65611910719648	20831	0.0145089347366969	13.2080424982856	8817	0	4.21758238290059e-24
24	6.24188930037033	54236	0.00938707087546997	25.4915053769873	9947	0	0
26	17.3470830747673	6652	-0.000844803073767672	2.73745683964495	4928	0	1
28	13.6947244520068	15171	0.00982883336215203	7.10951702748241	7863	1	1
29	9.18161014913422	23493	0.016444469973347	13.6291779965064	9088	0	9.49939812569871e-178
3	8.50010399359424	25937	0.015909043288242	14.6926249902669	9240	0	0
30	5.59676729056151	20243	0.103562044217242	94.1973544958886	9073	0	1.78227149147803e-09
31	14.964632068862	9787	0.000621050431657254	5.35447710133326	6340	0	1
33	14.0444946451807	13759	0.00852399592271589	5.46656676905451	7477	1	1
35	18.1279038134321	5358	0.000400815499372928	3.65445866888028	4308	0	1
36	5.02927314583125	57688	0.22248693945142	135.765156158102	9979	1281	0
37	21.322937043339	1513	-0.00132719386662406	3.24961531696666	1415	0	1
4	17.2637106395756	9412	0.000739646676879046	1.35187348181097	6094	0	1
40	8.05122910619558	30100	0.016526607770126	15.5203216724332	9521	0	0
41	11.4010856771094	15977	0.00329287143794617	9.02885164155702	8068	0	1
42	8.60847192473226	30081	0.00986368415678124	15.4951478517554	9504	0	0
43	6.61556140526474	49022	0.0324236721210989	28.0160120380386	9925	71	0
44	15.1947496747072	11593	0.000808966028726779	2.73052196973697	6895	0	1
45	16.7645914322891	7656	0.0148125379017268	4.80836438798942	5394	0	1
46	10.7059433490141	17185	0.00161405333307861	11.411636725591	8271	0	1
47	6.41783755379842	55123	0.0291068830329588	28.2082487417149	9956	91	0
48	7.58734180762686	31718	0.00667430098105823	16.298083763638	9603	0	0
49	7.1917461715544	36745	0.0380620797602116	23.2713804642584	9767	0	0
5	7.24378931037934	38412	0.0161175142585934	17.9464429329334	9800	0	0
50	23.4547944149735	233	1.94264900666492e-06	0.0623148649219273	232	0	1
51	14.7666891202082	11921	0.00131208575480642	3.92291408617888	6972	0	1
52	16.0934512060855	8656	0.00207910330316681	3.29812363895484	5852	0	1
53	21.5192960664598	1856	0.00127739956560454	2.29013206032185	1708	0	1
54	13.8968137323591	11105	0.00297413525252863	6.56232676690576	6797	0	1
55	20.5959717745971	2697	-0.000509319939578848	1.54975250347443	2405	0	1
56	14.574243218897	7055	-0.0137916009415904	16.1623288074234	5215	0	1
57	13.6637566810129	9620	0.00978221302621387	13.2157147637337	6354	0	1
58	18.5148428585727	3804	-0.00187603222929645	6.17121672046202	3336	0	1
59	15.0391005905315	8386	0.00163633659377082	5.35562361442932	5705	0	1
6	9.32673696326694	25356	-0.0013888846069617	11.0287054307015	9230	0	0
60	16.8160216194575	6691	0.00142334517643644	2.7461554368512	4943	0	1
61	13.7952976679011	14731	0.00227825939049163	4.98525608578978	7720	0	1
62	13.6089541587429	12857	-0.00104765699000268	4.84009396715045	7342	0	1
63	9.72938674807327	22190	0.0061047397808123	11.998755160397	8964	0	4.06280859416368e-85
64	23.5645170653588	182	2.51356926023055e-07	0.026794844861104	181	0	1
66	14.4970397357622	12867	4.27976016211736e-05	3.12610352276687	7275	0	1
67	15.5182670403363	9923	0.00165164211637937	4.58744230391864	6337	0	1
68	20.7448877990191	2201	-0.000156435413717007	1.80660177254135	2025	0	1
69	7.43233910519467	29123	0.0798785999737679	32.982115298558	9491	0	0
7	5.49644229806826	43556	0.100630504501677	45.2031485110089	9896	15	0
70	7.28482714442999	39185	0.00871289094663831	19.6976425759051	9819	0	0
71	18.8720779701732	4273	0.000266500621645817	2.13882612447115	3512	0	1
72	19.5292918626764	5243	-1.49798465828068e-05	1.11725833915491	4096	0	1
73	16.6609070163147	8340	0.000877654217130107	3.42434699356235	5693	0	1
74	6.75816955259734	50760	0.00955526504119384	20.8797637003581	9943	6	0
76	10.5356240616555	16773	0.0109404124374503	14.5483205888353	8211	0	1
77	18.3310028025223	4519	0.0018021016414659	3.15265187925354	3650	0	1
79	20.1111828645781	4580	-0.000337326031457082	1.02212001344264	3739	0	1
8	8.66247032329096	25003	0.012219422694061	16.7292240345128	9222	0	0
80	16.2948862976679	9473	0.000105254149849966	2.88448635199447	6210	0	1
81	10.4814030627565	15100	-0.00568634128762798	20.0188418601141	7909	0	1
82	10.2071143028726	19060	0.00278022424923352	8.83999398034133	8580	0	0.995063881470327
83	15.5789233309979	7840	0.000555304118801037	3.49512113678409	5484	0	1
