variable	mse_increase
161	0.648338940706612
119	0.355643227146233
36	0.22248693945142
170	0.168630440228525
148	0.133215774467986
185	0.129975666431269
214	0.123551224886715
155	0.122395647227671
102	0.10942699535512
30	0.103562044217242
7	0.100630504501677
111	0.0907921200943231
69	0.0798785999737679
123	0.0676661659602316
199	0.0648777615598756
1	0.0544094706665444
84	0.0521747364164685
93	0.0499855868757362
108	0.0478953758453265
2	0.0448819205926231
141	0.0391240498298318
177	0.038094097358576
49	0.0380620797602116
179	0.034052958399518
43	0.0324236721210989
47	0.0291068830329588
122	0.0223302620433029
125	0.0222266207119222
90	0.0189684854485221
16	0.018290277416264
counts	0.018181760038392
127	0.0181439968494828
40	0.016526607770126
29	0.016444469973347
5	0.0161175142585934
3	0.015909043288242
146	0.0150503467191865
142	0.0150340322959748
110	0.0149000960853209
45	0.0148125379017268
23	0.0145089347366969
151	0.0141811984735802
187	0.0139524021146972
137	0.0135092402714111
120	0.0129406704045295
8	0.012219422694061
171	0.0121478203216741
12	0.0120836894143572
76	0.0109404124374503
105	0.0101906249903338
42	0.00986368415678124
28	0.00982883336215203
57	0.00978221302621387
74	0.00955526504119384
24	0.00938707087546997
88	0.00931592867711322
138	0.009081725414662
70	0.00871289094663831
33	0.00852399592271589
104	0.00837796770871596
113	0.00792896939401519
195	0.00721810258538418
100	0.00696036017515163
158	0.00668246327872486
48	0.00667430098105823
89	0.00661896202177844
107	0.00632329767703067
19	0.0062242728154106
63	0.0061047397808123
15	0.00610364873205367
14	0.00599892940332476
22	0.00598814042095088
115	0.00598129183459062
159	0.00550011111924203
139	0.00542540353903302
147	0.00518750362252831
217	0.00497847363464134
130	0.00473536158870531
97	0.00437143682467206
145	0.00363969162322874
41	0.00329287143794617
101	0.00308082112199694
54	0.00297413525252863
20	0.00287460791945395
216	0.00287327573434023
82	0.00278022424923352
133	0.00276593944012022
190	0.0025347949926432
61	0.00227825939049163
202	0.00210109393454995
52	0.00207910330316681
21	0.00197881089270048
143	0.00190496598799267
166	0.00181814518654231
77	0.0018021016414659
86	0.00174749768387966
67	0.00165164211637937
59	0.00163633659377082
46	0.00161405333307861
60	0.00142334517643644
180	0.00139025133980326
51	0.00131208575480642
53	0.00127739956560454
87	0.000921901180478169
73	0.000877654217130107
44	0.000808966028726779
169	0.000792453633099332
4	0.000739646676879046
31	0.000621050431657254
83	0.000555304118801037
99	0.000520328733468237
129	0.000514738511606577
175	0.000500771279948772
160	0.000452937887333292
35	0.000400815499372928
96	0.000374536671059317
222	0.000361473794896525
165	0.000361044601242778
98	0.000339725138907215
173	0.000308246656047969
71	0.000266500621645817
17	0.000147119287609779
95	0.000118814680211856
80	0.000105254149849966
66	4.27976016211736e-05
181	5.64691617530847e-06
50	1.94264900666492e-06
64	2.51356926023055e-07
103	0
121	0
172	-1.52216448484372e-06
94	-4.63847946433237e-06
85	-5.99843606209414e-06
210	-6.51195693991924e-06
9	-1.16564962966292e-05
72	-1.49798465828068e-05
112	-2.11252800627637e-05
11	-3.26412589998298e-05
92	-5.81493183263504e-05
167	-7.64972276883126e-05
68	-0.000156435413717007
176	-0.000160492163078432
136	-0.000300134324915134
79	-0.000337326031457082
149	-0.000420148862553442
109	-0.000423627079866389
55	-0.000509319939578848
26	-0.000844803073767672
162	-0.000938354541961634
153	-0.000942064162768899
62	-0.00104765699000268
37	-0.00132719386662406
18	-0.00133349724254148
6	-0.0013888846069617
212	-0.00184787139511985
58	-0.00187603222929645
81	-0.00568634128762798
56	-0.0137916009415904
