variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
1	7.84015429542954	38602	0.0240224443490594	18.9576980769655	9797	0	0
100	9.04616885688569	22770	0.0529247111238377	20.6701447536974	9083	0	9.21764123094996e-126
101	14.9319820782078	7386	0.00288155355622032	7.23752363909202	5307	0	1
102	14.9166299029903	6781	0.0130681133508711	6.49147359127379	4983	0	1
103	21.1779876387639	43	0	0.00314464876866968	43	0	1
104	12.0972844684468	14668	0.00913514293505501	11.0937534886395	7758	0	1
105	9.84464272427243	21089	0.0226655777053898	15.1959666655398	8790	0	1.60208918595519e-34
107	8.69452733273327	28862	0.00695884518883033	13.1606072520959	9457	0	0
108	4.72363102310231	47583	0.159269994915442	92.3411657204423	9930	11	0
109	16.6332355835584	4551	-0.00260540891435536	4.40247419554532	3690	0	1
11	18.4851675767577	2300	0.00320662187884256	4.65963430444723	2070	0	1
110	9.11794709470947	26937	0.0316311588032492	17.7505061309937	9354	10	0
111	7.07490605060506	45142	0.0506391677611041	27.2031709299306	9895	0	0
112	17.0765312131213	4407	0.000261885171251079	2.51359896685061	3645	0	1
113	14.0699796179618	9600	0.00044716726809084	4.86848443929814	6216	0	1
115	6.22257521752175	51226	0.0724454440703511	45.1321583033579	9935	14	0
119	5.72556375637564	47535	0.109879527057013	57.0449570777806	9919	226	0
12	6.48028554855486	50446	0.0737189610586069	50.4604872416672	9931	288	0
120	9.09874135413541	25049	0.0295088269286951	17.3630980049356	9217	0	0
121	NA	0	0	0	0	0	1
122	6.37352639263926	35326	0.0611858102089771	38.356128523199	9763	0	0
123	9.2238103610361	22744	0.014921267108132	16.6890747426827	8992	0	6.2906110965952e-124
125	13.5774628062806	12471	0.00729404784555173	7.72764879928331	7170	0	1
127	9.94210521052105	21198	0.00991430387344906	13.3334632904494	8849	0	1.02266588312415e-38
129	15.3081287128713	7398	0.00103529682068077	3.9377149972804	5264	0	1
130	16.1252882288229	5848	-6.95207281798508e-05	5.23530786022918	4494	0	1
133	13.4181660166017	10225	0.0010655824623187	5.86188229089269	6469	0	1
136	15.5053546954695	8737	-0.000341121802669157	2.97421104803235	5855	0	1
137	7.34244608460846	35545	0.0315274256976337	33.744884167245	9743	0	0
138	11.0686183018302	19407	0.0175022860488931	16.537409546417	8603	0	0.401521809210276
139	11.2055207520752	16158	0.00242940131581199	8.31680136140229	8069	0	1
14	9.14081872187219	24942	0.0139881954004234	13.2736358613935	9223	0	1.97626258336499e-323
141	6.90346560656066	35532	0.0488527488388575	33.6164622925734	9740	0	0
142	12.5904553655366	13650	0.00488847355976598	11.5943302144466	7511	0	1
143	11.601298069807	15209	0.00258257623913749	10.4042049870487	7878	0	1
145	8.21421328132813	29248	0.0235455343191754	22.9919767977506	9550	0	0
146	6.40330469046905	47794	0.0767728420466809	48.5617454613308	9925	200	0
147	10.4675612361236	16818	0.00556421987731818	13.1575368236719	8267	0	1
148	5.55799569956996	55339	0.111177524533051	74.5638982735965	9964	624	0
149	14.7734676067607	6646	-0.00100265005549812	6.20950538383004	4990	0	1
15	13.5847881588159	10596	0.00406418962062417	9.2056999464461	6587	0	1
151	3.21674851485149	62147	0.309087663284169	197.160629931998	9993	467	0
153	17.8487902790279	3368	-0.000366872016462289	1.67342624502098	2889	0	1
155	5.62048080808081	53020	0.152783594476234	94.7909883655031	9965	982	0
158	11.6824367836784	13984	0.0185249121683882	12.5812732268266	7588	0	1
159	9.90903792379238	17265	0.0937409020034339	19.2553963243429	8256	0	1
16	5.662499729973	44713	0.109465799888928	62.8241840490474	9917	0	0
160	16.0677563556356	6118	0.00303209373674315	4.21467594286622	4552	0	1
161	3.49476087608761	63449	0.524954732989086	243.238666603349	9989	2366	0
162	17.5161242524252	3477	-0.000957038891010917	3.46428107596538	3023	0	1
165	12.2059606360636	13998	0.00975138300838008	11.2020483884906	7613	0	1
166	17.4383149314931	4840	7.74306525260117e-06	1.85245532352321	3884	0	1
167	18.6455142714271	2444	3.41189113196445e-05	2.55689151427372	2201	0	1
169	15.8829055505551	5792	0.0022588831015745	4.96853333222437	4440	0	1
17	19.7242189218922	1359	0.00039526356525336	1.00036264126957	1274	0	1
170	7.08524770477048	45676	0.0474541898115751	26.0302881199333	9912	8	0
171	14.2824552055206	8608	0.00858695160369418	6.11227509094927	5835	0	1
172	21.0100649264926	171	-1.1325216869098e-05	0.191575111310894	171	0	1
173	19.6455896989699	1492	0.000139364344001161	0.724292915839594	1398	0	1
175	20.2026306230623	1077	0.000269443380192259	0.471846430696745	1025	0	1
176	18.9086650465047	2418	0.000557048457122968	1.21148090420862	2162	0	1
177	5.87017655765577	51050	0.0678456352765914	55.4843824088165	9938	312	0
179	5.67887878787879	37198	0.144213350030735	69.9876626576876	9814	0	0
18	10.8348219221922	16011	-0.0027369858804954	9.85380214830656	8053	0	1
180	13.6058778677868	9658	0.00971950133044299	7.43838368212677	6247	0	1
181	19.0476161816182	1943	0.000534211453963133	2.24802945214103	1796	0	1
185	9.55889920992099	22409	0.0135369709530361	16.3959461140498	8961	0	1.8360989009463e-101
187	4.41485454545454	57219	0.160091480075154	110.553776214498	9970	0	0
19	11.0339748174817	14955	0.0207952684815554	14.0095312239477	7796	0	1
190	16.4448360636064	5431	0.00154944841115752	3.39695415098716	4252	0	1
195	16.8532236023602	4299	0.00132719128109661	6.12126218555479	3597	0	1
199	5.99223342334233	57903	0.0435696069773489	40.6835564452402	9969	83	0
2	5.27566176617662	57575	0.127517225146049	78.6211126555076	9969	541	0
20	14.8568834883488	9624	0.000434796029265344	4.92331806819301	6229	0	1
202	8.94588212821282	25611	0.0113717013115943	16.1609035321902	9238	0	0
21	10.3427561156116	17033	0.0131003240168171	14.214126800094	8243	0	1
210	20.184801280128	1025	-0.000174314391166362	0.530413416744661	979	0	1
212	16.1294909690969	5182	-0.00127448232323048	3.96830480115003	4106	0	1
214	17.7709188518852	3622	0.00268078419343715	2.39650575833718	3015	0	1
216	9.23998541854185	25790	0.00399852467019815	11.9809386333114	9296	0	0
217	14.0219349134913	9608	0.00208671003449998	4.82464925699457	6251	0	1
22	8.09681698169817	31123	0.00410069034014898	16.6950261892723	9554	0	0
222	13.4066560656066	10143	0.00612692811150378	6.72378901430688	6389	0	1
23	9.7995301330133	20388	0.00875433632569995	13.5069955405422	8762	0	1.96501371447049e-13
24	6.06722548254825	55220	0.0426078123282804	43.768718314152	9965	47	0
26	15.8546504850485	6021	-0.000929982075137687	3.72337148016991	4556	0	1
28	9.84070259025903	17248	0.0276146986006255	17.9914560942313	8281	0	1
29	8.87852835283528	24161	0.0115055070538541	15.2196938784616	9174	0	1.98228952149397e-242
3	8.13771227122712	28555	0.019474551281144	21.5833309066541	9474	2	0
30	11.8911133713371	11320	0.00826005175753025	16.9538636223399	6890	0	1
31	11.4865862586259	12044	0.0109430153069034	15.2769368268757	7159	0	1
33	12.211704870487	12721	0.0101981048404538	9.06855424775155	7294	0	1
35	16.7237133113311	4869	0.00138573950502047	4.25731344505336	3928	0	1
36	2.83418341834183	71189	0.578244474091083	306.904964504435	9999	2881	0
37	19.2274706870687	1439	-2.58949017863839e-05	2.96413853654829	1378	0	1
4	14.2233319731973	8998	0.00485373473161458	5.30584206215157	5973	0	1
40	9.27614841484148	25996	0.00985772906044667	11.7229821523487	9279	0	0
41	11.5677068306831	15716	0.00143049202067695	8.11420366695943	7920	0	1
42	6.33124900490049	36089	0.0895450873019893	51.9325619863519	9757	148	0
43	5.57874337433743	50443	0.0891277991696716	67.868895907405	9924	390	0
44	13.3513327732773	11278	0.00314693545719172	5.25665261217355	6773	0	1
45	13.6706383038304	10263	0.0154206902433443	8.84298789746611	6533	0	1
46	10.1371887988799	18167	0.00463556450755093	13.4853811178229	8477	0	1
47	6.86313927392739	49976	0.0233914886644195	29.475101238216	9935	106	0
48	8.54361130113011	29379	0.0103430658371425	15.0711921724895	9528	0	0
49	6.28857135713571	40285	0.116019666068197	46.0902159944253	9874	1	0
5	6.33929756975698	41373	0.0364698776487584	40.5055792494189	9873	0	0
50	21.0494396439644	146	3.67397459821271e-06	0.0287438675782599	144	0	1
51	13.2977352735274	11660	0.000428484734852241	5.23415403711296	6924	0	1
52	14.3712715071507	9453	0.00511405119473952	5.57407425593126	6232	0	1
53	18.8511827582758	1924	0.00147104798440777	2.95205590547836	1773	0	1
54	12.9470474647465	11527	0.00580094572144881	10.1957056945906	6865	0	1
55	17.0825543354335	3903	0.000110622571215571	4.69199391241486	3327	0	1
56	10.8457136913691	7741	0.0285799124817829	42.1461219777525	5991	0	1
57	15.1197383738374	7290	-0.00047373802246965	6.80218722615582	5239	0	1
58	17.1352192019202	3598	-0.00142650153533248	4.08017002738204	3187	0	1
59	14.2786800080008	8575	0.0053827410140272	6.62049808668235	5848	0	1
6	8.15735081508151	28781	0.0124880311928032	17.8991244471308	9477	0	0
60	15.4651830983098	6824	0.000699087181883551	3.09079358225488	5002	0	1
61	9.2632795479548	17631	0.0780686325923734	42.8441225977648	8426	0	1
62	11.9771386938694	13877	0.00134666019379333	7.62913434718457	7542	0	1
63	9.05618861886189	23593	-0.00237724108766587	15.0965530219063	9049	0	1.91994305396671e-190
64	21.0054554455446	216	-1.55830361810818e-05	0.0980471935374574	214	0	1
66	12.3869827782778	14304	0.00863683181404025	10.7516840724619	7627	0	1
67	13.9410729272927	10035	0.00362191069505585	6.76494088364725	6386	0	1
68	19.4160389638964	1564	-0.000208880706526274	1.34652100438927	1475	0	1
69	9.0078101810181	25829	0.00819682501283615	14.2129684772998	9289	0	0
7	7.00576349634963	39817	0.0979344899770729	27.802593086824	9821	0	0
