variable	mse_increase
36	0.578244474091083
161	0.524954732989086
151	0.309087663284169
187	0.160091480075154
108	0.159269994915442
155	0.152783594476234
179	0.144213350030735
2	0.127517225146049
counts	0.1247081619205
49	0.116019666068197
148	0.111177524533051
119	0.109879527057013
16	0.109465799888928
7	0.0979344899770729
159	0.0937409020034339
42	0.0895450873019893
43	0.0891277991696716
61	0.0780686325923734
146	0.0767728420466809
12	0.0737189610586069
115	0.0724454440703511
177	0.0678456352765914
122	0.0611858102089771
100	0.0529247111238377
84	0.0521239166555895
111	0.0506391677611041
141	0.0488527488388575
170	0.0474541898115751
74	0.0459276440301468
199	0.0435696069773489
24	0.0426078123282804
5	0.0364698776487584
110	0.0316311588032492
137	0.0315274256976337
120	0.0295088269286951
56	0.0285799124817829
28	0.0276146986006255
1	0.0240224443490594
145	0.0235455343191754
47	0.0233914886644195
105	0.0226655777053898
70	0.0210664815522191
19	0.0207952684815554
3	0.019474551281144
158	0.0185249121683882
138	0.0175022860488931
45	0.0154206902433443
123	0.014921267108132
93	0.0140449869418507
14	0.0139881954004234
185	0.0135369709530361
21	0.0131003240168171
102	0.0130681133508711
8	0.0129342116430049
6	0.0124880311928032
79	0.0120049224728925
29	0.0115055070538541
202	0.0113717013115943
31	0.0109430153069034
88	0.0108573558790263
48	0.0103430658371425
33	0.0101981048404538
127	0.00991430387344906
40	0.00985772906044667
165	0.00975138300838008
180	0.00971950133044299
104	0.00913514293505501
23	0.00875433632569995
66	0.00863683181404025
171	0.00858695160369418
30	0.00826005175753025
69	0.00819682501283615
81	0.00771622999506774
90	0.00758380071567304
125	0.00729404784555173
107	0.00695884518883033
222	0.00612692811150378
54	0.00580094572144881
147	0.00556421987731818
59	0.0053827410140272
52	0.00511405119473952
142	0.00488847355976598
4	0.00485373473161458
46	0.00463556450755093
76	0.00416270582841733
22	0.00410069034014898
15	0.00406418962062417
216	0.00399852467019815
67	0.00362191069505585
82	0.00358334259594285
11	0.00320662187884256
44	0.00314693545719172
160	0.00303209373674315
97	0.00291507595440405
101	0.00288155355622032
92	0.00280288233607334
214	0.00268078419343715
9	0.00260449900825352
143	0.00258257623913749
139	0.00242940131581199
169	0.0022588831015745
217	0.00208671003449998
72	0.00183164198367339
98	0.00177058340380639
190	0.00154944841115752
53	0.00147104798440777
41	0.00143049202067695
35	0.00138573950502047
62	0.00134666019379333
195	0.00132719128109661
86	0.00127402012843519
133	0.0010655824623187
129	0.00103529682068077
80	0.000982194732649851
83	0.00096596455414781
87	0.000902872696768377
96	0.000759212453051065
60	0.000699087181883551
89	0.000689422663567888
71	0.000635238920465645
99	0.000617027465436134
176	0.000557048457122968
181	0.000534211453963133
113	0.00044716726809084
20	0.000434796029265344
51	0.000428484734852241
17	0.00039526356525336
175	0.000269443380192259
112	0.000261885171251079
173	0.000139364344001161
55	0.000110622571215571
167	3.41189113196445e-05
85	2.94763826717986e-05
166	7.74306525260117e-06
50	3.67397459821271e-06
103	0
121	0
94	-1.69058885176297e-06
73	-7.72183909158055e-06
172	-1.1325216869098e-05
64	-1.55830361810818e-05
37	-2.58949017863839e-05
130	-6.95207281798508e-05
210	-0.000174314391166362
68	-0.000208880706526274
77	-0.000273310739211827
95	-0.000327738904386452
136	-0.000341121802669157
153	-0.000366872016462289
57	-0.00047373802246965
26	-0.000929982075137687
162	-0.000957038891010917
149	-0.00100265005549812
212	-0.00127448232323048
58	-0.00142650153533248
63	-0.00237724108766587
109	-0.00260540891435536
18	-0.0027369858804954
