variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_1	7.13780712762717	34610	0.128893723998774	48.1440087790726	9701	57	0
ASV_10	10.4773291095543	19878	0.0313531480455843	14.3788770648194	8661	0	0
ASV_100	14.3992834196365	10582	0.0132462727310623	6.5032345571942	6601	0	0
ASV_1000	NA	0	0	0	0	0	1
ASV_1001	21.9897661082343	574	0.000784856218210363	2.78140113342025	571	0	1
ASV_1002	22.9199226723525	81	-1.68546187283083e-05	0.023741601526766	81	0	1
ASV_1003	22.8186427860697	168	-2.09145981918741e-05	0.160223770543064	168	0	1
ASV_1004	NA	0	0	0	0	0	1
ASV_1005	22.8271130876231	188	9.57868753984529e-06	0.0585316413609549	188	0	1
ASV_1006	NA	0	0	0	0	0	1
ASV_1007	22.9568347649508	62	1.92740226434666e-08	0.00311248048572311	62	0	1
ASV_1008	22.9991778251599	26	0	0.0038765787318912	26	0	1
ASV_1009	NA	0	0	0	0	0	1
ASV_101	15.3394961518936	8641	0.0131871851424195	6.36646688189773	5797	0	0
ASV_1010	22.7323154025789	213	3.67387958931843e-05	0.298851495371955	211	0	1
ASV_1011	NA	0	0	0	0	0	1
ASV_1013	NA	0	0	0	0	0	1
ASV_1014	22.6109983957762	312	-4.46940663443016e-05	0.359682514463573	310	0	1
ASV_1015	22.832599614174	152	1.53394419345821e-05	0.0932759116897854	152	0	1
ASV_1016	NA	0	0	0	0	0	1
ASV_1017	22.8916780992994	122	6.08838391715882e-06	0.0186502500265206	122	0	1
ASV_1018	22.8847775814804	86	-6.54341481280284e-05	0.18634581950791	86	0	1
ASV_1019	22.3460337496193	480	-0.000457828188406863	0.612936417120794	471	0	1
ASV_102	22.7942623210478	208	2.96124148669388e-05	0.0697831238858654	207	0	1
ASV_1020	NA	0	0	0	0	0	1
ASV_1021	22.9205807696213	100	1.28377927624158e-08	0.00535473336358789	99	0	1
ASV_1022	NA	0	0	0	0	0	1
