variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
1	7.73393582224002	38951	0.049273080922073	28.9698534873702	9787	42	0
100	9.56754206786107	22539	0.0410112579200077	24.0236648882163	8987	0	4.60286196493637e-112
101	14.2709251526374	8071	0.00418756426798505	12.8233378363201	5565	0	1
102	14.2424166549895	6908	0.0661328665656336	23.2202128599728	5027	0	1
103	20.8952039435492	98	9.74835737043199e-07	0.133462763956314	98	0	1
104	10.3730030227204	16970	0.0212021299012364	24.3546581026156	8265	0	1
105	9.99158292463217	22277	0.0158172976292319	17.1215985619506	8966	0	3.5652343758559e-95
107	8.16629198278451	29449	0.0124661781066303	19.2545100958301	9515	1	0
108	5.45849312381143	47972	0.0945159514626707	57.6051571366312	9927	0	0
109	17.1323369632669	4013	-0.0012501335238935	2.90133729160387	3318	0	1
11	18.8682564107697	1867	0.00254666033962884	4.4986750998623	1702	0	1
110	9.29945326794115	26135	0.0415513520944205	18.0817998602285	9323	0	0
111	6.52124678210389	47240	0.122572275868887	56.8203051820985	9928	16	0
112	17.1086386147533	4387	0.000475716815178163	3.06324490946517	3629	0	1
113	12.6970426583926	11321	0.00170748266209637	10.5062360473746	6865	0	1
115	6.69433922530277	47938	0.0552385078106212	42.7522568104189	9915	0	0
119	5.12035495946352	49783	0.325622594428944	158.85179819085	9939	796	0
12	7.47795293764388	46541	0.0178722757190528	25.5256959359378	9912	1	0
120	9.01535223701331	27992	0.0275397418710624	18.9332822083225	9410	0	0
121	NA	0	0	0	0	0	1
122	7.04387008307477	32826	0.0610611094350139	42.4130612438581	9661	0	0
123	8.24154909418477	25444	0.0841848332266923	42.7440707941803	9306	0	0
125	13.059218496647	12245	0.0150632526122774	12.1442882667691	7131	0	1
127	9.76655850265239	20623	0.0089170519744026	16.1163950295748	8761	0	3.21764075302864e-20
129	14.8959551396257	8159	0.00115476075588163	4.4279045291094	5612	0	1
130	14.1795222900611	7465	0.00818720572176567	16.3761960598787	5395	0	1
133	12.714581443299	10987	0.00142344476323943	8.43446924221285	6715	0	1
136	14.6230346511861	9362	0.00155685991140834	5.82531141280716	6135	0	1
137	8.11246261635472	35286	0.0220214201807982	27.8959935250816	9721	2	0
138	10.9521576618957	18122	0.0381959463258677	24.57901736302	8395	0	1
139	10.314798798919	16948	0.00278811153320578	13.7705268273066	8177	1	1
14	8.72180410369332	25192	0.0246080587945683	21.4312212658681	9227	0	0
141	4.5740496246622	36435	0.379139721480181	128.989465761572	9802	1	0
142	12.2776766890201	14527	0.00289067396835073	13.281219636662	7712	0	1
143	11.9656387949154	15401	0.00208329888107896	9.13960623340889	7945	0	1
145	8.04817896106496	27485	0.0378100529890265	33.6497339529721	9411	0	0
146	7.29247060354319	45010	0.0299080675559802	28.9220223862613	9882	0	0
147	10.6915606645981	15902	0.0156408192278459	16.6593818031955	8098	0	1
148	5.44680364327895	55559	0.163803738033234	95.4839298960314	9955	403	0
149	16.0831338604744	5236	0.000177526425516057	5.10288316724515	4119	0	1
15	11.7088013812431	12308	0.0174750744659116	25.1674336793752	7238	0	1
151	6.61527783004704	52247	0.020245602020679	34.069581911604	9947	0	0
153	17.627395115604	3384	-0.00028806404655791	2.61759948212371	2888	0	1
155	4.8086870383345	55498	0.462667961752004	234.829088864334	9970	1365	0
158	12.0857857872085	12727	0.01067294679625	12.2866571856761	7222	0	1
159	12.2206496646982	14172	0.0105457706283506	9.19410462856102	7597	0	1
16	7.07042586327695	40073	0.0228853359201255	26.7991857472101	9827	2	0
160	16.1456903613252	5905	0.000362643328136492	3.27787677262468	4509	0	1
161	3.32269042137924	63982	0.866753880212819	435.395438953555	9991	2384	0
162	17.9881336803123	2806	-0.000375263436263766	3.8840393336882	2493	0	1
165	11.8641722149935	14320	-0.00187157095595777	16.6048085540269	7688	0	1
166	17.3766859373436	4296	0.000597496527886333	2.44749794184107	3485	0	1
167	18.2951722750475	2648	0.00136932113854924	4.4439336940032	2400	0	1
169	15.8831076168552	5815	0.00267117332339104	6.96211271609647	4490	0	1
17	18.8853618256431	1881	0.000625837302331578	1.50461025957954	1741	0	1
170	6.47686171554399	51479	0.0735137400531131	48.821475516288	9944	96	0
171	13.9524528275448	8831	0.0113002227973202	13.0697490171931	5950	0	1
172	20.8465288960064	181	-3.36999031996997e-06	0.0672521355214351	180	0	1
173	18.9606523671304	1808	0.000219601894969652	1.83534009440565	1662	0	1
175	19.9255550795716	1106	0.000358638030199681	0.677734567003535	1047	0	1
176	18.413656791112	2555	0.0011344568562467	1.73561786908287	2266	0	1
177	5.17861585426884	51565	0.22879036358103	126.337248104449	9936	551	0
