variable	mse_increase
161	0.866753880212819
36	0.831834204878047
155	0.462667961752004
141	0.379139721480181
45	0.33401770260177
119	0.325622594428944
177	0.22879036358103
84	0.186708880298599
187	0.179620515047659
148	0.163803738033234
43	0.158323546583107
3	0.141101121965404
7	0.12883617867451
111	0.122572275868887
108	0.0945159514626707
123	0.0841848332266923
49	0.0763670880207201
170	0.0735137400531131
2	0.0709860654371472
102	0.0661328665656336
24	0.0657540358138757
122	0.0610611094350139
115	0.0552385078106212
42	0.0546179716784313
47	0.0543345306308335
69	0.0508862276849821
74	0.0500265456471552
1	0.049273080922073
199	0.0484144315208177
counts	0.043658674448018
59	0.0423498915277128
110	0.0415513520944205
100	0.0410112579200077
138	0.0381959463258677
145	0.0378100529890265
56	0.0331181534541309
48	0.0325285127928896
5	0.0324869745574517
214	0.0324413707322562
146	0.0299080675559802
120	0.0275397418710624
185	0.0268095806018322
93	0.0256897936854787
14	0.0246080587945683
29	0.0238146940871822
40	0.0237350117406194
16	0.0228853359201255
137	0.0220214201807982
104	0.0212021299012364
28	0.0211186882922451
151	0.020245602020679
8	0.0193487156298232
12	0.0178722757190528
15	0.0174750744659116
105	0.0158172976292319
147	0.0156408192278459
88	0.0151642930389525
125	0.0150632526122774
23	0.0135141215231698
180	0.0134704808366906
51	0.013152643446987
70	0.0129218134713189
97	0.0128888903251637
107	0.0124661781066303
30	0.011771327731102
171	0.0113002227973202
4	0.0111304571723805
158	0.01067294679625
159	0.0105457706283506
22	0.0102617142891072
179	0.00930631916981893
127	0.0089170519744026
90	0.00887457240495841
87	0.00858924189053029
52	0.00857455717201939
130	0.00818720572176567
6	0.00817630197693713
33	0.00772535224036512
46	0.00755885047889652
222	0.00692732842496736
66	0.00671225408355769
82	0.00614216883568392
216	0.00611273966139067
41	0.00596088350437611
101	0.00418756426798505
83	0.0040937311863035
57	0.00381955681249673
86	0.0035739131725834
19	0.00354598293362752
80	0.003456862490149
44	0.00333261420066789
98	0.00312521703974404
18	0.00297506759987199
63	0.00289964805197462
62	0.00289769956968094
142	0.00289067396835073
139	0.00278811153320578
169	0.00267117332339104
99	0.00265603659062906
195	0.00256333531304263
11	0.00254666033962884
81	0.00253697185193963
61	0.0022606407696106
35	0.00213651263356382
143	0.00208329888107896
217	0.00201486375277643
54	0.00193083453855489
113	0.00170748266209637
71	0.00156212079716455
136	0.00155685991140834
96	0.00153789914834155
133	0.00142344476323943
190	0.00139837858763042
167	0.00136932113854924
9	0.00134097847634342
55	0.00122736421275448
129	0.00115476075588163
21	0.00113773369043171
176	0.0011344568562467
89	0.00108644554221898
76	0.000967126298010229
17	0.000625837302331578
166	0.000597496527886333
67	0.000530350360101835
112	0.000475716815178163
53	0.000373364370873046
202	0.000370469617888081
160	0.000362643328136492
175	0.000358638030199681
60	0.000328766331574412
20	0.0002494226963529
173	0.000219601894969652
73	0.000214284842326957
149	0.000177526425516057
210	5.4194968642006e-05
103	9.74835737043199e-07
121	0
64	-8.33177256899113e-08
172	-3.36999031996997e-06
94	-6.47646257733881e-06
85	-6.65913855335017e-05
37	-8.52323771110767e-05
50	-0.000106782007753034
26	-0.000120858302877305
95	-0.000122852471842745
68	-0.000161160286152768
181	-0.000208912710914178
212	-0.000244099022488977
153	-0.00028806404655791
31	-0.000356877042546804
162	-0.000375263436263766
79	-0.000428487747782573
77	-0.0006844867077574
72	-0.000687571997189872
92	-0.000737229305721328
109	-0.0012501335238935
58	-0.00133999362811176
165	-0.00187157095595777
