variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_1	8.22393671246819	35957	0.0916209672867558	28.5101384543514	9747	70	0
ASV_10	12.8252962748092	19746	0.0145398208365197	6.88900788659968	8614	0	0
ASV_100	17.3236806310433	10149	0.00391392416067853	2.42010359238625	6387	0	0
ASV_1000	NA	0	0	0	0	0	1
ASV_1001	25.1759618320611	578	0.0002558510031637	1.26553476478468	575	0	1
ASV_1002	26.330392692112	48	6.55684466850605e-08	0.0011444735696423	47	0	1
ASV_1003	26.2667510127226	102	5.23436268856458e-07	0.00564778538704493	102	0	1
ASV_1004	NA	0	0	0	0	0	1
ASV_1005	26.0676961933842	248	-1.44776831578875e-05	0.0396332838789799	246	0	1
ASV_1006	NA	0	0	0	0	0	1
ASV_1007	26.3095772417303	69	8.74561817682325e-08	0.00144644648938271	69	0	1
ASV_1008	26.3590683155216	27	0	0.00304760930197338	27	0	1
ASV_1009	NA	0	0	0	0	0	1
ASV_101	19.6802413638677	7545	0.00119003336608984	1.13812155377311	5319	0	0
ASV_1010	25.7974066463104	341	0.000234086315610891	0.497173826302214	338	0	1
ASV_1011	NA	0	0	0	0	0	1
ASV_1013	NA	0	0	0	0	0	1
ASV_1014	25.9704637048346	315	-1.96589363633845e-05	0.042099546243162	314	0	1
ASV_1015	26.2051346463104	135	1.90762183895244e-06	0.0262214115954671	134	0	1
ASV_1016	NA	0	0	0	0	0	1
ASV_1017	26.2407083664122	114	1.24123396280695e-06	0.00551237214536052	112	0	1
ASV_1018	26.2361833282443	77	-7.39717814768525e-06	0.100349802677474	77	0	1
ASV_1019	25.8415154910941	417	-2.55380796960722e-05	0.123191471136011	412	0	1
ASV_102	26.1836430839695	169	-2.8255881558535e-06	0.018822130557183	168	0	1
ASV_1020	NA	0	0	0	0	0	1
ASV_1021	26.2057980458015	143	6.70791475124939e-09	0.0113347712866628	143	0	1
ASV_1022	NA	0	0	0	0	0	1
ASV_1023	NA	0	0	0	0	0	1
ASV_1024	25.6642054860051	554	7.07099199795861e-05	0.275227035555736	544	0	1
ASV_1025	24.7300919389313	772	0.000454927694418659	2.06927318188873	768	0	1
ASV_1026	26.0981238778626	168	9.13355459961321e-05	0.308494835163158	166	0	1
ASV_1027	NA	0	0	0	0	0	1
ASV_1028	26.0094816284987	296	-5.07030466489171e-06	0.0281843772548932	295	0	1
ASV_1029	26.3725228091603	11	0	0.000473442015015601	11	0	1
ASV_103	16.4841217913486	10798	0.00480078309979284	4.14800311076124	6611	0	0
ASV_1030	26.3003745343511	83	4.76637296040014e-08	0.00320792511384549	83	0	1
ASV_1031	26.156753475827	186	2.06762622869793e-06	0.00670877904655903	184	0	1
ASV_1032	NA	0	0	0	0	0	1
ASV_1033	NA	0	0	0	0	0	1
ASV_1034	26.2808161933842	86	-5.54492623673825e-06	0.0151541461657976	86	0	1
ASV_1035	NA	0	0	0	0	0	1
ASV_1036	25.9364706564885	417	-1.84973650587644e-05	0.030439050526957	407	0	1
ASV_1037	26.2414699033079	104	-6.16078980739486e-06	0.055483073434549	103	0	1
ASV_1038	NA	0	0	0	0	0	1
ASV_1039	26.0978888447837	236	-6.40494007808092e-10	0.0198033945877401	234	0	1
ASV_104	12.2831626361323	21545	0.0102136612788682	6.38220321996008	8884	0	0
ASV_1040	NA	0	0	0	0	0	1
ASV_1041	NA	0	0	0	0	0	1
ASV_1042	25.7129756437659	584	-8.17978563665957e-05	0.0718804597756755	572	0	1
ASV_1044	25.4800604071247	728	1.61304104066451e-05	0.173675340770154	710	0	1
ASV_1045	26.1980099643766	134	-3.83620388999581e-06	0.0154381440692303	134	0	1
ASV_1046	NA	0	0	0	0	0	1
ASV_1047	26.0526149821883	188	-7.62352605442613e-05	0.189812263673152	187	0	1
ASV_1048	25.7868414860051	530	1.07979435843937e-05	0.0469462491634915	521	0	1
ASV_1049	NA	0	0	0	0	0	1
ASV_105	18.6646038778626	6871	0.00149873718508289	4.03268393475145	5026	0	0
ASV_1050	23.895144264631	1270	0.00464772553187693	4.86750107531655	1229	0	1
ASV_1051	NA	0	0	0	0	0	1
ASV_1052	26.3516546463104	24	0	0.00263073032436645	24	0	1
ASV_1053	26.2152370279898	125	-4.5737958555556e-05	0.085199972218486	123	0	1
ASV_1054	NA	0	0	0	0	0	1
ASV_1055	26.1705884274809	149	-2.09616435238041e-05	0.0572386643453297	148	0	1
ASV_1056	26.2762657302799	93	2.4624806812331e-07	0.00929000437616251	93	0	1
ASV_1057	NA	0	0	0	0	0	1
ASV_1058	20.3351709618321	2630	0.0170681324160303	15.9253228099097	2562	0	3.94541031690106e-34
ASV_1059	26.0983517048346	230	1.80235858546833e-05	0.0663113944971909	230	0	1
ASV_106	15.6339581170483	14485	0.010546612783773	4.57868077104774	7660	0	0
ASV_1060	NA	0	0	0	0	0	1
ASV_1061	25.6202256284987	356	0.000368209731578664	1.17506591159234	353	0	1
ASV_1062	26.3639404783715	17	0	0.00154020874045293	17	0	1
ASV_1063	NA	0	0	0	0	0	1
ASV_1064	26.1607786768448	180	2.67583289451255e-06	0.0203871133076925	180	0	1
ASV_1065	26.1272890279898	162	1.05785052195168e-05	0.130154298403376	162	0	1
ASV_1066	26.3451212722646	40	4.75616483955867e-07	0.00197305282950391	40	0	1
ASV_1067	26.1818528040712	123	-1.74205069367716e-05	0.126028437379767	123	0	1
ASV_1068	25.3049991145038	503	0.000783610721488974	1.04260079500854	498	0	1
ASV_1069	NA	0	0	0	0	0	1
ASV_107	14.9995579949109	10252	0.0267472319022084	9.11671130857857	6608	0	0
ASV_1070	25.8445373740458	314	-8.8778445389702e-06	0.286922361367067	312	0	1
ASV_1071	26.2534213231552	122	-5.0987416405196e-06	0.00922341837180697	120	0	1
ASV_1072	24.811001302799	778	0.00171096432018629	2.09836831595924	763	0	1
ASV_1073	NA	0	0	0	0	0	1
ASV_1074	26.1995700152672	159	-1.6155776247288e-05	0.0220123480492113	159	0	1
ASV_1075	26.3082274198473	49	0	0.0164796117426388	49	0	1
ASV_1076	24.2785380356234	936	0.0018113230801744	4.63339563149709	927	0	1
ASV_1077	26.2751624936387	90	-4.95991115116719e-06	0.00587120069760001	90	0	1
ASV_1078	NA	0	0	0	0	0	1
ASV_1079	NA	0	0	0	0	0	1
ASV_108	20.5994476234097	4842	0.000321222047062838	1.20045713460808	3884	0	0
ASV_1080	NA	0	0	0	0	0	1
ASV_1081	25.9070727938931	267	-4.11070014478582e-05	0.221104070782041	267	0	1
ASV_1082	25.1699653536896	870	-3.66531069856109e-05	0.173264429709689	841	0	1
ASV_1083	NA	0	0	0	0	0	1
ASV_1084	26.3416310229008	33	-1.86576997261745e-07	0.00351499861529102	33	0	1
ASV_1085	NA	0	0	0	0	0	1
ASV_1086	NA	0	0	0	0	0	1
ASV_1087	25.2966501984733	884	-0.000155789597651874	0.223273902334665	847	0	1
ASV_1088	26.3615504427481	26	-1.10882428076074e-06	0.00195169762497471	26	0	1
ASV_1089	26.2640156335878	81	1.44755263459605e-05	0.0785891558168887	81	0	1
ASV_109	15.4421870330789	12694	0.00549992640163396	4.33833638357266	7221	0	0
ASV_1090	26.0637200610687	248	3.59420261416606e-05	0.097357482622104	241	0	1
ASV_1091	25.4843225038168	763	7.57716829914983e-05	0.125579202664701	731	0	1
ASV_1092	25.9514209363868	327	4.24740091013863e-05	0.144259277970779	322	0	1
ASV_1093	NA	0	0	0	0	0	1
ASV_1095	26.3798443867684	6	0	0.000190760869955791	6	0	1
ASV_1096	26.2158737608143	114	2.49657891439906e-05	0.0646668422955682	112	0	1
ASV_1097	26.3445663206107	36	-2.76367543160057e-07	0.00101155976755885	36	0	1
ASV_1098	26.195088	145	-5.70886847860545e-06	0.0161691750995368	141	0	1
ASV_1099	26.2085424936387	125	-1.8574633442346e-05	0.0316274887020643	125	0	1
ASV_11	13.3103713791349	19242	0.0133330450967019	7.2125031393209	8573	28	0
ASV_110	13.3067095776081	17577	0.00291777336203349	3.52913361828872	8361	0	0
ASV_1101	26.0928034300254	255	-8.56871188113278e-06	0.0187660880987704	252	0	1
ASV_1102	NA	0	0	0	0	0	1
ASV_1103	NA	0	0	0	0	0	1
ASV_1104	25.0872124580153	968	-0.000196326607919467	0.323777654026813	929	0	1
ASV_1105	26.3146499440204	72	-4.6055838349706e-06	0.0127907679376823	72	0	1
ASV_1106	NA	0	0	0	0	0	1
ASV_1107	NA	0	0	0	0	0	1
ASV_1108	24.5945340763359	1011	-9.60458680088721e-06	0.680109059302541	1008	0	1
ASV_1109	25.7840164173028	457	-2.41898607540365e-05	0.0612398277804203	448	0	1
ASV_111	26.1708307480916	116	5.93188711892227e-06	0.0332156258904138	116	0	1
ASV_1110	26.1946251399491	146	4.52221842000235e-06	0.0535107917091598	145	0	1
ASV_1111	26.281945475827	78	-6.56094997443306e-07	0.00715200212059367	78	0	1
ASV_1112	NA	0	0	0	0	0	1
ASV_1113	26.2306883867684	140	-4.97612327014783e-07	0.0121028684577819	139	0	1
ASV_1114	26.3397365597964	32	0	0.00167226903974575	32	0	1
ASV_1115	23.6977705750636	1228	0.00308692941250346	4.98373845923766	1214	0	1
ASV_1116	26.3160712366412	54	-1.49927310502567e-07	0.00257353502768406	54	0	1
ASV_1117	26.2637042442748	107	-2.01220101352858e-06	0.020421409456853	107	0	1
ASV_1118	26.2160215877863	117	-3.28040307455234e-06	0.0130180568810677	116	0	1
ASV_1119	26.3235963765903	49	5.8651225277763e-07	0.000360656127421939	49	0	1
ASV_112	11.6732394707379	19540	0.0373005327636473	11.3782538491431	8663	0	0
ASV_1120	26.1727809465649	113	-7.77299006692423e-06	0.244096032698351	113	0	1
ASV_1121	NA	0	0	0	0	0	1
ASV_1122	26.3744499847328	6	0	0.00891825173037371	6	0	1
ASV_1123	NA	0	0	0	0	0	1
ASV_1124	26.3148365292621	44	0	0.0116554341580495	44	0	1
ASV_1125	26.1766989414758	170	-3.29247239711534e-06	0.0120374072460895	166	0	1
ASV_1126	26.2254011908397	83	2.27432895509477e-05	0.0974787439035596	82	0	1
ASV_1127	NA	0	0	0	0	0	1
ASV_1128	NA	0	0	0	0	0	1
ASV_1129	NA	0	0	0	0	0	1
ASV_113	17.9123373333333	9322	0.0022728173198801	2.25708826538546	6078	0	0
ASV_1130	26.1755060152672	111	0	0.151028091296158	111	0	1
ASV_1131	25.88495356743	274	-7.69556390438806e-07	0.287785718656618	273	0	1
ASV_1132	26.2962966208651	78	-1.37486872037845e-06	0.00580249662192645	78	0	1
ASV_1133	NA	0	0	0	0	0	1
ASV_1134	25.9175054045802	359	3.50569748146154e-06	0.0370786923136185	351	0	1
ASV_1135	NA	0	0	0	0	0	1
