variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
1	8.9175449594554	39920	0.0230313712382948	11.2018308288613	9812	14	0
100	12.1353288617479	22461	0.00881014556790861	6.31238258738932	8989	0	2.83551677091266e-99
101	14.499959495445	9232	0.00254822945716141	8.27775879936519	6226	0	1
102	16.8634319951947	6398	0.010552400423028	4.11664947083181	4780	0	1
103	23.247501651817	59	0	0.00236663798203256	59	0	1
104	11.6174598458304	16531	0.00992361577820533	9.17866100315882	8181	0	1
105	12.784547922715	20192	0.00799756146038894	5.73908372753799	8715	0	6.32073750705304e-08
107	8.95727812593853	29835	0.00974941028630078	9.01276923223287	9525	1	0
108	6.85693306637301	43928	0.0451331287136776	26.6961334424872	9871	0	0
109	19.365660346381	3767	-0.000291305053832752	0.892580668538885	3175	0	1
11	20.5610802482731	1926	0.00249684036730178	3.18431690772896	1782	0	1
110	10.8398779457403	25715	0.0126640364504672	7.74020588718997	9213	0	0
111	7.62096912603864	48656	0.0598678001289481	20.1251989960457	9932	10	0
112	19.1692902592852	4929	0.000153344017368146	1.38606227229857	3951	0	1
113	14.2678679947943	10791	0.00264794733487082	4.61873279348724	6616	0	1
115	7.85382106316949	48158	0.0155005792592911	15.7093304838682	9922	0	0
119	5.63320796876564	48346	0.174480108373621	102.421185472899	9921	711	0
12	7.88347334067474	49853	0.0146563777782325	14.8523002263356	9945	6	0
120	11.0294689758735	28368	0.0204569392725211	8.39650879397992	9457	0	0
121	NA	0	0	0	0	0	1
122	6.42698720592652	34214	0.0609565846092122	30.6420544846587	9745	0	0
123	11.2152601261388	24047	0.00942374026462623	7.51229380162196	9116	0	4.05488757931896e-223
125	13.9217914105516	12949	0.00951968927110009	7.860313314375	7221	0	1
127	10.6743434978476	20319	0.00861758798929545	7.38929210304237	8755	0	3.09979967148816e-10
129	17.8262799479427	7358	0.00044611345267423	1.57049698752403	5301	0	1
130	16.4177440584643	6659	0.00280867431938827	5.98824748672348	4976	0	1
133	13.5306617078787	11553	0.00128020952244942	4.44063309911859	7008	0	1
136	16.4612676944639	9468	-0.00068102503287026	2.6435604784534	6204	0	1
137	9.38232547802583	34832	0.0130060613846079	13.1069736204192	9715	6	0
138	11.4305953949344	19599	0.0202907815962737	10.6393809987405	8636	0	0.146782765765229
139	11.7345382320553	16331	0.00880684536707166	6.04657232581681	8061	0	1
14	9.96812607868655	24743	0.0138563302626338	9.52900876331461	9206	0	4.35082587899117e-292
141	6.45308060866954	34789	0.089758433600395	28.2103183935085	9780	0	0
142	13.1839625387927	15381	0.00443988336925595	7.95040425986548	7918	0	1
143	12.9156345780358	16262	0.000436351175252356	7.93737797137044	8078	0	1
145	8.93941898087897	28685	0.0220213038423977	14.892060579248	9550	0	0
146	7.6574628891781	45009	0.0307550460091827	16.6499411238449	9893	4	0
147	10.2542254279708	18677	0.0127810011712623	13.1199002829506	8598	0	0.99999999031388
148	5.15419078986886	58710	0.18223559340674	100.855630417252	9968	700	0
149	17.9539711883071	5341	-0.000179017984831072	2.3645675112179	4160	0	1
15	13.2939488637501	12258	0.00405575345263829	9.86436671450696	7145	0	1
151	6.77066605265792	57802	0.0200900471046035	21.1977073003029	9985	0	0
153	19.9508008809691	3165	-0.000327900172429541	1.08588645337018	2739	0	1
155	5.54837935729302	54276	0.219293701266707	133.417396046098	9956	1120	0
158	12.3561381719892	14716	0.0169821389544066	9.90175884709207	7790	0	1
159	15.0505321253379	13910	0.00416340601675173	2.80628751528156	7576	0	1
16	7.59500276303934	39509	0.0143720947556752	16.956438760005	9842	1	0
160	18.0017952748023	6614	0.000907860019995613	2.10518305370828	4854	0	1
161	3.60092723996396	60635	0.570446042541399	320.74568698881	9980	2619	0
162	16.8741681249374	4887	-0.00250260243987048	5.68567934489903	4076	0	1
165	13.5906357993793	14329	0.00433589959010274	6.78297443326791	7694	0	1
166	18.5814360196216	5318	0.000494682736556829	1.7612705844067	4171	0	1
167	19.8061547302032	2997	4.11671333758387e-05	2.10551302581369	2627	0	1
169	17.3080516368005	6512	0.00174047210108283	3.7271881882542	4948	0	1
17	19.9835056762439	2485	0.0026404395266958	3.14153816614266	2260	0	1
170	7.75240951046151	48584	0.0405311218677931	22.7718801080982	9922	85	0
171	16.7205028130944	9073	0.00917978709486106	3.33006420471813	5942	0	1
172	23.1461546901592	165	-1.86700799549574e-06	0.0186026456718344	165	0	1
173	21.5344969466413	1565	5.14534217878481e-05	0.361647409409665	1439	0	1
175	22.0683937130844	1086	0.000285184347929928	0.333575401558615	1033	0	1
176	20.0377390529583	3008	0.000784538588591191	1.23669361216961	2626	0	1
177	6.1028809089999	49356	0.122434686149367	48.2154826258357	9936	232	0
179	8.31674914405846	33386	0.0223534711501274	17.1750785238935	9705	0	0
18	10.8995197116829	16178	0.00134091974714745	10.1466145613798	8061	0	1
180	16.5693936930624	9620	0.0030361904658349	2.95256499480825	6197	0	1
181	22.0797845229753	1360	-0.000116895190993018	0.258517085717078	1267	0	1
185	9.3158440484533	23081	0.0248824090206289	14.8078074788528	9100	0	4.7898363048499e-142
187	6.44819453398739	50810	0.0199306921599679	22.3095464839602	9945	0	0
19	14.2227897887676	15712	0.000444027824542947	4.70933295553896	7905	0	1
190	18.9350559215137	5398	5.33343311747544e-05	0.939365720172539	4197	0	1
195	16.9371893683051	5013	0.00743910035054813	8.58881287404799	4152	0	1
199	6.15532581840024	61245	0.0347075826711294	34.9896809902877	9977	99	0
2	5.70539004905396	58393	0.078763439012196	55.9377070038243	9975	304	0
20	15.8563525077585	10008	0.000145446666557355	3.92380852155279	6395	0	1
202	10.7214459705676	25788	0.00207614878806907	6.91859966924807	9328	0	0
21	11.6359465812394	16527	0.00854121823114126	8.51325277787231	8101	0	1
210	22.3954943638002	1083	8.30279623954428e-06	0.0974473655424726	1035	0	1
212	16.7614531584743	5772	0.0017009408203582	4.6037141887436	4407	0	1
214	19.7799162078286	3699	0.00160303293854404	1.59930321862154	3104	0	1
216	9.92302034237661	23954	0.00488753092276591	6.67237334735631	9120	0	1.45220104395292e-214
217	17.1747790169186	8523	0.000246612849397212	1.62311256633112	5767	0	1
22	8.30062318550405	32313	0.00477806967788368	11.9545258651058	9614	0	0
222	15.5044305335869	11123	0.00113078850247323	2.80539340304867	6812	0	1
23	10.3619662829112	20152	0.0117450654348419	9.99637933944494	8675	0	2.87091089049919e-07
24	6.84261848032836	54130	0.0247300019243951	21.9611847656251	9969	0	0
26	16.4940830713785	7820	-0.000554504999922375	3.2985336571605	5488	0	1
28	12.1171597357093	18067	0.00923556962085379	9.41834869891405	8372	0	1
29	9.15126837521273	24905	0.0107740691091835	10.1596395928231	9208	0	2.22753073217731e-309
3	8.880570247272	26689	0.0182518776410172	12.963430503172	9350	4	0
30	11.9583060166183	12557	0.00766436608357588	16.1714106369055	7303	0	1
31	15.2476351987186	9838	-0.000828921251572818	4.47254490600661	6329	0	1
33	14.5774813895285	12980	0.00768184199523046	4.77874206834961	7337	0	1
35	18.8611684853339	4728	0.000326557818829951	2.50123947728897	3849	0	1
36	3.55151372509761	63253	0.548775839886166	321.74357601552	9982	2601	0
37	21.0346119531485	1457	-9.64813037358203e-05	2.3054926782046	1403	0	1
4	16.5740944839323	9672	0.00138206874642354	2.31846517350923	6258	0	1
40	9.55588333166483	27455	0.013200735858485	8.9958269797658	9422	0	0
41	10.9273129242166	17821	0.0110847027578622	8.64353102738919	8353	0	1
42	7.58713110421464	33319	0.0438698473893704	23.4529815337139	9692	0	0
43	6.34544352788067	48710	0.0773392928166158	44.1563911582888	9926	258	0
44	15.0519716087696	12434	0.00191917754824197	3.26829186851915	7071	0	1
45	12.4351833016318	12679	0.0439715125987994	13.5725346576558	7619	0	1
46	10.9577731504655	17915	0.00116323740520407	9.10346130877982	8369	0	1
47	6.79711632796076	56743	0.048358459469904	36.3740710272246	9964	177	0
48	8.2568737210932	30807	0.0289695029584005	14.8806286982783	9587	1	0
49	6.94717889678646	40928	0.0479271954816923	21.1012103250168	9839	7	0
