variable	mse_increase
161	0.570446042541399
36	0.548775839886166
155	0.219293701266707
148	0.18223559340674
119	0.174480108373621
177	0.122434686149367
84	0.122097254484475
7	0.0968333706120545
141	0.089758433600395
2	0.078763439012196
43	0.0773392928166158
122	0.0609565846092122
111	0.0598678001289481
47	0.048358459469904
49	0.0479271954816923
counts	0.0460430367239477
108	0.0451331287136776
45	0.0439715125987994
42	0.0438698473893704
170	0.0405311218677931
199	0.0347075826711294
56	0.0345041517121415
146	0.0307550460091827
48	0.0289695029584005
74	0.025717289227768
185	0.0248824090206289
24	0.0247300019243951
1	0.0230313712382948
179	0.0223534711501274
145	0.0220213038423977
120	0.0204569392725211
138	0.0202907815962737
151	0.0200900471046035
187	0.0199306921599679
3	0.0182518776410172
59	0.0176680186029514
5	0.0173166106302668
158	0.0169821389544066
115	0.0155005792592911
12	0.0146563777782325
16	0.0143720947556752
93	0.0142409730235555
14	0.0138563302626338
40	0.013200735858485
137	0.0130060613846079
147	0.0127810011712623
110	0.0126640364504672
81	0.0119553948152497
23	0.0117450654348419
41	0.0110847027578622
29	0.0107740691091835
8	0.0105917148024034
102	0.010552400423028
104	0.00992361577820533
107	0.00974941028630078
6	0.00965455860439475
125	0.00951968927110009
123	0.00942374026462623
28	0.00923556962085379
171	0.00917978709486106
69	0.00903689090432319
100	0.00881014556790861
139	0.00880684536707166
127	0.00861758798929545
21	0.00854121823114126
63	0.00828532461356963
105	0.00799756146038894
88	0.00778714215765733
33	0.00768184199523046
30	0.00766436608357588
195	0.00743910035054813
76	0.00643155209324994
52	0.00635358228252536
79	0.00610238533365719
70	0.0055513588989523
82	0.00548386146255333
216	0.00488753092276591
22	0.00477806967788368
142	0.00443988336925595
165	0.00433589959010274
159	0.00416340601675173
15	0.00405575345263829
66	0.00319708967005334
180	0.0030361904658349
61	0.00300194893003519
130	0.00280867431938827
113	0.00264794733487082
17	0.0026404395266958
98	0.00254935951259947
101	0.00254822945716141
11	0.00249684036730178
87	0.00227600674971892
89	0.00220159183531041
202	0.00207614878806907
44	0.00191917754824197
57	0.00188414084861598
67	0.00186302768812792
53	0.00181824047825962
86	0.00175942982279203
169	0.00174047210108283
212	0.0017009408203582
214	0.00160303293854404
80	0.00148615737394518
4	0.00138206874642354
18	0.00134091974714745
133	0.00128020952244942
71	0.00120231123564205
46	0.00116323740520407
96	0.00114261534155546
222	0.00113078850247323
83	0.00111156402373493
54	0.00106017031886632
9	0.00103941927207851
160	0.000907860019995613
176	0.000784538588591191
60	0.000702042195559769
51	0.000700783523140325
97	0.0006643209362851
99	0.000622114958476607
73	0.000548923148531738
166	0.000494682736556829
129	0.00044611345267423
19	0.000444027824542947
143	0.000436351175252356
35	0.000326557818829951
62	0.000307606089204051
175	0.000285184347929928
217	0.000246612849397212
112	0.000153344017368146
20	0.000145446666557355
92	0.000129150878939032
190	5.33343311747544e-05
173	5.14534217878481e-05
167	4.11671333758387e-05
85	1.17753933648887e-05
210	8.30279623954428e-06
94	4.8390530306129e-06
64	4.04564677462997e-06
103	0
121	0
72	-7.49356152874842e-07
50	-1.56304832948827e-06
172	-1.86700799549574e-06
37	-9.64813037358203e-05
181	-0.000116895190993018
95	-0.000167228109671186
149	-0.000179017984831072
68	-0.000237140798989912
77	-0.000267741535178697
109	-0.000291305053832752
153	-0.000327900172429541
90	-0.000391283030666793
26	-0.000554504999922375
55	-0.000629157165328964
136	-0.00068102503287026
31	-0.000828921251572818
58	-0.00235994757248624
162	-0.00250260243987048
