variable	mse_increase
137	0.277353640128364
counts	0.161440193876968
37	0.15900234499919
59	0.132953451195271
125	0.132815764652168
120	0.130935911280482
138	0.111829500286676
119	0.0608217344627448
165	0.0601392030926165
66	0.0543954634368058
160	0.0471923977484927
7	0.0432727248025446
104	0.0420769569740333
86	0.0392453829591137
48	0.0388238090408382
51	0.0371516061820899
36	0.0354307040897
45	0.0347177192957385
111	0.0343944379852925
173	0.0321817750814426
214	0.0311353944450477
49	0.0301492464228594
122	0.0287651274302445
20	0.0273009978162825
1	0.0272785765629789
23	0.0266435254373076
212	0.0264105647690251
41	0.0256520271727215
53	0.0255755307685026
57	0.0255501458293612
80	0.0253503381184755
143	0.0215209908314501
149	0.0214443727463101
90	0.0211454373469897
18	0.0205347618429999
5	0.0199452102719657
179	0.0198919864120608
14	0.0190704377502917
169	0.0187476332868823
58	0.0183412647363224
74	0.018128777462076
153	0.0177796110222303
155	0.017370459966908
16	0.0170690952268921
92	0.0163711634185029
29	0.014999382242841
26	0.0145314594813352
83	0.0143849272171183
176	0.0138627396489237
89	0.0135014870826595
97	0.0131374916166165
98	0.012849389582986
130	0.0123090269679341
21	0.0121707675567144
56	0.0121451467719008
147	0.0118754311559169
77	0.011803871718521
70	0.0113990724724885
88	0.0106236467581831
3	0.0103530464845071
87	0.00991410264521406
40	0.00979315361930318
100	0.00955505790933524
129	0.00933727952889726
68	0.00908602769130561
93	0.00901160970807313
35	0.00890237075779044
99	0.00886407691154091
175	0.00867432222449224
142	0.00834759224972353
113	0.0082587733445635
162	0.0081571307735928
139	0.00805396904431255
72	0.00797384162124005
161	0.00794209075452602
121	0.00745166605905538
177	0.00743957703138673
24	0.00667901250783143
202	0.00645472704240864
44	0.00611711170775086
6	0.00567245693754977
31	0.0053815058493196
141	0.0049132521065146
8	0.0048929062597945
180	0.00479946339972992
172	0.00467777203804405
102	0.00457639173933685
96	0.00442297660174587
54	0.00425883989121727
43	0.00400900465106661
146	0.00397262395195195
81	0.00377794511289935
103	0.00357716584694912
167	0.00311353053211051
133	0.00310147431430373
82	0.00300675205478043
216	0.00299446055493617
210	0.00296471941951609
95	0.00276614291012888
52	0.00274739056901869
166	0.00272005027624267
190	0.00248805366125007
73	0.00241080055981873
4	0.00239322515961161
195	0.0023635349354051
60	0.00219467535657701
46	0.00216475708369374
63	0.00216396191811865
71	0.00211891677015107
94	0.00211295193565971
30	0.00205593560932431
110	0.00205493094578929
33	0.00192211084662141
148	0.0017881779470694
12	0.00161746865658664
151	0.00161205243606612
159	0.00157016004896641
109	0.0013416827145343
108	0.00133679004163792
55	0.000949533281899119
50	0.000914349712788258
19	0.000732384497148969
47	0.000696932917209357
112	0.000644946906925645
107	0.000640048739799463
64	0.000629156511310744
123	0.000593121167075557
84	0.000513222299657612
67	0.000453384794421025
11	0.000449769244892702
61	0.000428319226312644
158	0.000390994626741978
217	0.00037284307112976
115	0.000354765054140822
187	0.000295791738710262
9	0.000241609005327646
2	0.000237180070747651
105	0.000201902325424446
22	0.000187391092476912
199	0.000186476362816719
69	0.000180984957478573
17	0.0001470952802412
76	0.000136947716266614
85	0.00010219126482948
224	7.00588341780965e-05
42	5.61151306005232e-09
79	-8.37547579974863e-06
185	-1.43481551174933e-05
127	-4.12859872100908e-05
222	-6.45019176808856e-05
28	-7.65478588185022e-05
181	-8.80292832538731e-05
101	-0.000108704738346725
171	-0.000210815855183669
136	-0.000233299771753243
145	-0.000281744126281536
62	-0.000453955871125862
15	-0.000630223505046348
170	-0.00126201033611984
