variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
1	7.81770083501006	35043	0.0292838714895822	20.139734895337	9709	0	0
100	13.7086425855131	11887	0.00203859566945927	8.30634482068017	7139	0	1
101	20.78276222334	1646	5.20913413697706e-05	0.600428244735934	1535	0	1
102	9.27926580482897	29095	0.00807832938475114	10.2181166866261	9463	0	0
103	18.4765169617706	4519	0.0015742052680149	2.41527772439817	3658	0	1
104	7.00462405432596	45212	0.0297488231403943	21.914611396047	9893	0	0
105	19.44549638833	3040	0.000461151401083881	1.18353898290837	2623	0	1
107	18.9507767706237	4192	0.000202407985689914	0.877772325913563	3433	0	1
108	19.6603175754527	3564	0.000138848956553474	0.546238597432762	3061	0	1
109	17.9102277364185	5884	0.000298293703404734	1.06759058078193	4471	0	1
11	17.9335648390342	4539	0.00034412300510402	2.6320566979214	3675	0	1
110	17.7632217002012	3835	3.91949451945777e-05	5.70121920313529	3271	0	1
111	6.86308420523139	41366	0.108732391285675	56.5893315455407	9850	375	0
112	20.0752436720322	2302	0.00021654414905843	1.22458034141877	2063	0	1
113	16.7621496076459	5638	0.004421694972863	4.75424405274172	4413	0	1
115	17.7586239235412	5625	0.000486739518871737	1.77184277865521	4274	0	1
119	7.32007382293763	39918	0.0382676082350746	25.616132448439	9834	44	0
12	14.352012082495	12490	0.00342146472491578	4.06222744734924	7203	0	1
120	4.02007944668008	37045	0.794047008998851	347.562031619393	9851	3024	0
121	17.0239277665996	5740	0.00409493208535623	3.15334458850519	4400	0	1
122	9.0861679778672	28625	0.0200122333605281	12.7776299917255	9451	0	0
123	15.2855726760563	8819	0.00327671533550237	5.66141829039958	5952	0	1
125	7.11482662977867	33217	0.127028022728338	30.5158314463443	9661	61	0
127	21.3828494869215	830	-0.000690326464081864	0.889228594697876	797	0	1
129	11.0805143661972	19324	0.00373797429573271	6.95081485114734	8604	0	0.100344240119793
130	12.0311713983903	15264	0.00429131082083836	8.26992419105245	7871	0	1
133	13.973239778672	11646	0.00143416514719039	3.32159858750524	6882	0	1
136	18.5399213581489	3539	-0.000423293117050013	3.8165970206915	3069	0	1
137	5.87353095573441	45213	0.179381774005532	67.6456201140801	9891	429	0
138	8.02481939637827	31847	0.0886201850932883	17.0897796188578	9564	0	0
139	11.0703726257545	16419	0.0114932291093809	8.74838892494751	8197	0	1
14	8.85179697183099	35916	0.0105985562468668	10.8025320690266	9737	0	0
141	17.0584625251509	5011	0.000106740923917206	3.26484168513493	3965	0	1
142	9.16413280684105	32019	0.0101857722401397	9.58978275402138	9603	0	0
143	4.92932266599598	48614	0.0636905196319401	50.731375534876	9939	0	0
145	16.5853947384306	7311	0.000297259476555864	3.50661405214074	5271	0	1
146	13.3626293863179	11700	0.0100615605124254	6.24218879951386	6883	0	1
147	10.4423499396378	18928	0.0181994677941966	10.575973757258	8532	0	0.944349702453853
148	12.1656170925553	16368	0.00595614346482481	6.53954422158202	8097	0	1
149	7.04459945674044	42424	0.0559947721234463	28.872385318723	9858	80	0
15	18.0095320020121	5819	-0.000358792472292334	1.55905980133525	4443	0	1
151	14.9457460261569	10985	0.00336427447070502	3.21967897836622	6705	0	1
153	9.71945112676056	24572	0.0112128530162512	10.8307783043453	9186	0	7.18125204317328e-311
155	6.76782286720322	45144	0.022490024292416	23.8839691833199	9899	0	0
158	17.8016373943662	5156	5.30165500194056e-05	1.56373515748093	4031	0	1
159	14.9356086619718	7974	0.00153682247383823	7.44038911457067	5703	0	1
16	7.35370928571429	41137	0.00906638880652368	15.6880531310183	9829	0	0
160	11.770238501006	15409	0.00950470806117166	6.2635253135022	7881	0	1
161	9.6683839637827	24634	0.0113714798753932	9.07073246739137	9198	0	1.12735009749893e-317
162	13.4790037726358	13297	0.00318313301567279	3.33173531932771	7365	0	1
165	7.06582406438632	36945	0.133634757611729	67.2115041648943	9796	508	0
166	14.902891639839	11192	0.00259649806717252	3.34978376580108	6767	0	1
167	19.2495945975855	3303	0.00147416325416225	2.02992208280595	2829	0	1
169	9.59889020120724	26952	0.00278113181112023	7.86117456194006	9358	0	0
17	10.938064305835	19730	0.000687905304932681	10.6450221699146	8636	0	1.31176495723274e-05
170	16.9025328269618	6127	0.00122772994576577	1.78056607750776	4609	0	1
171	13.6715871529175	10659	0.0123710400645272	7.04804665656169	6609	0	1
172	14.8707881690141	9951	0.00814293620712071	5.97518829589148	6412	0	1
173	9.56647131790744	27899	0.0158132777103858	12.4646148885691	9427	2	0
175	12.9040832193159	17434	0.00674801388067535	4.36035064029778	8276	0	1
176	11.4985175653924	15061	0.00433801612455959	11.395952991659	7838	0	1
177	8.84293642857143	32508	0.0196952078947035	12.3944881349525	9643	0	0
179	13.2225285311871	13052	0.00111642950833105	5.39040559621549	7308	0	1
18	9.62634554325956	27484	0.00616277757760985	10.2891939008035	9401	0	0
180	14.039654195171	11523	0.00157883237379955	3.70580685669071	6841	0	1
181	21.2672735311871	1098	5.31438961338636e-05	0.251544695695005	1047	0	1
185	16.1875017907445	7233	0.00133537385343276	2.15139448567363	5254	0	1
187	19.5328572736419	2644	-0.00049225920956983	1.5406531730135	2359	0	1
19	17.2536030784708	5662	0.00102154126769194	2.76945011666459	4338	0	1
190	17.0459208148893	5189	-0.000202076791462137	3.34806852044239	4067	0	1
195	15.4423660462777	10762	0.00163611019342128	2.68482482615271	6595	0	1
199	18.8217549597586	4251	-0.000313119636113086	1.21183846875837	3449	0	1
2	17.5423641046278	6617	0.000426483675882625	1.54860523743249	4836	0	1
20	8.38386607645875	34715	0.0107558921663827	14.2347281126963	9684	0	0
202	14.1132454325956	10826	0.00186067608318168	4.0104656694896	6688	0	1
21	9.77542154929577	24598	0.0112133086222456	11.9601533384237	9166	0	1.02606044886605e-313
210	11.6301356237425	18485	0.0104012435452685	7.32537509503717	8443	0	0.999999313479162
212	8.40462331991952	34980	0.00798788915961268	11.8915928700486	9694	0	0
214	9.19700971830986	27785	0.0154066407745394	11.7319638283212	9398	0	0
216	14.6607505231388	9766	0.00646152399208119	7.7341127310857	6266	0	1
217	20.1615033199195	2251	-0.000576355236985991	1.31650402586032	2030	0	1
22	7.5166861971831	41301	0.0212925011301315	16.0876046686849	9844	1	0
222	20.8415063581489	1566	0.000239880436195801	0.707175166084701	1456	0	1
224	20.8310705231388	1936	7.43254545627591e-06	0.267997358927394	1770	0	1
23	7.0057964889336	45100	0.0227806575197872	20.8399130803279	9913	0	0
24	11.5383579275654	9351	0.0188603542383055	25.4018732342537	6554	0	1
26	7.20927751509054	31341	0.0458224179827085	30.1617047116283	9595	0	0
28	12.5381648792757	10987	0.0301926604685191	13.8447314719582	6847	0	1
29	8.30866242454728	37631	0.00778297770826392	11.5119759223442	9775	0	0
3	7.19583864185111	43419	0.00900776790306949	18.007817109925	9883	0	0
30	18.0513238229376	4368	0.00270438611829293	3.3678879522273	3584	0	1
31	7.83261542253521	41743	0.0114255312846278	13.5761532989024	9839	0	0
33	18.8086915593561	4154	-0.000383543118826836	1.34950326457109	3423	0	1
35	12.484331498994	15135	0.00937731168703286	7.52272831495587	7853	0	1
36	6.25312911468813	43578	0.104836188457591	36.0731667349561	9882	49	0
37	5.01230845070423	47613	0.164358006867645	126.946882405042	9920	977	0
4	14.9563975855131	11532	0.00036838835730022	2.95921310726773	6900	0	1
40	7.0900092555332	43793	0.0186263932595576	19.9452881434604	9900	0	0
41	6.99121649899396	46019	0.0512791099360442	23.5746079330541	9900	26	0
42	22.1641124044266	242	-4.53699373529986e-06	0.116431228064694	239	0	1
43	13.9431300402414	9252	0.00277327419625841	7.34059709443852	6078	0	1
44	9.87740050301811	27188	0.00549426460462135	8.01090384150989	9370	0	0
45	9.86873947686117	23659	0.00894001715930952	9.06266459447673	9092	0	1.08801965533785e-218
46	10.7326729879276	20258	0.00404196538602338	7.16292990461107	8725	0	7.48254344852531e-16
47	15.9394305734406	6510	0.0130275541835862	8.90480898027159	4877	0	1
48	7.37034942655936	33757	0.0317998103522153	21.8292458833365	9719	0	0
49	8.35108436619718	33907	0.0413900993225162	16.2512197749185	9658	0	0
5	9.66224692152917	27683	0.0179935079743112	13.3411581752737	9412	1	0
50	14.7343352917505	9029	-3.48356573039799e-05	6.67251484995599	6004	0	1
51	6.85425836016097	40801	0.0391415518245685	41.8336648308375	9843	233	0
52	17.3910054627767	4929	0.00860999935779042	4.44614490114784	3949	0	1
53	8.21854620724346	31880	0.0562755836114844	16.8481125976502	9599	0	0
54	15.1618323541247	8407	0.000575864390496596	3.38307625747074	5708	0	1
55	17.5046020221328	4788	0.00158507710066879	4.51218226063256	3923	0	1
56	10.3659682293763	17780	0.0300229230809646	15.1098111108863	8586	0	1
57	8.13086961770624	34019	0.0648810794797122	79.9446276041049	9660	773	0
58	6.43195449698189	38977	0.198867883208111	191.096302152639	9791	1831	0
59	5.42046583501006	44847	0.14218519745135	153.896933571172	9892	1372	0
6	10.5009137424547	25183	0.00349694357395387	6.68165225454281	9178	0	0
60	12.1181529879276	15849	0.00159649959877774	6.87053990790745	7981	0	1
61	18.0432274547284	4520	0.00233224425470069	3.57770259778124	3707	0	1
62	14.8144852816901	9198	0.00205137614258476	3.81384084576655	6071	0	1
63	13.2395378571429	13798	0.000354881801236608	4.37880300255404	7509	0	1
64	9.91096252515091	28687	0.0116512464845387	8.00340984104465	9465	0	0
66	6.03604528169014	45001	0.103040967306432	33.5218874330129	9903	15	0
67	14.5610095472837	11167	0.000700101452736317	3.84321657371013	6727	0	1
68	15.1719534406439	6861	0.0158273754578799	7.66239381014432	5176	0	1
69	19.6260581287726	3230	0.000155538352002651	0.830632018268886	2754	0	1
7	7.77973272635815	38959	0.0345029927580972	17.1022022741233	9819	13	0
70	7.64521623742455	42114	0.00654896885710911	15.4656589506297	9862	0	0
71	16.3235179979879	7114	0.000986295256890811	2.69611875907878	5147	0	1
72	10.4043072132797	22625	0.00243136836069021	7.20752028568769	8971	0	6.25966311648593e-133
73	14.7326547283702	10047	0.000494416354214387	3.55147425266294	6380	0	1
74	7.9442094668008	32611	0.0229037906912183	17.8793095127296	9663	0	0
76	19.7864254124748	2681	0.000731456197350424	1.14977397063707	2358	0	1
77	18.8199847484909	3880	0.00115227408435269	1.54558910495576	3232	0	1
79	22.1988591750503	267	-5.31076714571373e-05	0.114040697895738	266	0	1
8	10.9854108249497	20993	0.00220573290201608	6.79630849082894	8808	0	6.04220923961858e-40
80	7.14042398390342	38928	0.0518318329705194	22.2309903419862	9812	2	0
81	14.0820807344064	8670	0.010943415187591	8.66896050283242	5915	0	1
82	17.5850818309859	5387	0.00169862211365981	1.95815229238503	4182	0	1
83	10.5707630181087	21844	0.0116098130300905	7.42522113401442	8912	0	8.65715226052607e-82
84	20.2975734507042	1695	-0.000446059381258155	1.56569490599859	1603	0	1
85	20.7023227364185	1492	0.000105434194395948	1.19097952958074	1380	0	1
