variable	node_purity_increase
120	347.562031619393
58	191.096302152639
59	153.896933571172
37	126.946882405042
57	79.9446276041049
137	67.6456201140801
165	67.2115041648943
111	56.5893315455407
143	50.731375534876
51	41.8336648308375
36	36.0731667349561
66	33.5218874330129
counts	32.201057931568
89	31.1294501800439
125	30.5158314463443
26	30.1617047116283
149	28.872385318723
86	25.8372136552598
119	25.616132448439
24	25.4018732342537
155	23.8839691833199
41	23.5746079330541
80	22.2309903419862
104	21.914611396047
48	21.8292458833365
23	20.8399130803279
1	20.139734895337
40	19.9452881434604
3	18.007817109925
74	17.8793095127296
7	17.1022022741233
138	17.0897796188578
53	16.8481125976502
49	16.2512197749185
22	16.0876046686849
16	15.6880531310183
70	15.4656589506297
56	15.1098111108863
20	14.2347281126963
28	13.8447314719582
31	13.5761532989024
5	13.3411581752737
93	13.1193722014584
122	12.7776299917255
173	12.4646148885691
177	12.3944881349525
21	11.9601533384237
212	11.8915928700486
214	11.7319638283212
29	11.5119759223442
176	11.395952991659
153	10.8307783043453
14	10.8025320690266
17	10.6450221699146
147	10.575973757258
18	10.2891939008035
102	10.2181166866261
90	10.0336413624669
98	9.84663224826636
142	9.58978275402138
92	9.24993913505224
161	9.07073246739137
45	9.06266459447673
47	8.90480898027159
139	8.74838892494751
81	8.66896050283242
100	8.30634482068017
130	8.26992419105245
44	8.01090384150989
64	8.00340984104465
169	7.86117456194006
216	7.7341127310857
68	7.66239381014432
35	7.52272831495587
99	7.51629919807788
159	7.44038911457067
83	7.42522113401442
43	7.34059709443852
210	7.32537509503717
72	7.20752028568769
46	7.16292990461107
171	7.04804665656169
129	6.95081485114734
60	6.87053990790745
8	6.79630849082894
6	6.68165225454281
50	6.67251484995599
148	6.53954422158202
95	6.42723252842083
160	6.2635253135022
146	6.24218879951386
87	6.01460743982371
172	5.97518829589148
110	5.70121920313529
123	5.66141829039958
179	5.39040559621549
88	4.9786626569252
94	4.76360179691735
113	4.75424405274172
55	4.51218226063256
52	4.44614490114784
63	4.37880300255404
175	4.36035064029778
96	4.06717022122595
12	4.06222744734924
202	4.0104656694896
67	3.84321657371013
136	3.8165970206915
62	3.81384084576655
180	3.70580685669071
61	3.57770259778124
73	3.55147425266294
145	3.50661405214074
54	3.38307625747074
30	3.3678879522273
166	3.34978376580108
190	3.34806852044239
162	3.33173531932771
133	3.32159858750524
141	3.26484168513493
151	3.21967897836622
121	3.15334458850519
4	2.95921310726773
19	2.76945011666459
97	2.71832234637196
71	2.69611875907878
195	2.68482482615271
11	2.6320566979214
103	2.41527772439817
185	2.15139448567363
167	2.02992208280595
82	1.95815229238503
170	1.78056607750776
115	1.77184277865521
84	1.56569490599859
158	1.56373515748093
15	1.55905980133525
2	1.54860523743249
77	1.54558910495576
187	1.5406531730135
33	1.34950326457109
217	1.31650402586032
112	1.22458034141877
199	1.21183846875837
85	1.19097952958074
105	1.18353898290837
76	1.14977397063707
109	1.06759058078193
127	0.889228594697876
107	0.877772325913563
69	0.830632018268886
9	0.798173810839419
222	0.707175166084701
101	0.600428244735934
108	0.546238597432762
224	0.267997358927394
181	0.251544695695005
42	0.116431228064694
79	0.114040697895738
