variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
18	2.9204	151018	0.00737916546892475	133.965735675309	10000	0	1
21	3.3363	153378	0.0637612105174924	110.867650696774	10000	1	1
22	3.003	292665	0.083344715185483	199.822767527901	10000	0	0
23	3.1641	196035	0.0421359912057818	158.973450543041	10000	40	1
3	2.541	271396	0.18575301364881	214.074136032389	10000	377	7.66299440620157e-47
36	0.4026	689972	0.671908359500108	711.132412319981	10000	6335	0
37	8.9116008	6896	0.000441086641050116	4.36477574181502	5227	0	1
40	2.9139	300997	0.0573134573055964	203.953541795399	10000	6	0
41	3.7365	146732	0.0942230976882406	123.534750129161	10000	0	1
6	2.955	257508	0.0340409635263566	164.137238793143	10000	0	1
98	4.0199696	76918	0.0460026303718438	72.0033589701313	9999	1	1
Counts	1.9643	628279	0.487137598285755	462.057537792227	10000	3240	0
