variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
18	2.8112	158692	0.0476360324412803	161.103013363114	10000	0	1
21	3.5025	158629	0.181492397928985	117.429996435515	10000	0	1
22	3.4991	297055	0.0828928774151041	212.188209126749	10000	0	0
23	3.8126	191782	0.044347184020921	136.120217558112	10000	0	1
3	2.8753	262218	0.134801317174096	188.461106724541	10000	0	0.999987494715372
36	0.7504	666826	1.15297583004614	936.792561310142	10000	6497	0
37	6.32505432	14130	-0.00106703297175826	23.9048544902164	8278	0	1
40	4.2629	278725	0.0293090632847325	150.700947635655	10000	0	2.40244281944099e-186
41	4.3078	149516	0.0908922309859906	122.214649903988	10000	0	1
6	2.0438	277411	0.119257377694102	268.066025029675	10000	0	1.35659050182456e-154
98	4.4077778	67918	0.0257573563235733	53.0998119572606	9995	0	1
Counts	0.8983	648574	0.888780258391716	909.075246493643	10000	3503	0
