variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
18	2.2911	157196	0.0608633718375431	133.117511389183	10000	0	1
21	2.8397	168890	0.199097058153141	82.0924441993634	10000	0	1
22	3.1994	304176	0.0735153448251052	127.358983524044	10000	0	0
23	3.7199	195496	0.131005381451797	89.9276771801286	10000	0	1
3	3.4008	251711	0.0640144303635267	102.936141708538	10000	0	1
36	1.277	684098	1.22355848545512	631.014351396825	10000	3307	0
37	6.5145692	12306	0.000472252578795989	16.14899600247	7720	0	1
40	4.2096	281774	0.0271264205616517	92.833192293399	10000	0	9.29558923955458e-253
41	3.6272	141093	0.135673071887581	74.4521665753778	10000	0	1
6	2.4162	271852	0.0656802236252064	129.308969041386	10000	0	2.95654946574057e-45
98	5.42069278	69226	0.0198559605353594	27.2568530541875	9998	0	1
Counts	0.7625	640882	1.30706665442468	969.767643797307	10000	6693	0
