variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
18	2.8954	164827	0.0646009083540745	197.510289051857	10000	0	1
21	3.6736	163118	0.171049962522466	147.994152204907	10000	0	1
22	3.2454	297524	0.169167156509403	257.324273816182	10000	0	0
23	3.1484	201624	0.177309646383771	208.728545399531	10000	0	1
3	1.7971	262466	0.425890022638267	304.282520337056	10000	0	0.999999488796681
36	1.1533	653435	2.11852021070345	1074.98997107125	10000	3457	0
37	7.19795654	10896	0.00274621872853805	18.1760087167102	7189	0	1
40	4.02	287698	0.11042903190978	196.189172760126	10000	0	0
41	3.6162	148699	0.140438402734029	149.445743358361	10000	0	1
6	2.5788	281201	0.120632795675461	277.186797977699	10000	0	8.051910589651e-237
98	3.83273314	76764	0.0616110049719856	88.0599686575268	9999	0	1
Counts	0.6788	630194	2.15395725216302	1456.04368571115	10000	6543	0
