variable	mean_min_depth	no_of_nodes	mse_increase	node_purity_increase	no_of_trees	times_a_root	p_value
ASV_29	9.86117443193884	26958	0.111529663940228	35.6520720680607	9354	239	0
ASV_28	10.0703704608197	25857	0.103665865415358	34.1099282272352	9248	268	0
ASV_30	10.38068643024	25661	0.0979158307787897	30.8385930597063	9234	223	0
ASV_23	9.8490262051391	26877	0.0946222800830666	32.6409451766078	9314	224	0
ASV_58	11.4927195476747	20714	0.0785481195636134	31.864435174318	8727	252	0
ASV_50	10.4875150138034	24775	0.0761031741018612	29.7513525049429	9206	211	0
ASV_24	13.8790348587811	20290	0.0695964522821117	16.2071497696541	8719	161	0
ASV_92	11.3925700254831	21290	0.0636366273915259	29.4713537168649	8833	217	0
ASV_15	13.6678645997027	20470	0.0512154906561171	16.4910031712506	8714	185	0
ASV_39	10.6859007644935	25041	0.0500818044489825	23.9021469221881	9196	184	0
ASV_63	15.7804915587174	12001	0.0499160206226057	21.1421300194224	6983	207	0
ASV_54	10.8128117753238	23812	0.0469053038102129	22.8101392241879	9089	149	0
ASV_32	10.3802617116161	25520	0.0420243220112666	26.454897023221	9234	188	0
ASV_65	11.2354254937354	23099	0.0392846607795248	22.1837619235605	9009	176	0
counts	9.7687407092801	27840	0.0390954977154869	26.779791732892	9418	56	0
ASV_44	10.8639142599278	25180	0.0387608335584583	21.0589634365753	9233	126	0
ASV_6	14.2951405181567	19162	0.0382980588679645	12.4364556799812	8596	0	0
ASV_112	13.0982072308346	17655	0.0355333457268752	19.9364290507248	8337	138	0
ASV_117	13.0183912295604	17992	0.0351089208249518	20.7634041595829	8380	188	0
ASV_16	12.3925687619452	22788	0.0347298130121487	16.4489075499622	9060	118	0
ASV_66	10.9421217349756	23394	0.0330922001347745	21.7661082200516	9093	118	0
ASV_17	11.8840010405606	19585	0.0309857081074553	24.4153349516966	8624	59	0
ASV_9	13.5557117647059	21037	0.0308109906417031	14.7925383908815	8796	151	0
ASV_5	11.2184051815672	25476	0.0298044886942683	18.0493361499325	9218	61	0
ASV_67	11.6019484391591	22995	0.0287485726811578	19.9922559459039	8986	151	0
ASV_1	10.9591708536844	26066	0.0281916733314646	17.8643848911203	9255	89	0
ASV_18	10.9363962306222	25419	0.0273801442116142	22.8541139824293	9217	175	0
ASV_110	12.780968507114	18136	0.0273598913036904	20.3746898304077	8356	127	0
ASV_71	18.2334134529624	9375	0.0239950634485501	14.4461299782824	6111	108	0
ASV_125	16.0341958377575	15974	0.023797742399267	12.2581503180542	8006	2	0
ASV_84	19.7635106285836	7826	0.0232910991149179	12.6483930926086	5495	68	0
ASV_7	11.1403707687407	24990	0.022774694130477	18.7054430597479	9191	102	0
ASV_2	12.485661435549	23061	0.0216885814132908	15.3339325777142	9016	10	0
ASV_31	16.5458822042897	16565	0.0216486082323935	9.36559678421497	8080	0	0
ASV_19	11.8269934805691	24363	0.0212814769333801	16.2673377725755	9100	80	0
ASV_10	13.9129812486728	20101	0.0203440198973383	11.6359241916205	8676	1	0
ASV_52	15.5792654703759	14667	0.0202598774276179	12.038133986429	7692	51	0
ASV_3	11.5510628583563	24597	0.0201989816510045	16.3849651919144	9118	78	0
ASV_91	17.4955392227649	10111	0.0195133626222823	14.1804013705802	6446	93	0
ASV_38	11.4374809301338	24128	0.0195020185933488	18.9990263431119	9136	90	0
ASV_14	12.7253031110639	22557	0.0192991670785829	13.8281094502818	8967	38	0
ASV_51	11.670042291357	23344	0.0190702186017298	16.8947779593309	9079	79	0
ASV_27	13.7556131131875	16261	0.0181346123066129	16.1840646225282	8099	51	0
ASV_49	12.6203886175409	21282	0.0179543252306498	14.975177976228	8818	11	0
ASV_13	17.1672715863241	11191	0.0174251879557498	10.9722701800348	6764	2	0
